"Notes"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"MCD - ICD-10 113 Cause List"	"MCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Malignant neoplasms (C00-C97)"	"GR113-019"	11485	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5692	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Alzheimer disease (G30)"	"GR113-052"	3072	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13923	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Diabetes mellitus (E10-E14)"	"GR113-046"	6742	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Alzheimer disease (G30)"	"GR113-052"	3877	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13254	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Diabetes mellitus (E10-E14)"	"GR113-046"	6215	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Alzheimer disease (G30)"	"GR113-052"	3767	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13219	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5904	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"Alzheimer disease (G30)"	"GR113-052"	3616	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12950	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5969	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"Alzheimer disease (G30)"	"GR113-052"	3420	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13328	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	6083	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"Alzheimer disease (G30)"	"GR113-052"	3313	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Malignant neoplasms (C00-C97)"	"GR113-019"	13052	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5818	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"Alzheimer disease (G30)"	"GR113-052"	3292	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12779	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5627	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"Alzheimer disease (G30)"	"GR113-052"	3131	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12673	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5593	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"Alzheimer disease (G30)"	"GR113-052"	2885	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12894	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5621	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"Alzheimer disease (G30)"	"GR113-052"	2907	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12654	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5552	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"Alzheimer disease (G30)"	"GR113-052"	2997	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12713	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5473	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"Alzheimer disease (G30)"	"GR113-052"	2995	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12412	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5382	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"Alzheimer disease (G30)"	"GR113-052"	2937	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12629	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5508	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"Alzheimer disease (G30)"	"GR113-052"	2893	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12718	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5403	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"Alzheimer disease (G30)"	"GR113-052"	2785	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12454	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5298	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"Alzheimer disease (G30)"	"GR113-052"	2825	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12663	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5188	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"Alzheimer disease (G30)"	"GR113-052"	2782	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 18 ending May 05, 2018"	"2018/18"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12718	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 18 ending May 05, 2018"	"2018/18"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5170	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 18 ending May 05, 2018"	"2018/18"	"Alzheimer disease (G30)"	"GR113-052"	2721	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 19 ending May 12, 2018"	"2018/19"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12246	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 19 ending May 12, 2018"	"2018/19"	"Diabetes mellitus (E10-E14)"	"GR113-046"	5095	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 19 ending May 12, 2018"	"2018/19"	"Alzheimer disease (G30)"	"GR113-052"	2592	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 20 ending May 19, 2018"	"2018/20"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12232	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 20 ending May 19, 2018"	"2018/20"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4905	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 20 ending May 19, 2018"	"2018/20"	"Alzheimer disease (G30)"	"GR113-052"	2549	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 21 ending May 26, 2018"	"2018/21"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12450	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 21 ending May 26, 2018"	"2018/21"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4928	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 21 ending May 26, 2018"	"2018/21"	"Alzheimer disease (G30)"	"GR113-052"	2455	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 22 ending June 02, 2018"	"2018/22"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12221	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 22 ending June 02, 2018"	"2018/22"	"Diabetes mellitus (E10-E14)"	"GR113-046"	4988	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 22 ending June 02, 2018"	"2018/22"	"Alzheimer disease (G30)"	"GR113-052"	2482	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 23 ending June 09, 2018"	"2018/23"	"Malignant neoplasms (C00-C97)"	"GR113-019"	12477	Not Applicable	Not Applicable
