"Notes"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10263	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1832	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"#Alzheimer disease (G30)"	"GR113-052"	2530	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	12408	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	2036	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"#Alzheimer disease (G30)"	"GR113-052"	3212	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11871	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1955	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"#Alzheimer disease (G30)"	"GR113-052"	3103	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11812	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1779	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"#Alzheimer disease (G30)"	"GR113-052"	2959	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11499	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1851	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 05 ending February 03, 2018"	"2018/05"	"#Alzheimer disease (G30)"	"GR113-052"	2832	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11912	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1849	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 06 ending February 10, 2018"	"2018/06"	"#Alzheimer disease (G30)"	"GR113-052"	2695	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11717	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1762	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 07 ending February 17, 2018"	"2018/07"	"#Alzheimer disease (G30)"	"GR113-052"	2743	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11515	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1664	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 08 ending February 24, 2018"	"2018/08"	"#Alzheimer disease (G30)"	"GR113-052"	2613	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11358	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1710	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 09 ending March 03, 2018"	"2018/09"	"#Alzheimer disease (G30)"	"GR113-052"	2356	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11640	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1710	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 10 ending March 10, 2018"	"2018/10"	"#Alzheimer disease (G30)"	"GR113-052"	2413	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11371	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1686	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 11 ending March 17, 2018"	"2018/11"	"#Alzheimer disease (G30)"	"GR113-052"	2484	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11489	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1660	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 12 ending March 24, 2018"	"2018/12"	"#Alzheimer disease (G30)"	"GR113-052"	2476	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11157	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1622	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 13 ending March 31, 2018"	"2018/13"	"#Alzheimer disease (G30)"	"GR113-052"	2432	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11385	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1704	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 14 ending April 07, 2018"	"2018/14"	"#Alzheimer disease (G30)"	"GR113-052"	2393	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11505	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1637	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 15 ending April 14, 2018"	"2018/15"	"#Alzheimer disease (G30)"	"GR113-052"	2273	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11260	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1636	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 16 ending April 21, 2018"	"2018/16"	"#Alzheimer disease (G30)"	"GR113-052"	2327	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11439	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1571	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 17 ending April 28, 2018"	"2018/17"	"#Alzheimer disease (G30)"	"GR113-052"	2275	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 18 ending May 05, 2018"	"2018/18"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11548	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 18 ending May 05, 2018"	"2018/18"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1614	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 18 ending May 05, 2018"	"2018/18"	"#Alzheimer disease (G30)"	"GR113-052"	2226	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 19 ending May 12, 2018"	"2018/19"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11071	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 19 ending May 12, 2018"	"2018/19"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1579	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 19 ending May 12, 2018"	"2018/19"	"#Alzheimer disease (G30)"	"GR113-052"	2147	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 20 ending May 19, 2018"	"2018/20"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	10995	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 20 ending May 19, 2018"	"2018/20"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1501	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 20 ending May 19, 2018"	"2018/20"	"#Alzheimer disease (G30)"	"GR113-052"	2115	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 21 ending May 26, 2018"	"2018/21"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11268	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 21 ending May 26, 2018"	"2018/21"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1506	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 21 ending May 26, 2018"	"2018/21"	"#Alzheimer disease (G30)"	"GR113-052"	2031	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 22 ending June 02, 2018"	"2018/22"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11130	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 22 ending June 02, 2018"	"2018/22"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1565	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 22 ending June 02, 2018"	"2018/22"	"#Alzheimer disease (G30)"	"GR113-052"	2017	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 23 ending June 09, 2018"	"2018/23"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11300	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 23 ending June 09, 2018"	"2018/23"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1519	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 23 ending June 09, 2018"	"2018/23"	"#Alzheimer disease (G30)"	"GR113-052"	2079	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 24 ending June 16, 2018"	"2018/24"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11215	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 24 ending June 16, 2018"	"2018/24"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1499	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 24 ending June 16, 2018"	"2018/24"	"#Alzheimer disease (G30)"	"GR113-052"	2096	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 25 ending June 23, 2018"	"2018/25"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11320	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 25 ending June 23, 2018"	"2018/25"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1510	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 25 ending June 23, 2018"	"2018/25"	"#Alzheimer disease (G30)"	"GR113-052"	2078	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 26 ending June 30, 2018"	"2018/26"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	11276	Not Applicable	Not Applicable
