"Notes"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"Residence State"	"Residence State Code"	"MCD - ICD-10 113 Cause List"	"MCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1200	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	730	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	479	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	684	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	309	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	95	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	816	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	499	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	280	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"California"	"06"	"Malignant neoplasms (C00-C97)"	"GR113-019"	1451	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"California"	"06"	"Diabetes mellitus (E10-E14)"	"GR113-046"	802	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"California"	"06"	"Alzheimer disease (G30)"	"GR113-052"	552	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"New York"	"36"	"Malignant neoplasms (C00-C97)"	"GR113-019"	829	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"New York"	"36"	"Diabetes mellitus (E10-E14)"	"GR113-046"	367	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"New York"	"36"	"Alzheimer disease (G30)"	"GR113-052"	142	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Texas"	"48"	"Malignant neoplasms (C00-C97)"	"GR113-019"	947	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Texas"	"48"	"Diabetes mellitus (E10-E14)"	"GR113-046"	594	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Texas"	"48"	"Alzheimer disease (G30)"	"GR113-052"	320	Not Applicable	Not Applicable
