"Notes"	"MMWR Year"	"MMWR Year Code"	"MMWR Week"	"MMWR Week Code"	"Residence State"	"Residence State Code"	"UCD - ICD-10 113 Cause List"	"UCD - ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1045	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	240	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	386	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	607	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	103	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	69	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	729	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	128	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 01 ending January 06, 2018"	"2018/01"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	219	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1277	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	229	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	448	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	731	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	118	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	109	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	826	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	147	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 02 ending January 13, 2018"	"2018/02"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	267	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1227	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	218	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	420	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"New York"	"36"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	649	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"New York"	"36"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	98	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"New York"	"36"	"#Alzheimer disease (G30)"	"GR113-052"	100	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Texas"	"48"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	810	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Texas"	"48"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	160	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 03 ending January 20, 2018"	"2018/03"	"Texas"	"48"	"#Alzheimer disease (G30)"	"GR113-052"	268	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"California"	"06"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	1174	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"California"	"06"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	207	Not Applicable	Not Applicable
	"2018"	"2018"	"2018 Week 04 ending January 27, 2018"	"2018/04"	"California"	"06"	"#Alzheimer disease (G30)"	"GR113-052"	357	Not Applicable	Not Applicable
