"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-01-19,2352,318386329,2421.34012858673,2244,2611,-69.3401285867267,0.738725185653307,0.760503799328245,0.704804131210043,0.820072899549654,-0.0217786136749379
"2","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-01-26,2332,318386329,2421.28288365396,2236,2609,-89.2828836539561,0.732443508904555,0.760485819620087,0.702291460510542,0.819444731874778,-0.028042310715532
"3","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-02,2306,318386329,2416.86397622622,2234.975,2607.025,-110.863976226216,0.724277329131176,0.759097912217901,0.701969524577169,0.818824416295839,-0.0348205830867242
"4","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-09,2290,318386329,2408.25801340663,2228,2596,-118.258013406634,0.719251987732174,0.756394918390681,0.699778789811041,0.815361641988089,-0.0371429306585063
"5","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-16,2272,318386329,2395.71972917624,2212,2580,-123.71972917624,0.713598478658297,0.752456845964715,0.694753448412039,0.810336300589087,-0.0388583673064179
"6","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-23,2260,318386329,2379.57599916093,2199,2565.025,-119.575999160928,0.709829472609045,0.747386361290948,0.69067035852535,0.805632895123459,-0.0375568886819032
"7","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-02,2255,318386329,2360.2159160718,2184,2542,-105.2159160718,0.708259053421857,0.741305672101204,0.685959100963785,0.798401114766457,-0.0330466186793467
"8","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-09,2251,318386329,2338.07945687797,2165,2520,-87.0794568779656,0.707002718072107,0.734352968050323,0.67999150805247,0.791491270342829,-0.0273502499782161
"9","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-16,2230,318386329,2313.64531562557,2137,2490,-83.6453156255716,0.700406957485916,0.726678599201278,0.671197160604217,0.7820687552197,-0.0262716417153613
"10","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-23,2204,318386329,2287.41847653511,2112,2464,-83.4184765351133,0.692240777712538,0.718441172935887,0.663345064668276,0.773902575446322,-0.0262003952233493
"11","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-30,2177,318386329,2259.91806398051,2088.975,2437,-82.9180639805149,0.683760514101722,0.709803737829621,0.656113284311275,0.765422311835506,-0.0260432237278991
"12","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-06,2138,318386329,2231.66593583707,2064,2415,-93.6659358370716,0.671511244441654,0.700930201006549,0.64826904047127,0.758512467411878,-0.0294189565648944
"13","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-13,2074,318386329,2203.17639333587,2034,2374,-129.176393335873,0.651409878845646,0.69198209617093,0.638846525348141,0.745635030076935,-0.0405722173252838
"14","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-20,2084,318386329,2174.94727382788,2009,2345,-90.9472738278837,0.654550717220022,0.683115785988375,0.6309944294122,0.736526598791244,-0.0285650687683527
"15","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-27,2060,318386329,2147.45258242771,1982,2318,-87.4525824277134,0.647012705121519,0.674480147804246,0.622514165801384,0.728046335180428,-0.0274674426827269
"16","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-04,2030,318386329,2121.13671294225,1958.975,2287,-91.1367129422524,0.63759018999839,0.666214758530745,0.615282385444383,0.718309736219861,-0.0286245685323544
"17","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-11,2023,318386329,2096.41021457322,1939,2259,-73.4102145732163,0.635391603136327,0.658448565036603,0.609008560791566,0.709515388771608,-0.0230569619002757
"18","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-18,2022,318386329,2073.64698327049,1916,2239,-51.6469832704938,0.635077519298889,0.651299001996563,0.6017846325305,0.703233712022855,-0.0162214826976738
"19","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-25,1981,318386329,2053.18269780202,1899,2216,-72.1826978020222,0.622200081963946,0.644871500686206,0.596445207294061,0.69600978376179,-0.02267141872226
"20","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-01,1971,318386329,2035.31428115327,1882,2195.025,-64.3142811532748,0.61905924358957,0.639259319816233,0.591105782057621,0.689421875271535,-0.0202000762266632
"21","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-08,1966,318386329,2020.30014677982,1866,2173,-54.3001467798204,0.617488824402382,0.634543622876415,0.586080440658619,0.682504178751971,-0.0170547984740326
