"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-01-19,69,19653431,79.1935528978341,62,98,-10.1935528978341,0.351083736982108,0.402950268061766,0.315466546273778,0.498640669916617,-0.0518665310796579
"2","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-01-26,74,19653431,79.2497475360937,62,98,-5.24974753609375,0.376524587488057,0.403236195940005,0.315466546273778,0.498640669916617,-0.0267116084519479
"3","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-02,74,19653431,79.1189133134182,62,97,-5.11891331341818,0.376524587488057,0.402570489159975,0.315466546273778,0.493552499815427,-0.0260459016719176
"4","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-09,73,19653431,78.8068266878509,61,97,-5.80682668785089,0.371436417386867,0.400982539322782,0.310378376172588,0.493552499815427,-0.0295461219359148
"5","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-16,76,19653431,78.3230531527282,61,97,-2.32305315272816,0.386700927690437,0.398521017285624,0.310378376172588,0.493552499815427,-0.0118200895951865
"6","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-23,82,19653431,77.6806002300997,61,96,4.31939976990029,0.417229948297577,0.395252107533284,0.310378376172588,0.488464329714237,0.0219778407642935
"7","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-02,81,19653431,76.8954604249674,60,95,4.10453957503258,0.412141778196387,0.391257182651555,0.305290206071398,0.483376159613047,0.0208845955448317
"8","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-09,78,19653431,75.986072212044,59,94,2.01392778795595,0.396877267892817,0.386630060736184,0.300202035970208,0.478287989511857,0.0102472071566331
"9","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-16,79,19653431,74.9727304796856,58,93,4.02726952031438,0.401965437994007,0.38147400563131,0.295113865869018,0.473199819410667,0.0204914323626973
"10","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-23,75,19653431,73.8769785859369,57,92,1.12302141406306,0.381612757589247,0.375898633607216,0.290025695767828,0.468111649309477,0.00571412398203174
"11","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-30,73,19653431,72.7210124403603,56,90,0.278987559639717,0.371436417386867,0.370016881227305,0.284937525666638,0.457935309107097,0.00141953615956276
"12","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-06,68,19653431,71.5271232049439,55,89,-3.52712320494386,0.345995566880918,0.363942169715526,0.279849355565448,0.452847139005907,-0.0179466028346087
"13","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-13,68,19653431,70.3171998681437,54,88,-2.31719986814367,0.345995566880918,0.357785873968488,0.274761185464258,0.447758968904717,-0.01179030708757
"14","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-20,71,19653431,69.1123067290171,53,86,1.88769327098288,0.361260077184488,0.351655172722855,0.269673015363068,0.437582628702337,0.00960490446163257
"15","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-04-27,70,19653431,67.9323443697163,52,85,2.06765563028367,0.356171907083298,0.345651323525731,0.264584845261878,0.432494458601147,0.0105205835575664
"16","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-04,66,19653431,66.7957965543998,51,83,-0.795796554399814,0.335819226678538,0.339868374913265,0.259496675160688,0.422318118398767,-0.00404914823472713
"17","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-11,67,19653431,65.7195601054379,50,82,1.28043989456212,0.340907396779728,0.334392300791846,0.254408505059498,0.417229948297577,0.00651509598788182
"18","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-18,66,19653431,64.7188504584105,49,81,1.28114954158946,0.335819226678538,0.329300519885869,0.249320334958308,0.412141778196387,0.0065187067926687
"19","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-05-25,60,19653431,63.8071724202544,48,80,-3.80717242025438,0.305290206071398,0.324661746950211,0.244232164857118,0.407053608095197,-0.0193715408788134
"20","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-01,61,19653431,62.9963436520939,48,79,-1.9963436520939,0.310378376172588,0.320536112254872,0.244232164857118,0.401965437994007,-0.0101577360822846
"21","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-08,60,19653431,62.2965574698078,47,78,-2.29655746980777,0.305290206071398,0.316975481124938,0.239143994755928,0.396877267892817,-0.0116852750535404
"22","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-15,59,19653431,61.7164715345306,47,78,-2.71647153453058,0.300202035970208,0.31402390521294,0.239143994755928,0.396877267892817,-0.0138218692427321
"23","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-22,56,19653431,61.2633096935527,46,77,-5.26330969355273,0.284937525666638,0.311718140682676,0.234055824654738,0.391789097791627,-0.0267806150160383
"24","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-06-29,59,19653431,60.9429654291053,46,77,-1.94296542910529,0.300202035970208,0.310088174574227,0.234055824654738,0.391789097791627,-0.00988613860401925
"25","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-07-06,56,19653431,60.7600968987636,46,76,-4.76009689876359,0.284937525666638,0.309157708385694,0.234055824654738,0.386700927690437,-0.024220182719056
"26","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-07-13,57,19653431,60.7182052625214,46,77,-3.7182052625214,0.290025695767828,0.308944556614677,0.234055824654738,0.391789097791627,-0.0189188608468486
"27","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-07-20,56,19653431,60.8196897860088,46,76,-4.81968978600877,0.284937525666638,0.309460927132819,0.234055824654738,0.386700927690437,-0.0245234014661805
"28","New York","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-07-27,57,19653431,61.0658750272135,46,77,-4.06587502721354,0.290025695767828,0.310713559516471,0.234055824654738,0.391789097791627,-0.0206878637486428
