"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-01-19,80,19653431,83.2213915832861,65,102,-3.22139158328608,0.407053608095197,0.423444596433498,0.330731056577348,0.518993350321376,-0.0163909883383012
"2","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-01-26,85,19653431,83.241932035875,65.975,102,1.75806796412505,0.432494458601147,0.423549109750226,0.335692022426008,0.518993350321376,0.00894534885092098
"3","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-02-02,87,19653431,83.2211542924721,66,102,3.77884570752795,0.442670798803527,0.423443389057473,0.335819226678538,0.518993350321376,0.0192274097460538
"4","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-02-09,85,19653431,83.1596883636668,66,102,1.84031163633318,0.432494458601147,0.423130639956285,0.335819226678538,0.518993350321376,0.00936381864486248
"5","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-02-16,81,19653431,83.0588086688772,66,102,-2.05880866887719,0.412141778196387,0.422617346909439,0.335819226678538,0.518993350321376,-0.0104755687130516
"6","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-02-23,79,19653431,82.9204088642179,65,101,-3.92040886421789,0.401965437994007,0.421913145161361,0.330731056577348,0.513905180220186,-0.0199477071673536
"7","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-03-02,75,19653431,82.7469647126168,65,101,-7.7469647126168,0.381612757589247,0.421030631814958,0.330731056577348,0.513905180220186,-0.0394178742257105
"8","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-03-09,72,19653431,82.5414861503848,65,101,-10.5414861503848,0.366348247285677,0.419985121938174,0.330731056577348,0.513905180220186,-0.0536368746524961
"9","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-03-16,74,19653431,82.3074600026472,65,101,-8.3074600026472,0.376524587488057,0.418794357090358,0.330731056577348,0.513905180220186,-0.042269769602301
"10","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-03-23,79,19653431,82.0487850263452,64,101,-3.04878502634517,0.401965437994007,0.417478174810012,0.325642886476158,0.513905180220186,-0.0155127368160052
"11","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-03-30,80,19653431,81.7697011056405,64,100,-1.76970110564045,0.407053608095197,0.41605814834896,0.325642886476158,0.508817010118996,-0.00900454025376256
"12","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-04-06,82,19653431,81.4747144875394,64,100,0.525285512460641,0.417229948297577,0.414557206258487,0.325642886476158,0.508817010118996,0.00267274203909048
"13","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-04-13,86,19653431,81.1685209276273,64,99,4.83147907237272,0.437582628702337,0.412999241341765,0.325642886476158,0.503728840017806,0.0245833873605719
"14","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-04-20,81,19653431,80.8559285239509,64,99,0.144071476049078,0.412141778196387,0.41140871801952,0.325642886476158,0.503728840017806,0.000733060176867224
"15","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-04-27,80,19653431,80.5417818621767,63,99,-0.541781862176748,0.407053608095197,0.409810286367692,0.320554716374968,0.503728840017806,-0.00275667827249475
"16","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-05-04,80,19653431,80.2308888909647,63,98,-0.230888890964678,0.407053608095197,0.408228410046901,0.320554716374968,0.498640669916617,-0.00117480195170339
"17","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-05-11,80,19653431,79.9279517084615,63,98,0.0720482915385361,0.407053608095197,0.406687014132349,0.320554716374968,0.498640669916617,0.000366593962848197
"18","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-05-18,77,19653431,79.6375021849807,62,98,-2.63750218498072,0.391789097791627,0.405209157551069,0.315466546273778,0.498640669916617,-0.0134200597594421
"19","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-05-25,81,19653431,79.3638430887143,62,97,1.63615691128568,0.412141778196387,0.403816733519528,0.315466546273778,0.493552499815427,0.00832504467685913
"20","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-06-01,79,19653431,79.1109951347838,62,97,-0.110995134783821,0.401965437994007,0.402530200120192,0.315466546273778,0.493552499815427,-0.000564762126184586
"21","New York","cancer_blood_mc_ma","Blood Cancer","Multiple Cause",2014-06-08,80,19653431,78.8826501549179,62,97,1.11734984508213,0.407053608095197,0.401368342020881,0.315466546273778,0.493552499815427,0.00568526607431614
