"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-01-19,1150,318386329,1134.02138359424,1068,1200,15.9786164057605,0.361196413053275,0.35617778789561,0.33544153838339,0.376900604925157,0.00501862515766513
"2","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-01-26,1137,318386329,1132.26056576764,1065,1198.025,4.7394342323596,0.357113323166586,0.355624743475603,0.334499286871077,0.376280289346217,0.00148857969098277
"3","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-02-02,1134,318386329,1130.06168014998,1065,1198,3.9383198500152,0.356171071654273,0.354934109042724,0.334499286871077,0.376272437250282,0.00123696261154957
"4","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-02-09,1122,318386329,1127.45603207919,1061,1195,-5.45603207918657,0.352402065605022,0.354115717097635,0.333242951521326,0.375330185737969,-0.00171365149261373
"5","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-02-16,1113,318386329,1124.48106953661,1057,1191,-11.4810695366104,0.349575311068083,0.35318132944603,0.331986616171576,0.374073850388218,-0.00360601837794689
"6","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-02-23,1113,318386329,1121.17969112289,1055,1188,-8.17969112288893,0.349575311068083,0.352144419845014,0.3313584484967,0.373131598875905,-0.00256910877693148
"7","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-03-02,1114,318386329,1117.59946995999,1052,1186,-3.59946995999371,0.349889394905521,0.351019930243297,0.330416196984388,0.37250343120103,-0.0011305353377763
"8","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-03-09,1099,318386329,1113.79181397961,1047,1180,-14.7918139796059,0.345178137343956,0.349824007041334,0.328845777797199,0.370618928176404,-0.00464586969737821
"9","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-03-16,1092,318386329,1109.81108361274,1044,1176,-17.8110836127446,0.342979550481893,0.348573723971906,0.327903526284886,0.369362592826654,-0.00559417349001332
"10","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-03-23,1096,318386329,1105.71368760749,1040,1171,-9.71368760748578,0.344235885831643,0.347286798111073,0.326647190935136,0.367792173639466,-0.00305091227942949
"11","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-03-30,1100,318386329,1101.55717664911,1035,1168,-1.55717664910776,0.345492221181394,0.345981305198914,0.325076771747948,0.366849922127153,-0.000489084017520036
"12","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-04-06,1095,318386329,1097.39935275688,1032.975,1163,-2.39935275688117,0.343921801994206,0.344675399915453,0.324440751977137,0.365279502939965,-0.000753597921247797
"13","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-04-13,1110,318386329,1093.29741022869,1028,1160,16.7025897713074,0.34863305955577,0.343387046065251,0.322878184885884,0.364337251427652,0.00524601349051876
"14","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-04-20,1112,318386329,1089.30712135974,1025,1155,22.6928786402625,0.349261227230645,0.342133760824805,0.321935933373571,0.362766832240463,0.00712746640584009
"15","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-04-27,1093,318386329,1085.48207743965,1021,1152,7.51792256034628,0.34329363431933,0.340932376352018,0.320679598023821,0.361824580728151,0.0023612579673125
"16","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-05-04,1097,318386329,1081.87299279338,1016,1147,15.1270072066152,0.344549969669081,0.33979882119668,0.319109178836633,0.360254161540962,0.00475114847240039
"17","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-05-11,1091,318386329,1078.52707701857,1014,1143,12.472922981427,0.342665466644455,0.338747923130384,0.318481011161757,0.358997826191212,0.00391754351407061
"18","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-05-18,1077,318386329,1075.48747820807,1012,1143,1.51252179193239,0.338268292920328,0.33779323427171,0.317852843486882,0.358997826191212,0.000475058648618165
"19","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-05-25,1093,318386329,1072.7927979257,1008,1137,20.2072020742992,0.34329363431933,0.336946878747957,0.316596508137132,0.357113323166586,0.00634675557137354
"20","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-06-01,1098,318386329,1070.47667709181,1006,1135.025,27.5233229081916,0.344864053506518,0.336219422628479,0.315968340462256,0.356493007587647,0.00864463087803988
"21","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-06-08,1096,318386329,1068.56745076846,1004,1134,27.4325492315352,0.344235885831643,0.335619765498306,0.315340172787381,0.356171071654273,0.00861612033333729
"22","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-06-15,1081,318386329,1067.08786912009,1004,1133,13.9121308799142,0.339524628270079,0.335155052816381,0.315340172787381,0.355856987816836,0.00436957545369802
"23","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-06-22,1078,318386329,1066.05488154444,1002,1132,11.9451184555617,0.338582376757766,0.334830608114596,0.314712005112506,0.355542903979398,0.00375176864316987
"24","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-06-29,1064,318386329,1065.47948108087,1000,1132,-1.47948108087189,0.334185203033639,0.334649884128936,0.314083837437631,0.355542903979398,-0.000464681095296617
"25","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-07-06,1060,318386329,1065.36660664664,1000,1130,-5.366606646636,0.332928867683889,0.334614432093482,0.314083837437631,0.354914736304523,-0.00168556440959373
"26","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-07-13,1051,318386329,1065.71510135362,1001,1132,-14.7151013536168,0.33010211314695,0.334723888648377,0.314397921275068,0.355542903979398,-0.00462177550142763
"27","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-07-20,1065,318386329,1066.51772603129,1001,1132,-1.51772603129325,0.334499286871077,0.334975980087164,0.314397921275068,0.355542903979398,-0.00047669321608757
"28","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-07-27,1060,318386329,1067.76122803457,1003,1135,-7.76122803456565,0.332928867683889,0.335366543968213,0.315026088949944,0.356485155491711,-0.0024376762843249
"29","National","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-08-03,1067,318386329,1069.42646635208,1005,1133,-2.42646635207802,0.335127454545952,0.335889568409226,0.315654256624819,0.355856987816836,-0.000762113863273955
