"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-01-19,68,19653431,69.0193144438905,53,86,-1.01931444389049,0.345995566880918,0.351182012158032,0.269673015363068,0.437582628702337,-0.00518644527711469
"2","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-01-26,71,19653431,69.0027119127114,53,86,1.99728808728861,0.361260077184488,0.351097535655283,0.269673015363068,0.437582628702337,0.0101625415292048
"3","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-02-02,73,19653431,68.9589508692368,53,86,4.04104913076324,0.371436417386867,0.350874872022278,0.269673015363068,0.437582628702337,0.0205615453645892
"4","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-02-09,73,19653431,68.8889568646421,53,86,4.11104313535789,0.371436417386867,0.350518730620837,0.269673015363068,0.437582628702337,0.0209176867660303
"5","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-02-16,69,19653431,68.7940592440018,53,86,0.205940755998228,0.351083736982108,0.350035875384821,0.269673015363068,0.437582628702337,0.00104786159728664
"6","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-02-23,67,19653431,68.6759664101744,53,86,-1.67596641017437,0.340907396779728,0.349434998958576,0.269673015363068,0.437582628702337,-0.0085276021788479
"7","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-03-02,64,19653431,68.5367343914989,53,86,-4.53673439149892,0.325642886476158,0.348726562764023,0.269673015363068,0.437582628702337,-0.0230836762878651
"8","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-03-09,61,19653431,68.3787295828314,52,85,-7.37872958283144,0.310378376172588,0.347922607420717,0.264584845261878,0.432494458601147,-0.0375442312481288
"9","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-03-16,63,19653431,68.2045866576156,52,85,-5.20458665761559,0.320554716374968,0.3470365385953,0.264584845261878,0.432494458601147,-0.0264818222203319
"10","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-03-23,67,19653431,68.0171627330383,52,85,-1.01716273303828,0.340907396779728,0.346082893786018,0.264584845261878,0.432494458601147,-0.00517549700629003
"11","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-03-30,68,19653431,67.8194889093969,52,85,0.180511090603105,0.345995566880918,0.345077095746778,0.264584845261878,0.432494458601147,0.00091847113413991
"12","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-04-06,70,19653431,67.6147202997594,52,84,2.38527970024064,0.356171907083298,0.344035198229558,0.264584845261878,0.427406288499957,0.0121367088537398
"13","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-04-13,73,19653431,67.4060856204742,51,84,5.59391437952584,0.371436417386867,0.342973629492347,0.259496675160688,0.427406288499957,0.02846278789452
"14","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-04-20,69,19653431,67.1968373326751,52,84,1.80316266732494,0.351083736982108,0.341908938610643,0.264584845261878,0.427406288499957,0.00917479837146471
"15","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-04-27,68,19653431,66.9902032168295,52,84,1.00979678317046,0.345995566880918,0.340857549080512,0.264584845261878,0.427406288499957,0.00513801780040573
"16","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-05-04,68,19653431,66.7893401346542,51,84,1.21065986534582,0.345995566880918,0.339835523551354,0.259496675160688,0.427406288499957,0.00616004332956326
"17","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-05-11,66,19653431,66.5972905938549,51,83,-0.597290593854851,0.335819226678538,0.338858342819912,0.259496675160688,0.422318118398767,-0.00303911614137425
"18","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-05-18,62,19653431,66.4169425893742,51,83,-4.41694258937422,0.315466546273778,0.337940701495704,0.259496675160688,0.422318118398767,-0.0224741552219265
"19","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-05-25,65,19653431,66.2509930577565,51,83,-1.25099305775653,0.330731056577348,0.337096322050621,0.259496675160688,0.422318118398767,-0.00636526547327299
"20","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-06-01,63,19653431,66.1019151553954,51,83,-3.10191515539543,0.320554716374968,0.336337788325079,0.259496675160688,0.422318118398767,-0.0157830719501111
"21","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-06-08,65,19653431,65.9719294620303,50,82,-0.971929462030303,0.330731056577348,0.335676399006516,0.254408505059498,0.417229948297577,-0.00494534242916824
"22","New York","cancer_blood_uc_ma","Blood Cancer","Underlying Cause",2014-06-15,65,19653431,65.862979121638,50,82,-0.862979121638034,0.330731056577348,0.335122041142018,0.254408505059498,0.417229948297577,-0.00439098456466982
