"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","California","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-01-19,110,38586706,108.162479446591,88,130,1.83752055340851,0.285072273336833,0.28031021732353,0.228057818669466,0.336903595761711,0.0047620560133029
"2","California","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-01-26,108,38586706,107.966068341727,88,130,0.033931658273147,0.279889141094345,0.279801204958326,0.228057818669466,0.336903595761711,8.79361360183143e-05
"3","California","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-02,107,38586706,107.723671446982,88,129,-0.723671446982038,0.277297574973101,0.279173017378011,0.228057818669466,0.334312029640467,-0.00187544240491023
"4","California","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-09,103,38586706,107.439119003385,87,129,-4.43911900338507,0.266931310488125,0.278435580905468,0.225466252548222,0.334312029640467,-0.0115042704173429
"5","California","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-16,101,38586706,107.116873297922,88,128,-6.11687329792221,0.261748178245637,0.277600459852474,0.228057818669466,0.331720463519223,-0.0158522816068369
"6","California","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-23,102,38586706,106.761945059419,87,128,-4.76194505941879,0.264339744366881,0.276680639854096,0.225466252548222,0.331720463519223,-0.0123408954872147
"7","California","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-02,103,38586706,106.379801921208,86,128,-3.37980192120787,0.266931310488125,0.275690290643643,0.222874686426978,0.331720463519223,-0.00875898015551748
"8","California","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-09,100,38586706,105.976271412614,86,127,-5.97627141261351,0.259156612124393,0.274644514648681,0.222874686426978,0.32912889739798,-0.0154879025242878
"9","California","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-16,103,38586706,105.557440931874,85,127,-2.55744093187447,0.266931310488125,0.273559087764254,0.220283120305734,0.32912889739798,-0.00662777727612838
"10","California","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-23,103,38586706,105.12955704548,86,126,-2.12955704547986,0.266931310488125,0.272450198380447,0.222874686426978,0.326537331276736,-0.00551888789232192
