"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-01-19,59,19653431,63.5286846087858,48,80,-4.52868460878583,0.300202035970208,0.323244753594351,0.244232164857118,0.407053608095197,-0.0230427176241432
"2","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-01-26,57,19653431,63.5247998254744,48,80,-6.52479982547442,0.290025695767828,0.323224987156056,0.244232164857118,0.407053608095197,-0.0331992913882284
"3","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-02,59,19653431,63.4858389168335,48,80,-4.48583891683347,0.300202035970208,0.323026747425594,0.244232164857118,0.407053608095197,-0.0228247114553864
"4","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-09,60,19653431,63.4122455693486,48,80,-3.41224556934861,0.305290206071398,0.322652291955275,0.244232164857118,0.407053608095197,-0.0173620858838775
"5","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-16,62,19653431,63.3050211107243,48,80,-1.30502111072427,0.315466546273778,0.322106715670787,0.244232164857118,0.407053608095197,-0.00664016939700894
"6","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-23,60,19653431,63.1657038309007,48,79.0249999999996,-3.16570383090075,0.305290206071398,0.32139784565301,0.244232164857118,0.402092642246535,-0.0161076395816117
"7","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-02,61,19653431,62.9963375943785,48,79,-1.99633759437849,0.310378376172588,0.320536081432186,0.244232164857118,0.401965437994007,-0.0101577052595981
"8","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-09,58,19653431,62.7994307654821,47,79,-4.79943076548206,0.295113865869018,0.319534185992675,0.239143994755928,0.401965437994007,-0.0244203201236571
"9","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-16,63,19653431,62.5779067526941,47,79,0.422093247305924,0.320554716374968,0.318407034134112,0.239143994755928,0.401965437994007,0.00214768224085618
"10","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-23,64,19653431,62.335047695365,47,78,1.66495230463496,0.325642886476158,0.317171325939807,0.239143994755928,0.396877267892817,0.00847156053635092
"11","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-30,66,19653431,62.0744329573169,47,78,3.92556704268307,0.335819226678538,0.315845273821741,0.239143994755928,0.396877267892817,0.0199739528567967
"12","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-04-06,62,19653431,61.7998741537478,47,77,0.200125846252156,0.315466546273778,0.314448271926402,0.239143994755928,0.391789097791627,0.00101827434737556
"13","New York","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-04-13,63,19653431,61.5153484221509,47,78,1.48465157784908,0.320554716374968,0.313000556605872,0.239143994755928,0.396877267892817,0.00755415976909619
