"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-01-19,67,26963092,66.5742942535057,51,83,0.425705746494287,0.248487821797292,0.246908975623069,0.189147446442715,0.30782819715187,0.00157884617422322
"2","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-01-26,65,26963092,66.4677473582734,51,83,-1.46774735827336,0.24107027487797,0.246513817325822,0.189147446442715,0.30782819715187,-0.00544354244785189
"3","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-02,65,26963092,66.3430077261089,51,83,-1.34300772610891,0.24107027487797,0.246051186288683,0.189147446442715,0.30782819715187,-0.0049809114107125
"4","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-09,63,26963092,66.2020587234564,50,82,-3.20205872345645,0.233652727958648,0.24552843836848,0.185438672983054,0.304119423692209,-0.0118757104098315
"5","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-16,63,26963092,66.0471190398127,50.975,83,-3.04711903981269,0.233652727958648,0.244953802181933,0.189054727106224,0.30782819715187,-0.0113010742232852
"6","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-02-23,64,26963092,65.8806046827678,50.975,83,-1.88060468276778,0.237361501418309,0.244336238153873,0.189054727106224,0.30782819715187,-0.0069747367355635
"7","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-02,63,26963092,65.7050885250025,50,82,-2.70508852500252,0.233652727958648,0.243685288486211,0.185438672983054,0.304119423692209,-0.0100325605275631
"8","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-09,66,26963092,65.5232583090899,50,82,0.476741690910089,0.244779048337631,0.24301092140727,0.185438672983054,0.304119423692209,0.00176812693036128
"9","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-16,70,26963092,65.3378739904507,50,82,4.66212600954931,0.259614142176276,0.242323372966464,0.185438672983054,0.304119423692209,0.0172907692098121
"10","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-23,66,26963092,65.1517252451751,50,82,0.848274754824885,0.244779048337631,0.241632989440436,0.185438672983054,0.304119423692209,0.00314605889719504
"11","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-03-30,60,26963092,64.9675898927466,50,81,-4.96758989274657,0.222526407579665,0.240950073132364,0.185438672983054,0.300410650232548,-0.0184236655526991
"12","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-04-06,61,26963092,64.7881938899095,49,81,-3.78819388990948,0.226235181039326,0.240284733998272,0.181729899523393,0.300410650232548,-0.0140495529589465
"13","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-04-13,58,26963092,64.6161734473635,50,81,-6.61617344736354,0.215108860660343,0.239646749146439,0.185438672983054,0.300410650232548,-0.0245378884860962
"14","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-04-20,54,26963092,64.454039711917,49,81,-10.454039711917,0.200273766821698,0.239045431851499,0.181729899523393,0.300410650232548,-0.0387716650298006
"15","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-04-27,56,26963092,64.3041463491639,49,80,-8.30414634916393,0.207691313741021,0.238489511325941,0.181729899523393,0.296701876772886,-0.0307981975849206
"16","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-05-04,62,26963092,64.1686602608494,49,80,-2.16866026084935,0.229943954498987,0.237987024117447,0.181729899523393,0.296701876772886,-0.00804306961845975
"17","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-05-11,62,26963092,64.049535581193,49,80,-2.04953558119296,0.229943954498987,0.237545217667146,0.181729899523393,0.296701876772886,-0.00760126316815948
"18","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-05-18,66,26963092,63.9484910207348,49,80,2.05150897926524,0.244779048337631,0.237170466283076,0.181729899523393,0.296701876772886,0.0076085820545553
"19","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-05-25,66,26963092,63.8669905668489,49,80,2.13300943315107,0.244779048337631,0.236868199562754,0.181729899523393,0.296701876772886,0.00791084877487743
"20","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-06-01,64,26963092,63.8062275078139,48,80,0.193772492186056,0.237361501418309,0.236642843142077,0.178021126063732,0.296701876772886,0.00071865827623203
"21","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-06-08,61,26963092,63.7671117220637,48,80,-2.76711172206372,0.226235181039326,0.236497771554033,0.178021126063732,0.296701876772886,-0.010262590514707
"22","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-06-15,62,26963092,63.7502601647705,48,80,-1.7502601647705,0.229943954498987,0.23643527294559,0.178021126063732,0.296701876772886,-0.00649131844660287
"23","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-06-22,60,26963092,63.7559904881584,48,80,-3.75599048815839,0.222526407579665,0.236456525416886,0.178021126063732,0.296701876772886,-0.0139301178372213
"24","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-06-29,59,26963092,63.7843177471747,49,80,-4.78431774717471,0.218817634120004,0.236561584803311,0.181729899523393,0.296701876772886,-0.0177439506833071
"25","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-07-06,61,26963092,63.8349541650275,48,80,-2.83495416502755,0.226235181039326,0.236749383805936,0.178021126063732,0.296701876772886,-0.0105142027666098
"26","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-07-13,65,26963092,63.907311959963,48,80,1.09268804003698,0.24107027487797,0.237017742475392,0.178021126063732,0.296701876772886,0.00405253240257825
"27","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-07-20,67,26963092,64.0005092616703,49,80,2.99949073832973,0.248487821797292,0.237363390154476,0.181729899523393,0.296701876772886,0.0111244316428165
"28","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-07-27,67,26963092,64.1133791689535,49,80,2.8866208310465,0.248487821797292,0.237781999071002,0.181729899523393,0.296701876772886,0.0107058227262901
"29","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-08-03,67,26963092,64.2444820161505,49,81,2.7555179838495,0.248487821797292,0.238268229831173,0.181729899523393,0.300410650232548,0.0102195919661198
"30","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-08-10,67,26963092,64.3921209208192,49,80,2.60787907918079,0.248487821797292,0.238815789082421,0.181729899523393,0.296701876772886,0.00967203271487109
"31","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-08-17,64,26963092,64.5543606766453,49,81,-0.554360676645302,0.237361501418309,0.239417499582931,0.181729899523393,0.300410650232548,-0.00205599816462186
"32","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-08-24,62,26963092,64.7290500312153,50,81,-2.72905003121529,0.229943954498987,0.240065382824845,0.185438672983054,0.300410650232548,-0.0101214283258585
"33","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-08-31,63,26963092,64.9138473469663,49,81,-1.91384734696634,0.233652727958648,0.24075075420492,0.181729899523393,0.300410650232548,-0.00709802624627151
"34","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-09-07,68,26963092,65.1062495849883,50,81,2.89375041501167,0.252196595256953,0.241464330518875,0.185438672983054,0.300410650232548,0.0107322647380785
"35","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-09-14,68,26963092,65.3036244762108,50,82,2.69637552378917,0.252196595256953,0.242196349277044,0.185438672983054,0.304119423692209,0.010000245979909
"36","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-09-21,69,26963092,65.5032456548596,50,82,3.49675434514043,0.255905368716615,0.242936699006403,0.185438672983054,0.304119423692209,0.0129686697102114
"37","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-09-28,70,26963092,65.702330428017,50,82,4.29766957198299,0.259614142176276,0.243675059329312,0.185438672983054,0.304119423692209,0.0159390828469635
"38","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-10-05,68,26963092,65.8980797469299,50,82,2.10192025307006,0.252196595256953,0.244401049208043,0.185438672983054,0.304119423692209,0.00779554604891035
"39","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-10-12,63,26963092,66.087719835547,51,82,-3.08771983554701,0.233652727958648,0.245104381335594,0.189147446442715,0.304119423692209,-0.0114516533769458
"40","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-10-19,63,26963092,66.2685448255532,51,83,-3.26854482555322,0.233652727958648,0.245775020259372,0.189147446442715,0.30782819715187,-0.0121222923007243
"41","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-10-26,62,26963092,66.4379596512424,51,83,-4.43795965124241,0.229943954498987,0.246403341468562,0.189147446442715,0.30782819715187,-0.0164593869695746
"42","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-11-02,63,26963092,66.5935223782961,51,84,-3.5935223782961,0.233652727958648,0.246980288381971,0.189147446442715,0.311536970611531,-0.0133275604233227
"43","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-11-09,66,26963092,66.7329850839576,51,83,-0.732985083957601,0.244779048337631,0.247497523963341,0.189147446442715,0.30782819715187,-0.0027184756257094
"44","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-11-16,69,26963092,66.8543323774104,51,84,2.14566762258956,0.255905368716615,0.2479475735847,0.189147446442715,0.311536970611531,0.00795779513191423
"45","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-11-23,69,26963092,66.9558166524118,51,84,2.04418334758816,0.255905368716615,0.248323955770398,0.189147446442715,0.311536970611531,0.00758141294621611
"46","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-11-30,69,26963092,67.0359892018044,51,83,1.96401079819564,0.255905368716615,0.248621297593779,0.189147446442715,0.30782819715187,0.00728407112283578
"47","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-12-07,69,26963092,67.0937263960534,51,84,1.90627360394663,0.255905368716615,0.248835431767445,0.189147446442715,0.311536970611531,0.00706993694916974
"48","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-12-14,70,26963092,67.1282502339745,52,84,2.87174976602553,0.259614142176276,0.248963472861252,0.192856219902376,0.311536970611531,0.0106506693150234
"49","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-12-21,70,26963092,67.1391427099338,51,84,2.86085729006622,0.259614142176276,0.249003870587,0.189147446442715,0.311536970611531,0.0106102715892755
"50","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2014-12-28,72,26963092,67.1263536027075,51,84,4.87364639729246,0.267031689095598,0.248956438685547,0.189147446442715,0.311536970611531,0.0180752504100511
"51","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2015-01-04,76,27468531,68.3478467111699,53,85,7.65215328883008,0.276680249118528,0.248822358615282,0.192948068464236,0.309445015461511,0.0278578905032456
"52","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2015-01-11,79,27468531,68.2879101912459,53,85,10.7120898087541,0.287601837899522,0.248604157940757,0.192948068464236,0.309445015461511,0.0389976799587649
"53","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2015-01-18,81,27468531,68.2059182973459,52,85,12.7940817026541,0.294882897086852,0.248305664024574,0.189307538870572,0.309445015461511,0.0465772330622781
"54","Texas","cancer_breast_mc_ma","Breast Cancer","Multiple Cause",2015-01-25,80,27468531,68.1032602326231,52,85,11.8967397673769,0.291242367493187,0.247931934301922,0.189307538870572,0.309445015461511,0.0433104331912648
