"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-19,91,38586706,87.2413983489797,69,107,3.75860165102034,0.235832517033198,0.226091852331162,0.178818062365831,0.277297574973101,0.00974066470203583
"2","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-26,90,38586706,87.0321987424659,69,106,2.96780125753411,0.233240950911954,0.225549697718343,0.178818062365831,0.274706008851857,0.00769125319361053
"3","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-02,88,38586706,86.798144005999,69,105,1.20185599400104,0.228057818669466,0.224943129392799,0.178818062365831,0.272114442730613,0.00311468927666704
"4","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-09,85,38586706,86.54276384286,69,106,-1.54276384285997,0.220283120305734,0.22428129481397,0.178818062365831,0.274706008851857,-0.003998174508236
"5","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-16,83,38586706,86.2698838418461,68,105.025,-3.26988384184607,0.215099988063246,0.223574108248178,0.176226496244587,0.272179231883643,-0.00847412018493122
"6","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-23,84,38586706,85.9835600008219,68,105,-1.98356000082187,0.21769155418449,0.222832081082075,0.176226496244587,0.272114442730613,-0.00514052689758454
"7","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-02,85,38586706,85.6880113633297,67,105,-0.688011363329721,0.220283120305734,0.22206614724597,0.173634930123344,0.272114442730613,-0.00178302694023616
"8","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-09,82,38586706,85.3875522336825,68,104,-3.38755223368246,0.212508421942003,0.221287487544758,0.176226496244587,0.269522876609369,-0.00877906560275566
"9","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-16,81,38586706,85.0865253190335,67.975,104,-4.08652531903347,0.209916855820759,0.220507356391171,0.176161707091556,0.269522876609369,-0.0105905005704127
"10","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-23,83,38586706,84.7892369917344,67,104,-1.78923699173437,0.215099988063246,0.219736914033902,0.173634930123344,0.269522876609369,-0.0046369259706552
"11","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-30,82,38586706,84.4998956833989,66,103,-2.49989568339892,0.212508421942003,0.218987066901743,0.1710433640021,0.266931310488125,-0.00647864495974059
"12","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-06,83,38586706,84.2225542254421,66,103,-1.22255422544211,0.215099988063246,0.218268318175286,0.1710433640021,0.266931310488125,-0.00316833011203939
"13","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-13,88,38586706,83.9610567511546,66,103,4.0389432488454,0.228057818669466,0.217590630180131,0.1710433640021,0.266931310488125,0.0104671884893346
"14","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-20,90,38586706,83.7189905822316,66,102,6.28100941776837,0.233240950911954,0.216963299697651,0.1710433640021,0.264339744366881,0.0162776512143026
"15","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-27,89,38586706,83.4996433472247,66,102,5.50035665277531,0.23064938479071,0.216394846834619,0.1710433640021,0.264339744366881,0.0142545379560912
"16","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-04,90,38586706,83.3059654278537,65,102,6.69403457214632,0.233240950911954,0.215892917700344,0.168451797880856,0.264339744366881,0.01734803321161
"17","California","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-11,91,38586706,83.1405377066,66,101,7.85946229340004,0.235832517033198,0.215464200822428,0.1710433640021,0.261748178245637,0.0203683162107697
