"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-19,831,318386329,817.623773978744,761,877,13.3762260212557,0.261003668910671,0.256802412511482,0.239017800290037,0.275451525432802,0.00420125639918907
"2","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-26,820,318386329,816.579460122126,762,874,3.42053987787415,0.257548746698857,0.256474410407906,0.239331884127475,0.274509273920489,0.00107433629095116
"3","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-02,812,318386329,815.29249464563,759,872,-3.29249464562997,0.255036075999356,0.256070195352398,0.238389632615162,0.273881106245614,-0.00103411935304231
"4","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-09,805,318386329,813.781969733773,757,871,-8.7819697337726,0.252837489137293,0.255595763891537,0.237761464940286,0.273567022408176,-0.00275827475424443
"5","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-16,807,318386329,812.070303535767,755,868,-5.07030353576727,0.253465656812168,0.255058157203655,0.237133297265411,0.272624770895863,-0.00159250039148737
"6","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-23,801,318386329,810.182847391417,756,868,-9.18284739141666,0.251581153787542,0.254465337734842,0.237447381102849,0.272624770895863,-0.00288418394730028
"7","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-02,802,318386329,808.147449880359,752.975,865,-6.1474498803592,0.25189523762498,0.253826052273859,0.2364972774946,0.271682519383551,-0.00193081464887872
"8","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-09,807,318386329,805.993988074276,750,863,1.00601192572424,0.253465656812168,0.253149684726028,0.235562878078223,0.271054351708675,0.000315972086139489
"9","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-16,815,318386329,803.753876599537,748,860,11.2461234004628,0.255978327511669,0.252446101917755,0.234934710403348,0.270112100196362,0.00353222559391449
"10","National","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-23,802,318386329,801.459564964731,746,859,0.540435035269184,0.25189523762498,0.251725495715217,0.234306542728472,0.269798016358925,0.000169741909763086
