"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-19,54,26963092,54.80430837867,41,70,-0.804308378669987,0.200273766821698,0.203256764389893,0.152059711846104,0.259614142176276,-0.00298299756819428
"2","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-01-26,54,26963092,54.6916545859577,40,70,-0.691654585957714,0.200273766821698,0.202838956993351,0.148350938386443,0.259614142176276,-0.00256519017165284
"3","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-02,55,26963092,54.5688958911346,40,70,0.431104108865433,0.203982540281359,0.202383672804048,0.148350938386443,0.259614142176276,0.00159886747731096
"4","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-09,52,26963092,54.4379216649631,40,69,-2.43792166496313,0.192856219902376,0.201897919070124,0.148350938386443,0.255905368716615,-0.009041699167748
"5","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-16,53,26963092,54.3007314176651,40,69,-1.30073141766506,0.196564993362037,0.201389111522021,0.148350938386443,0.255905368716615,-0.00482411815998349
"6","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-02-23,53,26963092,54.1594027020789,40,69,-1.15940270207886,0.196564993362037,0.200864955332567,0.148350938386443,0.255905368716615,-0.00429996197052943
"7","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-02,51,26963092,54.0160586509789,40,69,-3.01605865097892,0.189147446442715,0.200333324720247,0.148350938386443,0.255905368716615,-0.0111858782775318
"8","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-09,54,26963092,53.8728357503107,40,69,0.127164249689272,0.200273766821698,0.199802143427433,0.148350938386443,0.255905368716615,0.000471623394265288
"9","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-16,56,26963092,53.7318523923867,39,69,2.26814760761329,0.207691313741021,0.199279268091311,0.144642164926782,0.255905368716615,0.00841204564970996
"10","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-23,52,26963092,53.5951786841414,40,68,-1.59517868414142,0.192856219902376,0.198772376269537,0.148350938386443,0.252196595256953,-0.00591615636716077
"11","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-03-30,48,26963092,53.464807909813,39,68,-5.46480790981303,0.178021126063732,0.198288860601792,0.144642164926782,0.252196595256953,-0.0202677345380605
"12","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-06,50,26963092,53.3426299693483,39,68,-3.34262996934828,0.185438672983054,0.197835730298841,0.144642164926782,0.252196595256953,-0.0123970573157866
"13","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-13,47,26963092,53.2304070374834,39.975,68,-6.23040703748337,0.174312352604071,0.197419520867575,0.148258219049952,0.252196595256953,-0.0231071682635039
"14","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-20,44,26963092,53.1297516174157,39,68,-9.12975161741569,0.163186032225088,0.197046212717057,0.144642164926782,0.252196595256953,-0.0338601804919691
"15","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-04-27,47,26963092,53.0421071001084,39,68,-6.0421071001084,0.174312352604071,0.196721159057383,0.144642164926782,0.252196595256953,-0.0224088064533118
"16","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-04,51,26963092,52.9687308876844,39,68,-1.96873088768437,0.189147446442715,0.196449023308174,0.144642164926782,0.252196595256953,-0.00730157686545878
"17","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-11,50,26963092,52.9106800983187,39,68,-2.91068009831874,0.185438672983054,0.196233726081262,0.144642164926782,0.252196595256953,-0.0107950530982083
"18","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-18,53,26963092,52.8687998410224,39,68,0.131200158977613,0.196564993362037,0.196078401694518,0.144642164926782,0.252196595256953,0.000486591667519486
"19","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-05-25,56,26963092,52.8437140313731,39,68,3.15628596862695,0.207691313741021,0.195985364109476,0.144642164926782,0.252196595256953,0.0117059496315443
"20","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-01,54,26963092,52.8358187126389,39,67,1.16418128736107,0.200273766821698,0.1959560821609,0.144642164926782,0.248487821797292,0.0043176846607988
"21","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-08,51,26963092,52.8452778491875,39,68,-1.8452778491875,0.189147446442715,0.195991163955482,0.144642164926782,0.252196595256953,-0.00684371751276707
"22","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-15,53,26963092,52.8720215685577,39,68,0.127978431442322,0.196564993362037,0.196090350352095,0.144642164926782,0.252196595256953,0.000474643009942341
"23","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-22,51,26963092,52.9157468426088,39,68,-1.9157468426088,0.189147446442715,0.196252517488012,0.144642164926782,0.252196595256953,-0.00710507104529705
"24","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-06-29,49,26963092,52.9759206140973,39,68,-3.97592061409728,0.181729899523393,0.196475688374676,0.144642164926782,0.252196595256953,-0.0147457888512834
"25","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-06,52,26963092,53.0517853901125,39,68,-1.05178539011249,0.192856219902376,0.196757053642485,0.144642164926782,0.252196595256953,-0.00390083374010846
"26","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-13,56,26963092,53.1423673352938,40,68,2.85763266470622,0.207691313741021,0.197093001556698,0.148350938386443,0.252196595256953,0.010598312184323
"27","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-20,56,26963092,53.2464869031103,39,68,2.75351309688968,0.207691313741021,0.197479157446447,0.144642164926782,0.252196595256953,0.0102121562945736
"28","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-07-27,56,26963092,53.3627720404748,39,68,2.6372279595252,0.207691313741021,0.197910432677657,0.144642164926782,0.252196595256953,0.0097808810633632
"29","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-03,56,26963092,53.4896739877554,39,68,2.51032601224459,0.207691313741021,0.198381083251711,0.144642164926782,0.252196595256953,0.00931023048930957
"30","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-10,56,26963092,53.625485671617,40,69,2.37451432838297,0.207691313741021,0.198884778020329,0.148350938386443,0.255905368716615,0.00880653572069172
"31","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-17,53,26963092,53.768362651436,40,69,-0.768362651436036,0.196564993362037,0.199414676371078,0.148350938386443,0.255905368716615,-0.00284968300904079
"32","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-24,52,26963092,53.916346531471,40,69,-1.91634653147101,0.192856219902376,0.199963515057809,0.148350938386443,0.255905368716615,-0.00710729515543326
"33","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-08-31,55,26963092,54.067390691472,40,69,0.932609308527979,0.203982540281359,0.200523703629658,0.148350938386443,0.255905368716615,0.00345883665170144
"34","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-07,59,26963092,54.2193881197727,40,69,4.78061188022727,0.218817634120004,0.201087427657676,0.148350938386443,0.255905368716615,0.0177302064623274
"35","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-14,60,26963092,54.3702010577121,40,69,5.62979894228793,0.222526407579665,0.201646758679279,0.148350938386443,0.255905368716615,0.0208796489003855
"36","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-21,61,26963092,54.5176920858107,40,70,6.48230791418933,0.226235181039326,0.20219376948983,0.148350938386443,0.259614142176276,0.0240414115494964
"37","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-09-28,62,26963092,54.6597562043903,41,70,7.34024379560974,0.229943954498987,0.202720653122388,0.152059711846104,0.259614142176276,0.0272233013765993
"38","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-05,60,26963092,54.7943533886071,41,70,5.20564661139291,0.222526407579665,0.203219843586956,0.152059711846104,0.259614142176276,0.0193065639927087
"39","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-12,55,26963092,54.9195410346998,41,70,0.0804589653002239,0.203982540281359,0.203684136206262,0.152059711846104,0.259614142176276,0.000298404075097262
"40","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-19,55,26963092,55.0335056650214,41,70,-0.0335056650214014,0.203982540281359,0.204106805202539,0.152059711846104,0.259614142176276,-0.000124264921179668
"41","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-10-26,53,26963092,55.1345932281707,41,70,-2.13459322817074,0.196564993362037,0.204481716073849,0.152059711846104,0.259614142176276,-0.00791672271181192
"42","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-02,52,26963092,55.2213373205929,41,70,-3.22133732059294,0.192856219902376,0.204803430261607,0.152059711846104,0.259614142176276,-0.0119472103592308
"43","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-09,54,26963092,55.292484669735,41,71,-1.29248466973505,0.200273766821698,0.20506729966183,0.152059711846104,0.263322915635937,-0.00479353284013216
"44","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-16,57,26963092,55.3470172574221,41,70,1.65298274257792,0.211400087200682,0.205269548675731,0.152059711846104,0.259614142176276,0.00613053852495077
"45","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-23,57,26963092,55.3841705253568,41,71,1.61582947464316,0.211400087200682,0.205407341729787,0.152059711846104,0.263322915635937,0.00599274547089465
"46","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-11-30,56,26963092,55.4034471910118,41,71,0.596552808988157,0.207691313741021,0.205478834515759,0.152059711846104,0.263322915635937,0.00221247922526154
"47","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-07,58,26963092,55.4046263086621,41,71,2.59537369133793,0.215108860660343,0.205483207596006,0.152059711846104,0.263322915635937,0.00962565306433674
"48","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-14,58,26963092,55.3877673327578,41,70.0249999999996,2.61223266724223,0.215108860660343,0.205420681473615,0.152059711846104,0.259706861512766,0.00968817918672766
"49","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-21,57,26963092,55.3532090740348,41,71,1.64679092596522,0.211400087200682,0.205292512720851,0.152059711846104,0.263322915635937,0.0061075744798305
"50","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2014-12-28,58,26963092,55.3015635768354,41,71,2.69843642316463,0.215108860660343,0.205100971271527,0.152059711846104,0.263322915635937,0.0100078893888158
"51","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-04,63,27468531,56.2690933337293,42,71,6.73090666627068,0.229353364400885,0.20484929949013,0.152902242933923,0.258477601150203,0.0245040649107543
"52","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-11,65,27468531,56.1845876671839,42,71,8.81541233281606,0.236634423588214,0.20454165411024,0.152902242933923,0.258477601150203,0.0320927694779748
"53","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-18,67,27468531,56.0860795971546,41.975,71,10.9139204028454,0.243915482775544,0.204183032566083,0.152811229694082,0.258477601150203,0.0397324502094611
"54","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-01-25,67,27468531,55.9751487697953,42,71,11.0248512302047,0.243915482775544,0.203779185606232,0.152902242933923,0.258477601150203,0.0401362971693123
"55","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-01,66,27468531,55.8535545810371,41,71,10.1464454189629,0.240274953181879,0.20333651836364,0.149261713340258,0.258477601150203,0.0369384348182395
"56","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-08,63,27468531,55.7232064823337,42,71,7.27679351766628,0.229353364400885,0.202861982252832,0.152902242933923,0.258477601150203,0.0264913821480525
"57","Texas","cancer_breast_uc_ma","Breast Cancer","Underlying Cause",2015-02-15,61,27468531,55.5861324466094,41,70,5.41386755339058,0.222072305213555,0.202362960169255,0.149261713340258,0.254837071556539,0.0197093450443003
