"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-01-19,1146,318386329,1158.39990773681,1090,1226,-12.3999077368105,0.359940077703525,0.363834688309375,0.342351382807017,0.385066784698535,-0.00389461060585001
"2","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-01-26,1156,318386329,1157.11876170732,1088,1225,-1.11876170731966,0.363080916077901,0.363432301048114,0.341723215132142,0.384752700861098,-0.000351384970213235
"3","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-02,1168,318386329,1155.5386014205,1089,1224,12.4613985795031,0.366849922127153,0.362935998241462,0.34203729896958,0.38443861702366,0.00391392388569018
"4","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-09,1157,318386329,1153.68332790586,1085,1221,3.31667209413513,0.363394999915339,0.36235328681649,0.340780963619829,0.383496365511347,0.00104171309884826
"5","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-16,1163,318386329,1151.58090451214,1085,1219,11.4190954878597,0.365279502939965,0.361692949609071,0.340780963619829,0.382868197836472,0.00358655333089372
"6","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-02-23,1172,318386329,1149.26287830818,1083,1218,22.7371216918227,0.368106257476903,0.360964895043649,0.340152795944954,0.382554113999034,0.00714136243325408
"7","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-02,1173,318386329,1146.76384917269,1081,1215,26.2361508273057,0.368420341314341,0.360179990382908,0.339524628270079,0.381611862486721,0.00824035093143263
"8","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-09,1182,318386329,1144.12089862207,1077,1211,37.8791013779282,0.371247095851279,0.359349882331811,0.338268292920328,0.380355527136971,0.0118972135194687
"9","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-16,1177,318386329,1141.37299072805,1074,1211,35.6270092719469,0.369676676664091,0.358486808875532,0.337326041408015,0.380355527136971,0.0111898677885591
"10","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-23,1169,318386329,1138.56035735978,1071,1207,30.4396426402197,0.36716400596459,0.35760340619392,0.336383789895703,0.37909919178722,0.00956059977067035
"11","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-03-30,1155,318386329,1135.72387948627,1069,1203,19.2761205137274,0.362766832240463,0.356712514338602,0.335755622220827,0.37784285643747,0.00605431790186173
"12","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-04-06,1141,318386329,1132.90447545302,1066,1199,8.09552454697814,0.358369658516337,0.355826985100551,0.334813370708514,0.376586521087719,0.00254267341578543
"13","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-04-13,1117,318386329,1130.14250606789,1065,1198,-13.1425060678869,0.350831646417833,0.354959495157183,0.334499286871077,0.376272437250282,-0.00412784873934925
"14","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-04-20,1117,318386329,1127.47720507381,1060,1196,-10.4772050738052,0.350831646417833,0.354122367193035,0.332928867683889,0.375644269575406,-0.00329072077520175
"15","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-04-27,1097,318386329,1124.94614222634,1058,1192,-27.9461422263398,0.344549969669081,0.353327401261108,0.332300700009013,0.374387934225656,-0.00877743159202662
"16","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-05-04,1080,318386329,1122.58472480943,1056,1191,-42.5847248094299,0.339210544432641,0.352585718217012,0.331672532334138,0.374073850388218,-0.0133751737843712
"17","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-05-11,1087,318386329,1120.4257420814,1055,1186,-33.4257420814024,0.341409131294705,0.351907616636832,0.3313584484967,0.37250343120103,-0.0104984853421274
"18","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-05-18,1090,318386329,1118.4989559049,1052,1185,-28.4989559049047,0.342351382807017,0.351302444240596,0.330416196984388,0.372189347363592,-0.0089510614335783
"19","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-05-25,1098,318386329,1116.83073972547,1051,1184,-18.8307397254703,0.344864053506518,0.350778484501283,0.33010211314695,0.371875263526155,-0.00591443099476494
"20","National","cancer_colorectal_mc_ma","Colorectal Cancer","Multiple Cause",2014-06-01,1107,318386329,1115.44376715708,1050,1183,-8.44376715707813,0.347690808043457,0.350342858834582,0.329788029309512,0.371561179688717,-0.00265205079112493
