"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-01-19,992,318386329,1002.5022671548,942,1065,-10.5022671548015,0.31157116673813,0.314869759107905,0.295866974866248,0.334499286871077,-0.00329859236977525
"2","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-01-26,1006,318386329,1001.17816027248,939.975,1064,4.82183972751545,0.315968340462256,0.314453878537129,0.295230955095437,0.334185203033639,0.00151446192512727
"3","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-02,1020,318386329,999.681176270248,936,1063,20.3188237297516,0.320365514186383,0.313983700057124,0.293982471841622,0.333871119196201,0.00638181412925916
"4","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-09,1006,318386329,998.033922958821,937,1061,7.96607704117935,0.315968340462256,0.313466324415839,0.29429655567906,0.333242951521326,0.00250201604641742
"5","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-16,1009,318386329,996.261132244721,932.975,1059,12.7388677552786,0.316910591974569,0.312909519505381,0.293032368233374,0.332614783846451,0.00400107246918841
"6","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-02-23,1009,318386329,994.389261810548,932,1056,14.6107381894521,0.316910591974569,0.31232159525623,0.292726136491872,0.331672532334138,0.00458899671833967
"7","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-02,1009,318386329,992.446076724569,931,1055,16.5539232754306,0.316910591974569,0.311711272227574,0.292412052654434,0.3313584484967,0.00519931974699537
"8","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-09,1021,318386329,990.460219055009,929,1052.025,30.5397809449913,0.320679598023821,0.311087546430113,0.291783884979559,0.330424049080323,0.00959205159370751
"9","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-16,1021,318386329,988.460773310207,927,1051,32.5392266897933,0.320679598023821,0.310459552837838,0.291155717304684,0.33010211314695,0.0102200451859832
"10","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-23,1016,318386329,986.47683507172,925,1050,29.5231649282799,0.319109178836633,0.309836429902655,0.290527549629808,0.329788029309512,0.00927274893397823
"11","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-03-30,1008,318386329,984.537089572018,922,1046,23.4629104279818,0.316596508137132,0.309227187192456,0.289585298117495,0.328531693959762,0.00736932094467592
"12","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-04-06,995,318386329,982.669406235692,920,1044,12.3305937643077,0.312513418250442,0.308640578043064,0.28895713044262,0.327903526284886,0.00387284020737827
"13","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-04-13,975,318386329,980.900454397766,919,1044,-5.90045439776588,0.30623174150169,0.308084978861566,0.288643046605183,0.327903526284886,-0.00185323735987605
"14","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-04-20,978,318386329,979.255344579253,918,1041,-1.25534457925278,0.307173993014003,0.307568276456761,0.288328962767745,0.326961274772574,-0.00039428344275824
"15","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-04-27,960,318386329,977.757298879008,918,1041,-17.7572988790076,0.301520483940125,0.307097764514571,0.288328962767745,0.326961274772574,-0.00557728057444566
"16","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-05-04,946,318386329,976.427353267328,916,1039,-30.4273532673283,0.297123310215999,0.306680050093272,0.28770079509287,0.326333107097698,-0.00955673987727289
"17","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-05-11,955,318386329,975.284093869164,913,1038,-20.2840938691637,0.299950064752937,0.306320970794309,0.286758543580557,0.326019023260261,-0.00637090604137206
"18","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-05-18,956,318386329,974.343428723118,913,1036,-18.3434287231181,0.300264148590375,0.306025523075496,0.286758543580557,0.325390855585385,-0.00576137448512059
"19","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-05-25,961,318386329,973.618396009033,912,1035,-12.6183960090326,0.301834567777563,0.305797802018388,0.286444459743119,0.325076771747948,-0.00396323424082465
"20","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-06-01,970,318386329,973.119009355044,912,1035,-3.119009355044,0.304661322314502,0.305640952741738,0.286444459743119,0.325076771747948,-0.000979630427236089
"21","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-06-08,982,318386329,972.852140560587,911,1035,9.14785943941251,0.308430328363753,0.305557133566683,0.286130375905682,0.325076771747948,0.00287319479707074
"22","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-06-15,973,318386329,972.821439893184,911,1036,0.178560106816008,0.305603573826815,0.305547490983253,0.286130375905682,0.325390855585385,5.60828435620449e-05
"23","National","cancer_colorectal_uc_ma","Colorectal Cancer","Underlying Cause",2014-06-22,960,318386329,973.027294016611,912,1034,-13.0272940166105,0.301520483940125,0.305612146436291,0.286444459743119,0.32476268791051,-0.00409166249616532
