"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-19,263,38586706,262.338940021606,230,295,0.661059978393894,0.681581889887154,0.679868709243039,0.596060207886105,0.76451200576696,0.00171318064411586
"2","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-26,261,38586706,261.938005519699,231,295,-0.93800551969855,0.676398757644667,0.678829660971057,0.598651774007349,0.76451200576696,-0.00243090332639057
"3","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-02,261,38586706,261.430120310211,231,295,-0.430120310210953,0.676398757644667,0.677513442868668,0.598651774007349,0.76451200576696,-0.00111468522400164
"4","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-09,251,38586706,260.821672974894,229,293,-9.82167297489428,0.650483096432227,0.6759366113679,0.593468641764861,0.759328873524472,-0.0254535149356731
"5","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-16,248,38586706,260.120582258332,229,293,-12.1205822583315,0.642708398068495,0.674119688418938,0.593468641764861,0.759328873524472,-0.0314112903504423
"6","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-23,243,38586706,259.336147967019,228,293,-16.3361479670193,0.629750567462276,0.672086775085231,0.590877075643617,0.759328873524472,-0.0423362076229551
"7","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-02,244,38586706,258.478879300259,227,290,-14.4788793002591,0.63234213358352,0.669865106651651,0.588285509522373,0.751554175160741,-0.0375229730681316
"8","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-09,238,38586706,257.560305290992,225,289,-19.560305290992,0.616792736856056,0.667484561369379,0.583102377279885,0.748962609039497,-0.0506918245133233
"9","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-16,243,38586706,256.59277229174,225,288,-13.5927722917403,0.629750567462276,0.664977135627333,0.583102377279885,0.746371042918253,-0.0352265681650574
"10","California","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-23,245,38586706,255.589233490698,225,288,-10.5892334906984,0.634933699704764,0.662376398469199,0.583102377279885,0.746371042918253,-0.0274426987644356
