"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-19,3247,318386329,3283.23798105013,3168,3399,-36.2379810501343,1.01983022015999,1.03121198430921,0.995017597002414,1.06757096345051,-0.0113817641492183
"2","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-26,3231,318386329,3279.19179640217,3169,3394,-48.1917964021745,1.01480487876098,1.02994114310799,0.995331680839852,1.06600054426332,-0.015136264347008
"3","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-02,3221,318386329,3274.15195256026,3161,3388,-53.1519525602557,1.01166404038661,1.02835820961404,0.992819010140351,1.06411604123869,-0.016694169227428
"4","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-09,3188,318386329,3268.16937878784,3153,3384,-80.1693787878417,1.00129927375117,1.02647917988584,0.99030633944085,1.06285970588894,-0.0251799061346763
"5","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-16,3187,318386329,3261.30927227784,3150.975,3373,-74.3092722778356,1.00098518991373,1.02432453130795,0.989670319670038,1.05940478367713,-0.0233393413942204
"6","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-23,3203,318386329,3253.64993162872,3142,3367,-50.649931628725,1.00601053131273,1.02191885620463,0.986851417229036,1.0575202806525,-0.0159083248919036
"7","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-02,3184,318386329,3245.2813775874,3133,3359,-61.2813775873979,1.00004293840142,1.01929042863753,0.984024662692097,1.055007609953,-0.0192474902361143
"8","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-09,3191,318386329,3236.3037951655,3124,3351,-45.3037951655042,1.00224152526348,1.01647071509955,0.981197908155158,1.0524949392535,-0.0142291898360699
"9","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-16,3194,318386329,3226.82583427672,3112,3341,-32.8258342767181,1.00318377677579,1.01349384077252,0.977428902105907,1.04935410087912,-0.0103100639967233
"10","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-23,3185,318386329,3216.96280765345,3104.975,3329,-31.9628076534477,1.00035702223885,1.01039602352193,0.975222463147907,1.04558509482987,-0.0100390012830757
"11","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-30,3164,318386329,3206.83482500521,3094,3319,-42.8348250052104,0.993761261652663,1.00721498786627,0.971775393032029,1.0424442564555,-0.0134537262136059
"12","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-06,3181,318386329,3196.56490127332,3083,3309,-15.564901273317,0.999100686889103,1.00398937081036,0.968320470820215,1.03930341808112,-0.00488868392126126
"13","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-13,3164,318386329,3186.27707457786,3078,3301,-22.2770745778603,0.993761261652663,1.00075813072296,0.966750051633027,1.03679074738162,-0.00699686907029864
"14","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-20,3153,318386329,3176.09456625099,3064,3288,-23.094566250993,0.99030633944085,0.997559969432919,0.9623528779089,1.03270765749493,-0.00725362999206948
"15","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-27,3124,318386329,3166.13801144651,3055.975,3279,-42.1380114465114,0.981197908155158,0.994432776492269,0.959832355113463,1.02988090295799,-0.0132348683371111
"16","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-04,3150,318386329,3156.523784466,3045,3266,-6.52378446600324,0.989364087928537,0.991413103188235,0.956385284997585,1.0257978130713,-0.0020490152596983
"17","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-11,3108,318386329,3147.36243840301,3037,3258,-39.3624384030145,0.976172566756156,0.988535672460677,0.953872614298084,1.0232851423718,-0.0123631057045212
"18","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-18,3103,318386329,3138.757274217,3027,3249,-35.7572742170037,0.974602147568968,0.985832929471354,0.950731775923708,1.02045838783486,-0.0112307819023862
"19","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-25,3120,318386329,3130.80305012201,3021,3241,-10.8030501220082,0.979941572805408,0.983334636243759,0.948847272899082,1.01794571713536,-0.00339306343835141
"20","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-01,3121,318386329,3123.58483838311,3014,3238,-2.58483838311304,0.980255656642845,0.981067512601369,0.946648686037019,1.01700346562305,-0.000811855958524223
"21","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-08,3120,318386329,3117.17703338923,3007,3228,2.82296661077316,0.979941572805408,0.979054924619338,0.944450099174956,1.01386262724867,0.000886648186069938
"22","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-15,3127,318386329,3111.64251229499,3000,3224,15.3574877050096,0.982140159667471,0.977316620995681,0.942251512312892,1.01260629189892,0.00482353867179064
"23","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-22,3130,318386329,3107.03194763617,2997,3219,22.9680523638317,0.983082411179784,0.975868517154883,0.941309260800579,1.01103587271173,0.00721389402490071
"24","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-29,3124,318386329,3103.38327011109,2993,3215,20.6167298889109,0.981197908155158,0.974722526516234,0.940052925450829,1.00977953736198,0.00647538163892422
"25","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-06,3144,318386329,3100.72127913843,2991,3214,43.278720861565,0.987479584903911,0.973886438176318,0.939424757775953,1.00946545352455,0.0135931467275924
"26","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-13,3147,318386329,3099.05739876228,2990.975,3210,47.9426012377244,0.988421836416224,0.973363840242737,0.939416905680018,1.00820911817479,0.0150579961734866
"27","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-20,3159,318386329,3098.38957686735,2988,3208,60.6104231326453,0.992190842465475,0.973154088179255,0.93848250626364,1.00758095049992,0.0190367542862198
"28","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-27,3160,318386329,3098.70232635456,2990,3208,61.2976736454416,0.992504926302913,0.973252317738353,0.939110673938516,1.00758095049992,0.0192526085645598
"29","National","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-08-03,3144,318386329,3099.96690776059,2989,3214,44.0330922394123,0.987479584903911,0.973649502319111,0.938796590101078,1.00946545352455,0.0138300825847998
