"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-19,191,19653431,185.052155588188,159,213,5.94784441181162,0.971840489327283,0.941576845224574,0.809019046089204,1.08378023155346,0.0302636441027097
"2","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-26,180,19653431,184.806239801426,158,212,-4.80623980142636,0.915870618214194,0.940325583870961,0.803930875988014,1.07869206145227,-0.0244549656567668
"3","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-02,179,19653431,184.491527095807,158,213,-5.49152709580665,0.910782448113004,0.938724272091762,0.803930875988014,1.08378023155346,-0.0279418239787579
"4","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-09,173,19653431,184.111630897559,157,212,-11.1116308975591,0.880253427505864,0.936791295614283,0.798842705886825,1.07869206145227,-0.0565378681084186
"5","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-16,171,19653431,183.671157713274,157,211,-12.6711577132744,0.870077087303484,0.934550093127629,0.798842705886825,1.07360389135108,-0.0644730058241454
"6","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-23,174,19653431,183.17562168234,157,210,-9.17562168233997,0.885341597607054,0.932028721510967,0.798842705886825,1.06851572124989,-0.0466871239039126
"7","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-02,177,19653431,182.631344070188,157,210,-5.63134407018794,0.900606107910624,0.929259344438067,0.798842705886825,1.06851572124989,-0.0286532365274437
"8","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-09,180,19653431,182.045340371581,156,209,-2.04534037158115,0.915870618214194,0.92627765793963,0.793754535785635,1.0634275511487,-0.010407039725436
"9","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-16,183,19653431,181.425197904347,155,209,1.57480209565276,0.931135128517764,0.923122267579372,0.788666365684445,1.0634275511487,0.00801286093839166
"10","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-23,177,19653431,180.77894686612,154,208,-3.77894686612035,0.900606107910624,0.919834032368803,0.783578195583255,1.05833938104751,-0.0192279244581791
"11","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-30,177,19653431,180.114927803354,154,207,-3.11492780335419,0.900606107910624,0.916455390427016,0.783578195583255,1.05325121094632,-0.0158492825163921
"12","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-06,180,19653431,179.441658312884,154,207,0.558341687116211,0.915870618214194,0.913029680735561,0.783578195583255,1.05325121094632,0.00284093747863267
"13","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-13,179,19653431,178.767701576802,153,206,0.232298423197904,0.910782448113004,0.909600474221535,0.778490025482065,1.04816304084513,0.00118197389146915
"14","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-20,179,19653431,178.101539040272,152,204,0.898460959727998,0.910782448113004,0.906210925920629,0.773401855380875,1.03798670064275,0.00457152219237444
"15","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-27,183,19653431,177.451449200509,151,205,5.54855079949053,0.931135128517764,0.902903158234862,0.768313685279685,1.04307487074394,0.0282319702829014
"16","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-04,185,19653431,176.825394105679,151,203,8.1746058943211,0.941311468720144,0.899717683419648,0.768313685279685,1.03289853054156,0.0415937853004959
"17","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-11,181,19653431,176.230914786515,151,203,4.76908521348457,0.920958788315384,0.896692871522104,0.768313685279685,1.03289853054156,0.0242659167932794
"18","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-18,183,19653431,175.675036480797,150,202,7.3249635192031,0.931135128517764,0.893864468147047,0.763225515178495,1.02781036044037,0.0372706603707164
"19","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-25,179,19653431,175.164184178411,149,202,3.83581582158934,0.910782448113004,0.891265164735922,0.758137345077305,1.02781036044037,0.0195172833770823
"20","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-01,178,19653431,174.704108726081,149,201,3.29589127391853,0.905694278011814,0.888924222575089,0.758137345077305,1.02272219033918,0.0167700554367252
"21","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-08,175,19653431,174.299823495448,148,201,0.700176504551848,0.890429767708244,0.886867150552227,0.753049174976115,1.02272219033918,0.00356261715601641
"22","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-15,175,19653431,173.955551441665,148,201,1.04444855833492,0.890429767708244,0.885115435781493,0.753049174976115,1.02272219033918,0.00531433192675071
"23","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-22,167,19653431,173.674682263653,148,200,-6.67468226365278,0.849724406898724,0.883686325627585,0.753049174976115,1.01763402023799,-0.0339619187288611
"24","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-29,171,19653431,173.459739319616,148,200,-2.45973931961552,0.870077087303484,0.882592659366273,0.753049174976115,1.01763402023799,-0.012515572062789
"25","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-06,169,19653431,173.312355947241,148,200,-4.31235594724106,0.859900747101104,0.881842747697545,0.753049174976115,1.01763402023799,-0.0219420005964407
"26","New York","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-13,170,19653431,173.233260879263,148,200,-3.2332608792635,0.864988917202294,0.88144029853751,0.753049174976115,1.01763402023799,-0.0164513813352157
