"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-19,207,26963092,202.034765429122,174,230.025,4.96523457087784,0.767716106149844,0.74930117595238,0.645326581981028,0.853110615058539,0.0184149301974634
"2","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-01-26,209,26963092,201.761980555341,174,230,7.2380194446595,0.775133653069166,0.748289478652302,0.645326581981028,0.853017895722049,0.026844174416864
"3","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-02,205,26963092,201.435320875505,174,230,3.56467912449548,0.760298559230521,0.747077971901385,0.645326581981028,0.853017895722049,0.0132205873291367
"4","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-09,210,26963092,201.057693709538,173,230,8.94230629046223,0.778842426528827,0.7456774382906,0.641617808521367,0.853017895722049,0.0331649882382266
"5","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-16,212,26963092,200.632775071145,173,229,11.3672249288546,0.786259973448149,0.744101511322015,0.641617808521367,0.849309122262387,0.0421584621261337
"6","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-02-23,207,26963092,200.164945097305,172,229,6.83505490269451,0.767716106149844,0.742366435931404,0.637909035061706,0.849309122262387,0.0253496702184397
"7","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-02,198,26963092,199.659212284541,172,229,-1.65921228454121,0.734337145012894,0.740490787497744,0.637909035061706,0.849309122262387,-0.00615364248485008
"8","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-09,197,26963092,199.121128324982,171,227,-2.1211283249821,0.730628371553233,0.738495155989462,0.634200261602045,0.841891575343065,-0.00786678443622896
"9","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-16,192,26963092,198.556695487249,171,227,-6.55669548724916,0.712084504254928,0.736401802461117,0.634200261602045,0.841891575343065,-0.0243172982061893
"10","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-23,186,26963092,197.972268568049,171,226,-11.9722685680492,0.689831863496961,0.734234295414076,0.634200261602045,0.838182801883404,-0.0444024319171153
"11","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-03-30,190,26963092,197.374453451404,170,226,-7.37445345140387,0.704666957335605,0.732017134575678,0.630491488142384,0.838182801883404,-0.0273501772400727
"12","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-06,198,26963092,196.770004258515,170,225,1.22999574148525,0.734337145012894,0.729775369451377,0.630491488142384,0.834474028423743,0.00456177556151666
"13","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-13,202,26963092,196.165720960128,169,225,5.83427903987231,0.749172238851538,0.727534219592203,0.626782714682723,0.834474028423743,0.0216380192593354
"14","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-20,200,26963092,195.568349165229,169,223,4.43165083477086,0.741754691932216,0.725318702933733,0.626782714682723,0.827056481504421,0.0164359889984831
"15","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-04-27,204,26963092,194.984483606574,168,224,9.01551639342577,0.75658978577086,0.723153277845784,0.623073941223062,0.830765254964082,0.0334365079250769
"16","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-04,206,26963092,194.420476627518,167,223,11.5795233724818,0.764007332690183,0.721061503730797,0.6193651677634,0.827056481504421,0.0429458289593857
"17","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-11,196,26963092,193.882352748275,167,222.025,2.11764725172512,0.726919598093572,0.719065724169449,0.6193651677634,0.82344042738125,0.00785387392412234
"18","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-18,197,26963092,193.375730164773,166,222,3.62426983522681,0.730628371553233,0.717186775777693,0.615656394303739,0.82334770804476,0.0134415957755394
"19","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-05-25,201,26963092,192.905749820123,166,221,8.09425017987732,0.745463465391877,0.715443725148891,0.615656394303739,0.819638934585099,0.0300197402429859
"20","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-01,203,26963092,192.477012495759,166,220,10.522987504241,0.752881012311199,0.713853635539125,0.615656394303739,0.815930161125438,0.0390273767720743
"21","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-08,203,26963092,192.093524203159,165,220,10.9064757968409,0.752881012311199,0.71243136433744,0.611947620844078,0.815930161125438,0.0404496479737596
"22","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-15,205,26963092,191.758650021626,166,220,13.2413499783736,0.760298559230521,0.711189391860646,0.615656394303739,0.815930161125438,0.049109167369876
"23","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-22,196,26963092,191.475076424908,165,220,4.52492357509237,0.726919598093572,0.710137681631274,0.611947620844078,0.815930161125438,0.0167819164622973
"24","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-06-29,191,26963092,191.244782068945,164,219,-0.244782068945085,0.708375730795266,0.709283572035971,0.608238847384417,0.812221387665777,-0.00090784124070446
"25","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-06,181,26963092,191.069016972412,164,219,-10.0690169724117,0.671287996198656,0.708631699110813,0.608238847384417,0.812221387665777,-0.0373437029121575
"26","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-13,175,26963092,190.948290006783,164,219,-15.9482900067828,0.649035355440689,0.708183950144823,0.608238847384417,0.812221387665777,-0.0591485947041342
"27","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-20,176,26963092,190.882364617823,164,219,-14.882364617823,0.65274412890035,0.707939447811931,0.608238847384417,0.812221387665777,-0.0551953189115812
"28","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-07-27,178,26963092,190.870262719073,164,219,-12.870262719073,0.660161675819672,0.707894564611036,0.608238847384417,0.812221387665777,-0.0477328887913633
"29","Texas","cancer_lung_mc_ma","Lung Cancer","Multiple Cause",2014-08-03,179,26963092,190.910276722712,163,219,-11.9102767227118,0.663870449279333,0.708042967485746,0.604530073924756,0.812221387665777,-0.0441725182064125
