"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-19,3044,318386329,3090.01078688559,2982,3202,-46.0107868855894,0.956071201160148,0.970522445668699,0.936598003239015,1.00569644747529,-0.0144512445085509
"2","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-26,3039,318386329,3085.49824822974,2977.975,3193,-46.4982482297378,0.95450078197296,0.969105130211083,0.935333815793328,1.00286969293835,-0.0146043482381236
"3","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-02,3028,318386329,3080.24236942202,2970,3191,-52.2423694220224,0.951045859761146,0.967454343626049,0.932828997189763,1.00224152526348,-0.0164084838649031
"4","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-09,3000,318386329,3074.29591549117,2965,3186,-74.2959154911678,0.942251512312892,0.9655866585563,0.931258578002575,1.00067110607629,-0.0233351462434079
"5","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-16,3000,318386329,3067.72188663654,2959,3176,-67.721886636542,0.942251512312892,0.963521862346213,0.929374074977949,0.997530267701915,-0.0212703500333213
"6","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-23,3017,318386329,3060.59243801595,2952,3172,-43.5924380159454,0.947590937549332,0.961282617764642,0.927175488115886,0.996273932352165,-0.0136916802153102
"7","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-02,2990,318386329,3052.9876623227,2945,3164,-62.9876623226992,0.939110673938516,0.958894080632055,0.924976901253822,0.993761261652663,-0.019783406693539
"8","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-09,2996,318386329,3044.99426252318,2936,3155,-48.9942625231752,0.940995176963142,0.956383482948847,0.922150146716884,0.990934507115725,-0.0153883059857055
"9","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-16,3002,318386329,3036.70414337456,2925,3148,-34.7041433745626,0.942879679987767,0.953779690513836,0.91869522450507,0.988735920253661,-0.0109000105260683
"10","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-23,2995,318386329,3028.2129506208,2919,3135,-33.2129506207984,0.940681093125704,0.951112744109311,0.916810721480444,0.984652830366972,-0.0104316509836069
"11","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-30,2975,318386329,3019.61858613586,2908,3129,-44.6185861358581,0.934399416376951,0.948413393131543,0.91335579926863,0.982768327342346,-0.0140139767545918
"12","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-06,2990,318386329,3011.01972584951,2900,3122.025,-21.0197258495068,0.939110673938516,0.945712630095216,0.910843128569129,0.980577592576219,-0.00660195615670006
"13","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-13,2978,318386329,3002.51436518939,2895.975,3110,-24.51436518939,0.935341667889264,0.943041233780295,0.909578941123443,0.976800734431031,-0.00769956589103108
"14","National","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-04-20,2967,318386329,2994.19841416276,2886,3103,-27.1984141627636,0.93188674567745,0.940429327969909,0.906445954845002,0.974602147568968,-0.00854258229245879
