"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-19,193,26963092,188.914793594687,162,217,4.08520640531293,0.715793277714588,0.700642172621326,0.600821300465095,0.804803840746454,0.015151105093262
"2","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-01-26,195,26963092,188.64030871375,161,217,6.35969128625024,0.723210824633911,0.699624170379828,0.597112527005434,0.804803840746454,0.0235866542540827
"3","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-02,191,26963092,188.323011395183,162,216,2.67698860481667,0.708375730795266,0.698447386505907,0.600821300465095,0.801095067286793,0.00992834428935921
"4","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-09,197,26963092,187.965311310185,161,215,9.0346886898154,0.730628371553233,0.697120757924145,0.597112527005434,0.797386293827132,0.0335076136290875
"5","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-16,198,26963092,187.570225519413,161,215,10.4297744805871,0.734337145012894,0.695655474229042,0.597112527005434,0.797386293827132,0.0386816707838519
"6","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-02-23,193,26963092,187.141326568559,161,216,5.85867343144088,0.715793277714588,0.694064785183239,0.597112527005434,0.801095067286793,0.0217284925313494
"7","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-02,184,26963092,186.682681936631,160,215,-2.68268193663121,0.682414316577639,0.692363776144929,0.593403753545773,0.797386293827132,-0.00994945956729003
"8","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-09,184,26963092,186.198786197602,159,213,-2.19878619760203,0.682414316577639,0.690569116470774,0.589694980086112,0.78996874690781,-0.00815479989313552
"9","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-16,180,26963092,185.694487368978,159,213,-5.69448736897783,0.667579222738995,0.688698786359435,0.589694980086112,0.78996874690781,-0.0211195636204402
"10","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-23,175,26963092,185.174908983143,159,213,-10.1749089831431,0.649035355440689,0.686771787831837,0.589694980086112,0.78996874690781,-0.0377364323911482
"11","Texas","cancer_lung_uc_ma","Lung Cancer","Underlying Cause",2014-03-30,178,26963092,184.645369430004,158,212,-6.64536943000417,0.660161675819672,0.684807845591315,0.585986206626451,0.786259973448149,-0.0246461697716425
