"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_mc_ma","Cancer","Multiple Cause",2014-01-19,12690,318386329,12726.0844482074,12502.975,12955,-36.0844482073844,3.98572389708353,3.99705743904833,3.92698236738676,4.06895611400451,-0.0113335419647947
"2","National","cancer_mc_ma","Cancer","Multiple Cause",2014-01-26,12666,318386329,12713.2558584349,12491,12938,-47.2558584348881,3.97818588498503,3.99302818634367,3.92322121343344,4.06361668876807,-0.0148423013586391
"3","National","cancer_mc_ma","Cancer","Multiple Cause",2014-02-02,12654,318386329,12696.4900303241,12474,12922.025,-42.4900303241066,3.97441687893578,3.98776231071282,3.91788178819701,4.058599199465,-0.0133454317770367
"4","National","cancer_mc_ma","Cancer","Multiple Cause",2014-02-09,12563,318386329,12676.0364284861,12456.975,12897,-113.036428486128,3.94583524972895,3.98133816495812,3.91253451086463,4.05073925143312,-0.0355029152291674
"5","National","cancer_mc_ma","Cancer","Multiple Cause",2014-02-16,12550,318386329,12652.2000353563,12429,12875.025,-102.200035356327,3.94175215984226,3.97385153913324,3.90374801551231,4.04383725910543,-0.0320993792909768
"6","National","cancer_mc_ma","Cancer","Multiple Cause",2014-02-23,12523,318386329,12625.3359474751,12400,12846,-102.335947475058,3.93327189623145,3.96541396332223,3.89463958422662,4.0347209757238,-0.032142067090782
"7","National","cancer_mc_ma","Cancer","Multiple Cause",2014-03-02,12486,318386329,12595.8431854206,12371,12821,-109.843185420608,3.92165079424626,3.95615076343953,3.88553115294093,4.02686887978786,-0.0344999691932779
"8","National","cancer_mc_ma","Cancer","Multiple Cause",2014-03-09,12504,318386329,12564.1578694423,12345,12784.025,-60.1578694423115,3.92730430332013,3.94619891780665,3.87736497316755,4.01525562989861,-0.0188946144865132
"9","National","cancer_mc_ma","Cancer","Multiple Cause",2014-03-16,12506,318386329,12530.7459212835,12308,12756,-24.7459212834983,3.92793247099501,3.93570476491266,3.86574387118236,4.00645343035442,-0.00777229391765069
"10","National","cancer_mc_ma","Cancer","Multiple Cause",2014-03-23,12482,318386329,12496.0954550453,12275.975,12719.025,-14.095455045308,3.92039445889651,3.92482161350757,3.85568533628842,3.99484018046516,-0.00442715461105994
"11","National","cancer_mc_ma","Cancer","Multiple Cause",2014-03-30,12454,318386329,12460.7090165736,12235,12680,-6.70901657362992,3.91160011144825,3.91370730511913,3.84281575104941,3.98258305870916,-0.00210719367087835
"12","National","cancer_mc_ma","Cancer","Multiple Cause",2014-04-06,12421,318386329,12425.095822364,12202,12648,-4.09582236401548,3.90123534481281,3.90252177641836,3.83245098441397,3.97253237591115,-0.00128643160555285
"13","National","cancer_mc_ma","Cancer","Multiple Cause",2014-04-13,12351,318386329,12389.7641362388,12166,12613,-38.7641362387858,3.87924947619218,3.89142466485701,3.82114396626622,3.96153944160084,-0.012175188664833
"14","National","cancer_mc_ma","Cancer","Multiple Cause",2014-04-20,12326,318386329,12355.2139060637,12140,12577,-29.2139060636709,3.87139738025624,3.88057299597926,3.81297778649284,3.95023242345308,-0.00917561572302024
"15","National","cancer_mc_ma","Cancer","Multiple Cause",2014-04-27,12206,318386329,12321.9297646405,12096,12538,-115.92976464049,3.83370731976372,3.87011898511525,3.79915809764558,3.93798315379301,-0.0364116653515265
"16","National","cancer_mc_ma","Cancer","Multiple Cause",2014-05-04,12227,318386329,12290.3744797439,12070,12504,-63.3744797439158,3.84030308034991,3.86020798014349,3.7909919178722,3.92730430332013,-0.0199048997935825
"17","National","cancer_mc_ma","Cancer","Multiple Cause",2014-05-11,12210,318386329,12260.982919128,12045,12478,-50.9829191280005,3.83496365511347,3.85097656599697,3.78313982193626,3.91913812354676,-0.0160129108834948
"18","National","cancer_mc_ma","Cancer","Multiple Cause",2014-05-18,12160,318386329,12234.1565781477,12013.975,12455,-74.1565781476584,3.81925946324159,3.84255084587745,3.77339537087976,3.91191419528569,-0.0232913826358601
"19","National","cancer_mc_ma","Cancer","Multiple Cause",2014-05-25,12190,318386329,12210.2587012191,11990,12429.025,-20.2587012191107,3.82868197836472,3.83504490898512,3.76586521087719,3.90375586760825,-0.00636293062040068
"20","National","cancer_mc_ma","Cancer","Multiple Cause",2014-06-01,12224,318386329,12189.6100142838,11972,12413.025,34.3899857161814,3.8393608288376,3.82855949015443,3.76021170180331,3.89873052620925,0.0108013386831636
"21","National","cancer_mc_ma","Cancer","Multiple Cause",2014-06-08,12229,318386329,12172.4850741483,11956,12392,56.5149258516867,3.84093124802479,3.82318082324078,3.75518636040431,3.89212691352712,0.0177504247840009
"22","National","cancer_mc_ma","Cancer","Multiple Cause",2014-06-15,12173,318386329,12159.1092322497,11941,12376,13.8907677503394,3.82334255312828,3.8189796874883,3.75047510284275,3.88710157212812,0.00436286563998147
"23","National","cancer_mc_ma","Cancer","Multiple Cause",2014-06-22,12179,318386329,12149.6562050471,11932,12369,29.3437949528834,3.8252270561529,3.81601064442912,3.74764834830581,3.88490298526605,0.0092164117237846
"24","National","cancer_mc_ma","Cancer","Multiple Cause",2014-06-29,12112,318386329,12144.2462406909,11924.975,12366,-32.2462406908708,3.80418343904458,3.81431146206371,3.74544190934781,3.88396073375374,-0.0101280230191262
"25","National","cancer_mc_ma","Cancer","Multiple Cause",2014-07-06,12144,318386329,12142.9448715345,11927.975,12359,1.05512846554302,3.81423412184259,3.81390272304514,3.74638416086012,3.88176214689168,0.000331398797447431
"26","National","cancer_mc_ma","Cancer","Multiple Cause",2014-07-13,12143,318386329,12145.762243976,11926,12368,-2.76224397602346,3.81392003800515,3.81478761419308,3.74576384528118,3.88458890142862,-0.000867576187928426
