"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-01-19,802,318386329,807.429970859456,751,865,-5.42997085945626,0.25189523762498,0.253600703709692,0.235876961915661,0.271682519383551,-0.00170546608471253
"2","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-01-26,790,318386329,806.630261171615,751,863,-16.6302611716152,0.248126231575728,0.253349527822099,0.235876961915661,0.271054351708675,-0.00522329624637093
"3","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-02,793,318386329,805.759558451576,749,862,-12.7595584515763,0.249068483088041,0.253076054170522,0.235248794240785,0.270740267871238,-0.00400757108248082
"4","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-09,778,318386329,804.836090872502,747,861,-26.8360908725023,0.244357225526477,0.252786007929537,0.23462062656591,0.2704261840338,-0.00842878240306049
"5","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-16,791,318386329,803.878789340975,748,860.025,-12.878789340975,0.248440315413166,0.25248533499093,0.234934710403348,0.270119952292298,-0.00404501957776428
"6","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-23,780,318386329,802.907001735234,746,860,-22.9070017352342,0.244985393201352,0.252180112210545,0.234306542728472,0.270112100196362,-0.00719471900919282
"7","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-02,799,318386329,801.940205999053,747,859,-2.94020599905252,0.250952986112667,0.251876457295706,0.23462062656591,0.269798016358925,-0.000923471183039559
"8","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-09,795,318386329,800.997726616504,745,858,-5.99772661650445,0.249696650762916,0.25158043975453,0.233992458891035,0.269483932521487,-0.00188378899161353
"9","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-16,806,318386329,800.098458625574,744,857,5.90154137442562,0.25315157297473,0.251297994213054,0.233678375053597,0.269169848684049,0.00185357876167655
"10","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-23,801,318386329,799.260602902144,743,856,1.73939709785566,0.251581153787542,0.25103483727222,0.23336429121616,0.268855764846612,0.000546316515322383
"11","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-30,817,318386329,798.501415984962,743,856,18.4985840150384,0.256606495186544,0.250796388931939,0.23336429121616,0.268855764846612,0.00581010625460568
"12","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-06,808,318386329,797.836977240004,742.975,855,10.163022759996,0.253779740649606,0.25058769946118,0.233356439120224,0.268541681009174,0.00319204118842553
"13","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-13,805,318386329,797.281975700167,740,853,7.71802429983347,0.252837489137293,0.250413382447764,0.232422039703847,0.267913513334299,0.00242410668952858
"14","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-20,803,318386329,796.84951848122,740,853,6.15048151878045,0.252209321462417,0.25027755462491,0.232422039703847,0.267913513334299,0.00193176683750779
"15","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-27,806,318386329,796.550962280875,741,853,9.4490377191247,0.25315157297473,0.250183782947815,0.232736123541284,0.267913513334299,0.0029677900269156
"16","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-04,795,318386329,796.395769123968,742,852,-1.39576912396842,0.249696650762916,0.250135039285549,0.233050207378722,0.267599429496861,-0.000438388522632962
"17","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-11,795,318386329,796.391387227578,741.975,852,-1.39138722757798,0.249696650762916,0.250133663002716,0.233042355282786,0.267599429496861,-0.000437012239799398
"18","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-18,799,318386329,796.543157625295,740,855,2.45684237470505,0.250952986112667,0.25018133163164,0.232422039703847,0.268541681009174,0.000771654481026743
"19","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-25,798,318386329,796.854247006049,743,853,1.14575299395085,0.250638902275229,0.250279039778134,0.23336429121616,0.267913513334299,0.000359862497095738
"20","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-01,795,318386329,797.325607081381,742,853,-2.32560708138124,0.249696650762916,0.250427086359409,0.233050207378722,0.267913513334299,-0.000730435596492347
"21","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-08,795,318386329,797.955960685711,741,854,-2.95596068571137,0.249696650762916,0.250625070238399,0.232736123541284,0.268227597171737,-0.000928419475482999
"22","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-15,805,318386329,798.741814723468,745,854,6.25818527653178,0.252837489137293,0.250871894290244,0.233992458891035,0.268227597171737,0.00196559484704878
"23","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-22,802,318386329,799.677499990718,745,856,2.32250000928184,0.25189523762498,0.251165777909616,0.233992458891035,0.268855764846612,0.000729459715364173
"24","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-29,809,318386329,800.755237802584,744,858,8.24476219741632,0.254093824487043,0.251504277937318,0.233678375053597,0.269483932521487,0.00258954654972523
"25","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-06,810,318386329,801.965233236939,747,859,8.03476676306127,0.254407908324481,0.251884317946622,0.23462062656591,0.269798016358925,0.00252359037785861
"26","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-13,826,318386329,803.295794646921,747,859,22.7042053530795,0.259433249723483,0.252302225780216,0.23462062656591,0.269798016358925,0.0071310239432672
"27","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-20,823,318386329,804.733478889689,749,860,18.2665211103111,0.25849099821117,0.252753779164208,0.235248794240785,0.270112100196362,0.00573721904696202
"28","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-27,832,318386329,806.263261459007,750,862,25.7367385409931,0.261317752748109,0.253234259144025,0.235562878078223,0.270740267871238,0.00808349360408408
"29","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-03,822,318386329,807.868730391779,753,866,14.1312696082209,0.258176914373732,0.253738510987317,0.236505129590536,0.271996603220988,0.00443840338641579
"30","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-10,816,318386329,809.532302444262,754,867,6.46769755573814,0.256292411349107,0.254261012081414,0.236819213427974,0.272310687058426,0.00203139926769222
"31","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-17,803,318386329,811.235459608241,756,869,-8.23545960824106,0.252209321462417,0.254795946219236,0.237447381102849,0.272938854733301,-0.00258662475681896
"32","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-24,799,318386329,812.959003571306,757,869,-13.9590035713064,0.250952986112667,0.255337283521148,0.237761464940286,0.272938854733301,-0.00438429740848151
"33","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-31,791,318386329,814.68332523331,757,872,-23.6833252333103,0.248440315413166,0.255878865085727,0.237761464940286,0.273881106245614,-0.00743854967256156
"34","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-09-07,806,318386329,816.388685892122,761,873,-10.3886858921218,0.25315157297473,0.256414491305662,0.239017800290037,0.274195190083052,-0.00326291833093178
"35","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-09-14,817,318386329,818.055506228216,762,876,-1.05550622821568,0.256606495186544,0.256938012633142,0.239331884127475,0.275137441595364,-0.000331517446597299
"36","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-09-21,822,318386329,819.664658773632,765,876,2.3353412263682,0.258176914373732,0.257443421439628,0.240274135639787,0.275137441595364,0.000733492934104027
"37","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-09-28,829,318386329,821.197759171965,764,878,7.80224082803477,0.260375501235796,0.257924943495914,0.23996005180235,0.27576560927024,0.00245055773988172
"38","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-10-05,828,318386329,822.637451247155,765,880,5.36254875284533,0.260061417398358,0.258377127507618,0.240274135639787,0.276393776945115,0.00168428989074004
"39","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-10-12,825,318386329,823.967680722596,768,880.025,1.03231927740364,0.259119165886045,0.258794931085938,0.2412163871521,0.276401629041051,0.000324234800107779
"40","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-10-19,824,318386329,825.173952387973,769,883,-1.17395238797303,0.258805082048608,0.259173801519591,0.241530470989538,0.277336028457428,-0.00036871947098364
"41","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-10-26,820,318386329,826.24356561324,769,883,-6.24356561324009,0.257548746698857,0.259509749745957,0.241530470989538,0.277336028457428,-0.00196100304710008
"42","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-11-02,823,318386329,827.165823365497,771,885,-4.16582336549652,0.25849099821117,0.259799415999893,0.242158638664413,0.277964196132303,-0.00130841778872249
"43","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-11-09,826,318386329,827.932210295927,772,885,-1.93221029592667,0.259433249723483,0.260040125747964,0.242472722501851,0.277964196132303,-0.000606876024481147
"44","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-11-16,820,318386329,828.536536024005,773,887,-8.53653602400539,0.257548746698857,0.260229934691701,0.242786806339289,0.278592363807178,-0.00268118799284419
"45","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-11-23,824,318386329,828.975040440491,770,887,-4.97504044049128,0.258805082048608,0.260367661841565,0.241844554826976,0.278592363807178,-0.0015625797929569
"46","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-11-30,836,318386329,829.246458658068,773,886,6.75354134193174,0.262574088097859,0.260452909916892,0.242786806339289,0.278278279969741,0.00212117818096761
"47","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-12-07,832,318386329,829.352044131686,772,886,2.64795586831372,0.261317752748109,0.260486072607623,0.242472722501851,0.278278279969741,0.000831680140485465
"48","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-12-14,840,318386329,829.295549417474,774,887,10.704450582526,0.26383042344761,0.260468328530989,0.243100890176726,0.278592363807178,0.00336209491662124
"49","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-12-21,839,318386329,829.083165004661,772,887,9.91683499533917,0.263516339610172,0.2604016220196,0.242472722501851,0.278592363807178,0.00311471759057192
"50","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-12-28,848,318386329,828.723417603316,772,886,19.276582396684,0.266343094147111,0.260288631175278,0.242472722501851,0.278278279969741,0.0060544629718332
"51","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-01-04,845,320738994,834.347081715614,777,893,10.6529182843856,0.263454090649171,0.260132723904351,0.242253051401664,0.278419530118,0.0033213667448198
"52","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-01-11,857,320738994,833.72221480291,777,891,23.2777851970898,0.267195450516378,0.259937902905223,0.242253051401664,0.277795970140132,0.00725754761115506
"53","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-01-18,862,320738994,832.987202568366,776,890,29.0127974316338,0.268754350461048,0.259708740798871,0.24194127141273,0.277484190151198,0.00904560966217714
"54","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-01-25,860,320738994,832.158303867852,778,890,27.8416961321479,0.26813079048318,0.259450306771197,0.242564831390598,0.277484190151198,0.00868048371198294
"55","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-02-01,838,320738994,831.25311253713,774,888.025,6.74688746286961,0.261271630726634,0.259168086228122,0.241317711434862,0.276868424673054,0.00210354449851196
"56","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-02-08,827,320738994,830.29028236586,773,889,-3.29028236585998,0.25784205084836,0.258867895047978,0.241005931445928,0.277172410162264,-0.00102584419961733
"57","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-02-15,806,320738994,829.289239939584,774,888,-23.2892399395839,0.251294671080748,0.258555790051391,0.241317711434862,0.27686063017333,-0.00726111897064313
"58","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-02-22,797,320738994,828.269890514322,772,885,-31.2698905143222,0.248488651180343,0.258237977298863,0.240694151456994,0.275925290206529,-0.00974932611852061
"59","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-03-01,815,320738994,827.252321924368,771,884,-12.2523219243676,0.254100690981153,0.257920719775148,0.24038237146806,0.275613510217595,-0.00382002879399429
"60","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-03-08,838,320738994,826.256511247143,772,884.025,11.7434887528572,0.261271630726634,0.257610245933222,0.240694151456994,0.275621304717318,0.00366138479341154
"61","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-03-15,835,320738994,825.302038582234,771,882,9.69796141776612,0.260336290759832,0.257312660456319,0.24038237146806,0.274989950239727,0.00302363030351281
"62","National","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2015-03-22,840,320738994,824.407811869726,767,882,15.5921881302743,0.261895190704502,0.257033858461789,0.239135251512325,0.274989950239727,0.00486133224271268
