"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-01-19,54,19653431,53.9928865603749,40,69,0.00711343962511535,0.274761185464258,0.274724991073441,0.203526804047599,0.351083736982108,3.61943908171319e-05
"2","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-01-26,53,19653431,53.9259919426615,40,69,-0.925991942661526,0.269673015363068,0.274384619879661,0.203526804047599,0.351083736982108,-0.00471160451659319
"3","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-02,54,19653431,53.846707262073,40,69,0.153292737926989,0.274761185464258,0.273981205938408,0.203526804047599,0.351083736982108,0.000779979525849656
"4","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-09,55,19653431,53.7563746605513,39.975,69.0249999999996,1.24362533944871,0.279849355565448,0.273521578296183,0.203399599795069,0.351210941234635,0.00632777726926512
"5","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-16,56,19653431,53.6564969825021,39,69,2.34350301749791,0.284937525666638,0.273013383680957,0.198438633946409,0.351083736982108,0.0119241419856813
"6","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-02-23,57,19653431,53.5487126881341,39,68,3.45128731186588,0.290025695767828,0.272464958856976,0.198438633946409,0.345995566880918,0.0175607369108523
"7","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-02,57,19653431,53.4347690302008,40,69,3.56523096979924,0.290025695767828,0.271885194143459,0.203526804047599,0.351083736982108,0.018140501624369
"8","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-09,57,19653431,53.3164940648254,39,68,3.68350593517461,0.290025695767828,0.271283391000917,0.198438633946409,0.345995566880918,0.0187423047669112
"9","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-16,56,19653431,53.1957680573642,39,69,2.80423194263581,0.284937525666638,0.270669116539317,0.198438633946409,0.351083736982108,0.0142684091273214
"10","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-23,53,19653431,53.0744948175588,39,68,-0.0744948175588434,0.269673015363068,0.270052057666465,0.198438633946409,0.345995566880918,-0.000379042303396508
"11","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-03-30,51,19653431,52.9545734573204,39,68,-1.95457345732045,0.259496675160688,0.269441877386806,0.198438633946409,0.345995566880918,-0.00994520222611741
"12","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-06,52,19653431,52.8378710126254,39,68,-0.837871012625378,0.264584845261878,0.268848075496972,0.198438633946409,0.345995566880918,-0.00426323023509421
"13","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-13,50,19653431,52.7261963117532,39,68,-2.72619631175323,0.254408505059498,0.268279855622935,0.198438633946409,0.345995566880918,-0.0138713505634372
"14","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-20,50,19653431,52.6212754090443,39,67,-2.62127540904426,0.254408505059498,0.267746000222782,0.198438633946409,0.340907396779728,-0.0133374951632835
"15","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-04-27,52,19653431,52.5247288399506,39,68,-0.524728839950576,0.264584845261878,0.267254754856547,0.198438633946409,0.345995566880918,-0.00266990959466862
"16","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-04,53,19653431,52.4380508924592,39,67,0.561949107540819,0.269673015363068,0.266813722715689,0.198438633946409,0.340907396779728,0.00285929264737958
"17","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-11,52,19653431,52.3625910346058,38,67,-0.362591034605849,0.264584845261878,0.266429770123119,0.193350463845219,0.340907396779728,-0.00184492486124102
"18","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-18,55,19653431,52.2995375897417,38,67,2.70046241025826,0.279849355565448,0.266108943470185,0.193350463845219,0.340907396779728,0.0137404120952635
"19","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-05-25,54,19653431,52.2499037118477,39,67,1.75009628815231,0.274761185464258,0.265856397856678,0.198438633946409,0.340907396779728,0.0089047876075801
"20","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-01,50,19653431,52.2145156831698,39,67,-2.21451568316976,0.254408505059498,0.265676337547219,0.198438633946409,0.340907396779728,-0.0112678324877207
"21","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-08,50,19653431,52.1940035358308,38,67,-2.19400353583084,0.254408505059498,0.265571968252418,0.193350463845219,0.340907396779728,-0.0111634631929195
"22","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-15,51,19653431,52.1887939872853,38,67,-1.1887939872853,0.259496675160688,0.265545461183268,0.193350463845219,0.340907396779728,-0.00604878602257947
"23","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-22,51,19653431,52.1991056754308,38,67,-1.19910567543079,0.259496675160688,0.265597928806582,0.193350463845219,0.340907396779728,-0.00610125364589416
"24","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-06-29,53,19653431,52.2249466813501,39,67,0.775053318649896,0.269673015363068,0.265729412240286,0.198438633946409,0.340907396779728,0.00394360312278246
"25","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-06,57,19653431,52.266114334147,39,67,4.73388566585304,0.290025695767828,0.265938880260383,0.198438633946409,0.340907396779728,0.0240868155074452
"26","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-13,56,19653431,52.3221973010535,39,67,3.67780269894649,0.284937525666638,0.266224239935783,0.198438633946409,0.340907396779728,0.0187132857308553
"27","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-20,56,19653431,52.3925799747112,38,67,3.60742002528878,0.284937525666638,0.26658235895153,0.193350463845219,0.340907396779728,0.0183551667151083
"28","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-07-27,57,19653431,52.4764491760279,39,67,4.5235508239721,0.290025695767828,0.26700909971408,0.198438633946409,0.340907396779728,0.0230165960537481
"29","New York","cancer_pancreas_mc_ma","Pancreatic Cancer","Multiple Cause",2014-08-03,55,19653431,52.5728031931633,39,67,2.42719680683666,0.279849355565448,0.267499365343198,0.198438633946409,0.340907396779728,0.0123499902222501
