"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_stomach_mc_ma","Stomach Cancer","Multiple Cause",2014-01-19,240,318386329,238.869503420385,208,271,1.13049657961523,0.0753801209850314,0.0750250502810957,0.0653294381870272,0.0851167199455979,0.000355070703935666
"2","National","cancer_stomach_mc_ma","Stomach Cancer","Multiple Cause",2014-01-26,246,318386329,238.49724748905,210,270,7.5027525109499,0.0772646240096571,0.0749081307096732,0.0659576058619024,0.0848026361081603,0.00235649329998397
"3","National","cancer_stomach_mc_ma","Stomach Cancer","Multiple Cause",2014-02-02,240,318386329,238.099464532695,208,269,1.90053546730488,0.0753801209850314,0.0747831935122739,0.0653294381870272,0.0844885522707226,0.000596927472757436
"4","National","cancer_stomach_mc_ma","Stomach Cancer","Multiple Cause",2014-02-09,237,318386329,237.681196570902,208,269,-0.68119657090233,0.0744378694727185,0.0746518223057568,0.0653294381870272,0.0844885522707226,-0.000213952833038359
"5","National","cancer_stomach_mc_ma","Stomach Cancer","Multiple Cause",2014-02-16,231,318386329,237.24776423195,207,268,-6.2477642319505,0.0725533664480927,0.0745156882134693,0.0650153543495895,0.084174468433285,-0.00196232176537658
"6","National","cancer_stomach_mc_ma","Stomach Cancer","Multiple Cause",2014-02-23,228,318386329,236.804684785154,207,268,-8.80468478515405,0.0716111149357798,0.0743765241205297,0.0650153543495895,0.084174468433285,-0.00276540918474991
"7","National","cancer_stomach_mc_ma","Stomach Cancer","Multiple Cause",2014-03-02,222,318386329,236.357588645149,206,267,-14.3575886451486,0.069726611911154,0.0742360984491732,0.0647012705121519,0.0838603845958474,-0.00450948653801922
"8","National","cancer_stomach_mc_ma","Stomach Cancer","Multiple Cause",2014-03-09,229,318386329,235.912135752859,206,267,-6.91213575285937,0.0719251987732174,0.0740961888953653,0.0647012705121519,0.0838603845958474,-0.00217099012214792
"9","National","cancer_stomach_mc_ma","Stomach Cancer","Multiple Cause",2014-03-16,230,318386329,235.473933151645,205,267,-5.47393315164518,0.0722392826106551,0.0739585565408008,0.0643871866747143,0.0838603845958474,-0.00171927393014578
"10","National","cancer_stomach_mc_ma","Stomach Cancer","Multiple Cause",2014-03-23,232,318386329,235.048454966804,205,266,-3.04845496680437,0.0728674502855303,0.07382492071976,0.0643871866747143,0.0835463007584098,-0.000957470434229722
