"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_stomach_uc_ma","Stomach Cancer","Underlying Cause",2014-01-19,223,318386329,221.04366595293,192,251,1.95633404707002,0.0700406957485916,0.069426242843778,0.0603040967880251,0.0788350431968453,0.000614452904813641
"2","National","cancer_stomach_uc_ma","Stomach Cancer","Underlying Cause",2014-01-26,230,318386329,220.6771903035,192,251,9.32280969649958,0.0722392826106551,0.0693111387654777,0.0603040967880251,0.0788350431968453,0.00292814384517734
"3","National","cancer_stomach_uc_ma","Stomach Cancer","Underlying Cause",2014-02-02,224,318386329,220.292047123698,192,250,3.70795287630179,0.0703547795860293,0.0691901715176025,0.0603040967880251,0.0785209593594077,0.00116460806842677
"4","National","cancer_stomach_uc_ma","Stomach Cancer","Underlying Cause",2014-02-09,222,318386329,219.893075669855,190,249.025,2.10692433014464,0.069726611911154,0.0690648610323515,0.0596759291131498,0.0782147276179059,0.000661750878802537
"5","National","cancer_stomach_uc_ma","Stomach Cancer","Underlying Cause",2014-02-16,214,318386329,219.485294785906,191,249,-5.48529478590589,0.067213941211653,0.0689367836474869,0.0599900129505875,0.07820687552197,-0.00172284243583395
"6","National","cancer_stomach_uc_ma","Stomach Cancer","Underlying Cause",2014-02-23,209,318386329,219.073826993511,190,249,-10.0738269935115,0.0656435220244648,0.0688075482642697,0.0596759291131498,0.07820687552197,-0.00316402623980487
"7","National","cancer_stomach_uc_ma","Stomach Cancer","Underlying Cause",2014-03-02,203,318386329,218.663822436329,190,249,-15.6638224363293,0.063759018999839,0.068678772459583,0.0596759291131498,0.07820687552197,-0.00491975345974397
"8","National","cancer_stomach_uc_ma","Stomach Cancer","Underlying Cause",2014-03-09,208,318386329,218.260383876599,189,248,-10.2603838765986,0.0653294381870272,0.0685520589285725,0.0593618452757122,0.0778927916845324,-0.00322262074154527
"9","National","cancer_stomach_uc_ma","Stomach Cancer","Underlying Cause",2014-03-16,208,318386329,217.868493843883,189,248,-9.86849384388347,0.0653294381870272,0.0684289726032437,0.0593618452757122,0.0778927916845324,-0.00309953441621656
"10","National","cancer_stomach_uc_ma","Stomach Cancer","Underlying Cause",2014-03-23,212,318386329,217.492944921892,189,247,-5.49294492189239,0.0665857735367777,0.0683110187566792,0.0593618452757122,0.0775787078470948,-0.00172524521990151
