"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cancer_uc_ma","Cancer","Underlying Cause",2014-01-19,11514,318386329,11580.1184271006,11359,11793,-66.1184271005859,3.61636130425688,3.63712803356597,3.56767830945405,3.70399069490198,-0.0207667293090923
"2","National","cancer_uc_ma","Cancer","Underlying Cause",2014-01-26,11508,318386329,11565.8063471211,11355,11782.025,-57.806347121108,3.61447680123225,3.6326328405643,3.5664219741043,3.7005436247861,-0.0181560393320494
"3","National","cancer_uc_ma","Cancer","Underlying Cause",2014-02-02,11505,318386329,11548.9364355782,11337,11763,-43.9364355782036,3.61353454971994,3.62733427400967,3.56076846503042,3.69456817977885,-0.0137997242897334
"4","National","cancer_uc_ma","Cancer","Underlying Cause",2014-02-09,11429,318386329,11529.7508498994,11318,11742,-100.750849899421,3.58966417807468,3.62130839163619,3.5548008721191,3.68797241919266,-0.0316442135615129
"5","National","cancer_uc_ma","Cancer","Underlying Cause",2014-02-16,11419,318386329,11508.5255474874,11294,11720,-89.5255474874393,3.5865233397003,3.61464186720386,3.5472628600206,3.68106257476903,-0.0281185275035598
"6","National","cancer_uc_ma","Cancer","Underlying Cause",2014-02-23,11416,318386329,11485.5656752192,11274.975,11700,-69.5656752192372,3.58558108818799,3.60743054241479,3.54128741501335,3.67478089802028,-0.0218494542267979
"7","National","cancer_uc_ma","Cancer","Underlying Cause",2014-03-02,11402,318386329,11461.2005583497,11246.975,11672,-59.2005583497394,3.58118391446386,3.5997778530088,3.5324930675651,3.66598655057203,-0.0185939385449365
"8","National","cancer_uc_ma","Cancer","Underlying Cause",2014-03-09,11413,318386329,11435.7783957914,11224,11646,-22.7783957913543,3.58463883667568,3.5917931626365,3.52527699139997,3.65782037079865,-0.00715432596082175
"9","National","cancer_uc_ma","Cancer","Underlying Cause",2014-03-16,11433,318386329,11409.6607693298,11202,11618,23.3392306702117,3.59092051342443,3.58359003829269,3.51836714697634,3.64902602335039,0.00733047513174213
"10","National","cancer_uc_ma","Cancer","Underlying Cause",2014-03-23,11400,318386329,11383.2170715899,11170,11600,16.7829284100535,3.58055574678899,3.57528450023052,3.50831646417834,3.64337251427652,0.00527124655847064
"11","National","cancer_uc_ma","Cancer","Underlying Cause",2014-03-30,11371,318386329,11356.818951897,11144,11568,14.1810481030207,3.5714473155033,3.56699327749621,3.50015028440496,3.63332183147851,0.00445403800708436
