"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-01-19,697,19653431,692.078182402526,640,745,4.92181759747393,3.54645456052941,3.52141151538643,3.25642886476158,3.79068672538652,0.0250430451429775
"2","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-01-26,695,19653431,691.429481609644,640,744,3.57051839035626,3.53627822032703,3.51811081540747,3.25642886476158,3.78559855528533,0.0181674049195596
"3","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-02-02,706,19653431,690.59596904512,639,742,15.4040309548797,3.59224809144012,3.51386976169769,3.25134069466039,3.77542221508295,0.0783783297424234
"4","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-02-09,701,19653431,689.590504602552,637,743,11.4094953974478,3.56680724093417,3.50875378758321,3.24116435445801,3.78051038518414,0.0580534533509585
"5","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-02-16,693,19653431,688.428503067787,637,742,4.57149693221311,3.52610188012465,3.50284132611648,3.24116435445801,3.77542221508295,0.0232605540081684
"6","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-02-23,687,19653431,687.127668377398,635,739,-0.127668377398209,3.49557285951751,3.49622245793825,3.23098801425563,3.76015770477938,-0.000649598420745002
"7","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-03-02,682,19653431,685.707693090256,635,738,-3.70769309025604,3.47013200901156,3.48899738213779,3.23098801425563,3.75506953467819,-0.0188653731262294
"8","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-03-09,675,19653431,684.1899300395,633.975,737,-9.18993003949981,3.43451481830323,3.48127474556224,3.22577263990191,3.749981364577,-0.0467599272590105
"9","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-03-16,689,19653431,682.597043450215,630,735,6.40295654978536,3.50574919971989,3.47316986764405,3.20554716374968,3.73980502437462,0.0325793320758363
"10","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-03-23,687,19653431,680.952646868866,630,732,6.04735313113417,3.49557285951751,3.46480289812433,3.20554716374968,3.72454051407105,0.0307699613931744
"11","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-03-30,683,19653431,679.280935071265,629,731,3.71906492873518,3.47522017911275,3.45629694413797,3.20045899364849,3.71945234396986,0.0189232349747745
"12","New York","cancer_uc_ma","Cancer","Underlying Cause",2014-04-06,691,19653431,677.606316725049,627,729,13.3936832749509,3.51592553992227,3.44777620113785,3.19028265344611,3.70927600376749,0.0681493387844135
