"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-01-19,756,26963092,756.943382029086,704,812,-0.943382029085683,2.80383273550378,2.80733152573557,2.6109765156014,3.0115240492448,-0.0034987902317942
"2","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-01-26,763,26963092,755.757291294506,701.975,811,7.24270870549412,2.8297941497214,2.80293258389841,2.60346624934559,3.00781527578514,0.0268615658229929
"3","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-02-02,758,26963092,754.427949126048,699,810,3.57205087395209,2.8112502824231,2.79800235494523,2.5924326483031,3.00410650232548,0.0132479274778727
"4","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-02-09,757,26963092,752.974160153547,699,807,4.02583984645298,2.80754150896344,2.79261058098807,2.5924326483031,2.99298018194649,0.0149309279753709
"5","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-02-16,766,26963092,751.416497721796,697,806,14.583502278204,2.84092047010039,2.78683356390208,2.58501510138377,2.98927140848683,0.05408690619831
"6","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-02-23,768,26963092,749.776968803154,696,804,18.223031196846,2.84833801701971,2.78075292256227,2.58130632792411,2.98185386156751,0.0675850944574384
"7","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-03-02,758,26963092,748.078662694977,694,803,9.92133730502269,2.8112502824231,2.77445428994189,2.57388878100479,2.97814508810785,0.0367959924812135
"8","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-03-09,754,26963092,746.345390448344,692,802,7.65460955165622,2.79641518858445,2.7680259758352,2.56647123408547,2.97443631464819,0.0283892127492508
"9","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-03-16,753,26963092,744.601321714977,690,799,8.39867828502258,2.79270641512479,2.76155762000507,2.55905368716615,2.9633099942692,0.0311487951197236
"10","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-03-23,737,26963092,742.870625263117,691,798,-5.87062526311661,2.73336603977022,2.75513885893768,2.56276246062581,2.95960122080954,-0.0217728191674627
"11","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-03-30,734,26963092,741.177118836788,686,796,-7.1771188367876,2.72223971939123,2.74885802724994,2.5442185933275,2.95218367389022,-0.0266183078587115
"12","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-04-06,732,26963092,739.543933356671,686,794,-7.54393335667112,2.71482217247191,2.74280091228658,2.5442185933275,2.9447661269709,-0.0279787398146738
"13","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-04-13,735,26963092,737.993195726284,685,793,-2.99319572628394,2.72594849285089,2.73704957772011,2.54050981986784,2.94105735351124,-0.0111010848692129
"14","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-04-20,727,26963092,736.545733754617,683,790,-9.54573375461746,2.69627830517361,2.73168126917572,2.53309227294852,2.92993103313225,-0.0354029640021161
"15","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-04-27,733,26963092,735.220805972879,681,790,-2.22080597287857,2.71853094593157,2.72676741218284,2.5256747260292,2.92993103313225,-0.00823646625126883
"16","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-05-04,739,26963092,734.035858439996,682,789,4.96414156000446,2.74078358668954,2.72237271022179,2.52938349948886,2.92622225967259,0.0184108764677451
"17","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-05-11,729,26963092,733.00631002437,680,788,-4.00631002436955,2.70369585209293,2.71855434838248,2.52196595256953,2.92251348621293,-0.0148584962895559
"18","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-05-18,732,26963092,732.145367135824,678,787,-0.145367135824131,2.71482217247191,2.71536130624716,2.51454840565021,2.91880471275327,-0.000539133775251484
"19","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-05-25,739,26963092,731.463868471818,677,786,7.5361315281823,2.74078358668954,2.7128337820893,2.51083963219055,2.91509593929361,0.0279498046002376
"20","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-06-01,730,26963092,730.97016003836,679,785,-0.970160038359722,2.70740462555259,2.71100272935448,2.51825717910987,2.91138716583395,-0.00359810380189231
"21","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-06-08,731,26963092,730.670000504003,677,784,0.329999495996731,2.71111339901225,2.7098895056398,2.51083963219055,2.90767839237429,0.00122389337245421
"22","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-06-15,739,26963092,730.566496833737,678,785,8.43350316626277,2.74078358668954,2.70950563397454,2.51454840565021,2.91138716583395,0.031277952715003
"23","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-06-22,726,26963092,730.660070112146,679,784,-4.6600701121456,2.69256953171394,2.70985267606603,2.51825717910987,2.90767839237429,-0.0172831443520855
"24","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-06-29,718,26963092,730.948451481108,677,786,-12.948451481108,2.66289934403666,2.7109222172335,2.51083963219055,2.91509593929361,-0.0480228731968426
"25","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-07-06,723,26963092,731.426708162963,678,785,-8.42670816296311,2.68144321133496,2.71269596292207,2.51454840565021,2.91138716583395,-0.031252751587107
"26","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-07-13,710,26963092,732.087299590284,679,787.025,-22.0872995902843,2.63322915635937,2.7151459468754,2.51825717910987,2.91889743208976,-0.0819167905160293
"27","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-07-20,717,26963092,732.920163692483,679,786,-15.9201636924827,2.65919057057699,2.71823485115313,2.51825717910987,2.91509593929361,-0.0590442805761397
"28","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-07-27,719,26963092,733.912833373412,681,788,-14.912833373412,2.66660811749632,2.72191643811998,2.5256747260292,2.92251348621293,-0.0553083206236585
"29","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-08-03,720,26963092,735.050583130964,682,789,-15.0505831309639,2.67031689095598,2.72613609422452,2.52938349948886,2.92622225967259,-0.0558192032685417
"30","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-08-10,726,26963092,736.316605601464,683,791,-10.3166056014638,2.69256953171394,2.73083148476244,2.53309227294852,2.93363980659191,-0.0382619530484999
"31","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-08-17,734,26963092,737.692217545639,684,792,-3.69221754563944,2.72223971939123,2.7359333178318,2.53680104640818,2.93734858005158,-0.0136935984405625
"32","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-08-24,725,26963092,739.157094422188,686,793,-14.1570944221876,2.68886075825428,2.74136621431321,2.5442185933275,2.94105735351124,-0.0525054560589252
"33","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-08-31,742,26963092,740.689532219602,687,795,1.31046778039786,2.75190990706852,2.74704967894484,2.54792736678716,2.94847490043056,0.00486022812368054
"34","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-09-07,751,26963092,742.26673464452,689,796,8.73326535548006,2.78528886820547,2.75289916543889,2.55534491370648,2.95218367389022,0.032389702766582
"35","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-09-14,752,26963092,743.865123110733,691,797,8.13487688926716,2.78899764166513,2.75882722616061,2.56276246062581,2.95589244734988,0.0301704155045243
"36","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-09-21,752,26963092,745.460666259711,691,800,6.53933374028884,2.78899764166513,2.76474473424528,2.56276246062581,2.96701876772886,0.0242529074198495
"37","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-09-28,751,26963092,747.029225000822,694,802,3.97077499917839,2.78528886820547,2.77056216327423,2.57388878100479,2.97443631464819,0.0147267049312386
"38","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-10-05,753,26963092,748.54690832229,696,804,4.45309167771006,2.79270641512479,2.77619090689706,2.58130632792411,2.98185386156751,0.0165155082277287
"39","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-10-12,750,26963092,749.990434431768,696,805,0.00956556823155097,2.78158009474581,2.78154461822023,2.58130632792411,2.98556263502717,3.54765255837534e-05
"40","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-10-19,747,26963092,751.337491179264,698,806,-4.33749117926448,2.77045377436683,2.786540546534,2.58872387484343,2.98927140848683,-0.0160867721671701
"41","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-10-26,743,26963092,752.567089235802,698,809,-9.56708923580231,2.75561868052818,2.79110084717214,2.58872387484343,3.00039772886581,-0.0354821666439528
"42","Texas","cancer_uc_ma","Cancer","Underlying Cause",2014-11-02,765,26963092,753.659901186504,699,810,11.3400988134963,2.83721169664073,2.7951538391313,2.5924326483031,3.00410650232548,0.0420578575094292
