"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-01-19,506,38586706,498.94960729984,456,544,7.05039270015982,1.31133245734943,1.29306089848623,1.18175415128723,1.4098119699567,0.0182715588631997
"2","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-01-26,505,38586706,499.878973191354,455,546,5.12102680864569,1.30874089122819,1.29546941164492,1.17916258516599,1.41499510219919,0.0132714795832681
"3","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-02,501,38586706,500.119430517291,457,545,0.880569482708722,1.29837462674321,1.29609257270442,1.18434571740848,1.41240353607794,0.00228205403878922
"4","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-09,491,38586706,499.674103708861,455,544,-8.6741037088612,1.27245896553077,1.29493847883481,1.17916258516599,1.4098119699567,-0.022479513304041
"5","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-16,471,38586706,498.558812955813,455,543,-27.5588129558129,1.22062764310589,1.29204812910388,1.17916258516599,1.40722040383546,-0.071420485997983
"6","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-23,469,38586706,496.801627579545,453,541,-27.8016275795455,1.2154445108634,1.287494267014,1.1739794529235,1.40203727159297,-0.072049756150591
"7","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-02,475,38586706,494.44208069643,451,539,-19.4420806964298,1.23099390759087,1.28137934525023,1.16879632068101,1.39685413935048,-0.0503854376593581
"8","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-09,467,38586706,491.530084303624,450,536,-24.5300843036236,1.21026137862092,1.27383271405345,1.16620475455977,1.38907944098675,-0.0635713354325285
"9","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-16,472,38586706,488.124597197617,445,533,-16.1245971976167,1.22321920922714,1.26500716904318,1.15324692395355,1.38130474262302,-0.0417879598160482
"10","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-23,483,38586706,484.292107603836,441,528,-1.29210760383626,1.25172643656082,1.25507501885192,1.14288065946857,1.3683469120168,-0.00334858229110372
"11","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-30,472,38586706,480.10499754919,437,524,-8.10499754918987,1.22321920922714,1.24422384628838,1.1325143949836,1.35798064753182,-0.0210046370612456
"12","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-06,460,38586706,475.639856742923,432,520,-15.6398567429231,1.19212041577221,1.23265213864828,1.11955656437738,1.34761438304685,-0.0405317228760681
"13","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-13,455,38586706,470.975810320444,429,514,-15.9758103204444,1.17916258516599,1.22056495395187,1.11178186601365,1.33206498631938,-0.0414023687858829
"14","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-20,458,38586706,466.192917846356,424,510,-8.19291784635635,1.18693728352972,1.20816977185447,1.09882403540743,1.32169872183441,-0.0212324883247519
"15","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-27,443,38586706,461.37069129594,419,505,-18.37069129594,1.14806379171106,1.19567265289745,1.08586620480121,1.30874089122819,-0.0476088611863889
"16","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-05-04,446,38586706,456.586768295584,414,499,-10.5867682955836,1.15583849007479,1.18327480012309,1.07290837419499,1.29319149450072,-0.0274363100482939
"17","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-05-11,450,38586706,451.915764682395,411,495,-1.91576468239498,1.16620475455977,1.17116958540694,1.06513367583126,1.28282523001575,-0.00496483084717047
"18","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-05-18,450,38586706,447.428318353304,406,490,2.57168164669639,1.16620475455977,1.15954007152957,1.05217584522504,1.26986739940953,0.00666468303020318
"19","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-05-25,436,38586706,443.190325186602,403,485,-7.19032518660163,1.12992282886235,1.14855703201668,1.04440114686131,1.25690956880331,-0.0186342031543237
"20","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-06-01,439,38586706,439.262358123456,397,480,-0.262358123455897,1.13769752722609,1.13837744565047,1.02885175013384,1.24395173819709,-0.000679918424381436
"21","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-06-08,439,38586706,435.699252681725,395,477,3.30074731827489,1.13769752722609,1.12914342230126,1.02366861789135,1.23617703983336,0.00855410492482796
"22","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-06-15,440,38586706,432.549836433293,392,474,7.45016356670743,1.14028909334733,1.12098150185013,1.01589391952762,1.22840234146962,0.0193075914972048
"23","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-06-22,444,38586706,429.856776333176,389,472,14.1432236668242,1.15065535783231,1.11400225853219,1.00811922116389,1.22321920922714,0.0366530993001169
"24","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-06-29,449,38586706,427.656516133589,387,469,21.3434838664109,1.16361318843853,1.10830013874102,1.0029360889214,1.2154445108634,0.055313049697507
"25","California","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-07-06,449,38586706,425.979276245342,385,467,23.0207237546585,1.16361318843853,1.10395346066944,0.997752956678914,1.21026137862092,0.0596597277690884
