"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-01-19,4614,318386329,4642.92927316372,4466,4822,-28.9292731637152,1.44918282593723,1.45826904306677,1.40269841799646,1.51451226412425,-0.00908621712954112
"2","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-01-26,4581,318386329,4643.71905095742,4471,4819.025,-62.7190509574184,1.43881805930179,1.45851709950694,1.40426883718365,1.51357786470788,-0.0196990402051523
"3","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-02,4570,318386329,4638.83774956765,4463,4818,-68.837749567645,1.43536313708997,1.45698396163475,1.40175616648415,1.5132559287745,-0.0216208245447765
"4","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-09,4547,318386329,4628.40766632212,4451,4802,-81.4076663221176,1.42813920882891,1.4537080410642,1.39798716043489,1.5082305873755,-0.0255688322352929
"5","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-16,4480,318386329,4612.65039264797,4436,4787,-132.650392647966,1.40709559172059,1.44875893608107,1.39327590287333,1.50351932981394,-0.0416633443604817
"6","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-23,4453,318386329,4591.88088825236,4419,4773,-138.880888252364,1.39861532810977,1.44223557043882,1.38793647763689,1.49912215608981,-0.0436202423290494
"7","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-02,4451,318386329,4566.49920725204,4388,4742.025,-115.499207252044,1.39798716043489,1.43426359466962,1.37819987867632,1.48939340922518,-0.0362764342347264
"8","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-09,4390,318386329,4536.98025512075,4363,4712,-146.980255120746,1.3788280463512,1.42499216890708,1.37034778274038,1.47996304200612,-0.0461641225558858
"9","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-16,4362,318386329,4503.86202903978,4331,4673,-141.862029039776,1.37003369890295,1.41459026937045,1.36029709994238,1.46771377234605,-0.0445565704675014
"10","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-23,4379,318386329,4467.73283757779,4297,4646,-88.7328375777852,1.37537312413938,1.40324267427255,1.3496182494695,1.45923350873523,-0.0278695501331608
"11","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-30,4347,318386329,4429.21800734396,4259,4601,-82.2180073439613,1.36532244134138,1.39114578859445,1.33768306364687,1.44509973605054,-0.0258233472530667
"12","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-06,4301,318386329,4388.96656575887,4219,4558,-87.9665657588721,1.35087458481925,1.37850346135901,1.32511971014936,1.43159413104072,-0.0276288765397562
"13","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-13,4269,318386329,4347.63834408182,4181,4515,-78.6383440818163,1.34082390202125,1.3655229349002,1.31318452432673,1.4180885260309,-0.0246990328789577
"14","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-20,4267,318386329,4305.89187878254,4141,4477,-38.8918787825414,1.34019573434637,1.35241104487955,1.30062117082923,1.40615334020827,-0.0122153105331798
"15","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-27,4218,318386329,4264.37340878024,4101,4434,-46.3734087802377,1.32480562631193,1.33937076449669,1.28805781733172,1.39264773519845,-0.014565138184761
"16","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-05-04,4226,318386329,4223.7071778846,4058.975,4387.025,2.29282211540158,1.32731829701143,1.32659815864286,1.27485844406341,1.37789364693482,0.000720138368567194
"17","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-05-11,4188,318386329,4184.48716257181,4020,4347,3.51283742818669,1.3153831111888,1.31427978572906,1.26261702649928,1.36532244134138,0.00110332545973941
"18","National","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-05-18,4152,318386329,4147.27026081089,3982.975,4313.025,4.72973918911157,1.30407609304104,1.30259055840645,1.25098807241815,1.35465144296444,0.00148553463459531
