"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-01-19,362,26963092,352.39486822539,316,390,9.60513177461036,1.34257599239731,1.30695273459509,1.1719724132529,1.44642164926782,0.0356232578022222
"2","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-01-26,356,26963092,351.752296452641,315,390,4.24770354735944,1.32032335163934,1.30456958145839,1.16826363979324,1.44642164926782,0.0157537701809549
"3","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-02,347,26963092,350.686624634309,314,388,-3.68662463430917,1.28694439050239,1.30061724610185,1.16455486633358,1.4390041023485,-0.0136728555994586
"4","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-09,352,26963092,349.218907333421,312,387,2.78109266657907,1.3054882578007,1.29517381513003,1.15713731941426,1.43529532888884,0.0103144426706665
"5","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-16,347,26963092,347.377162624712,310,385,-0.377162624712071,1.28694439050239,1.2883432012349,1.14971977249493,1.42787778196952,-0.00139881073250824
"6","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-02-23,350,26963092,345.195637524786,309,383,4.80436247521425,1.29807071088138,1.28025241884271,1.14601099903527,1.42046023505019,0.0178182920386662
"7","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-02,345,26963092,342.713936651171,307,380,2.28606334882875,1.27952684358307,1.27104835250783,1.13859345211595,1.40933391467121,0.00847849107523999
"8","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-09,336,26963092,339.976052100666,304,377,-3.97605210066581,1.24614788244612,1.2608941589513,1.12746713173697,1.39820759429223,-0.014746276505179
"9","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-16,327,26963092,337.02933465833,301,374,-10.0293346583304,1.21276892130917,1.24996545150805,1.11634081135799,1.38708127391324,-0.0371965301988749
"10","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-23,326,26963092,333.923446076312,299,371,-7.92344607631196,1.20906014784951,1.23844641436639,1.10892326443866,1.37595495353426,-0.0293862665168815
"11","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-03-30,314,26963092,330.709329511672,296,368,-16.7093295116724,1.16455486633358,1.2265259841552,1.09779694405968,1.36482863315528,-0.0619711178216221
"12","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-06,309,26963092,327.438230663872,292,364,-18.4382306638724,1.14601099903527,1.21439421956455,1.08296185022104,1.34999353931663,-0.068383220529279
"13","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-13,313,26963092,324.160796196882,289,360,-11.1607961968825,1.16084609287392,1.2022389575976,1.07183552984205,1.33515844547799,-0.041392864723684
"14","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-20,312,26963092,320.926269214956,285,357,-8.92626921495622,1.15713731941426,1.19024282977248,1.05700043600341,1.32403212509901,-0.0331055103582194
"15","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-04-27,313,26963092,317.781794431368,283,354,-4.78179443136793,1.16084609287392,1.17858068515053,1.04958288908409,1.31290580472002,-0.0177345922766125
"16","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-05-04,310,26963092,314.7718387246,280,351,-4.77183872460006,1.14971977249493,1.16741744131051,1.0384565687051,1.30177948434104,-0.0176976688155797
"17","Texas","cvd_mc_ma","Cerebrovascular Disease","Multiple Cause",2014-05-11,307,26963092,311.9377264326,278,347,-4.93772643260002,1.13859345211595,1.15690636086025,1.03103902178578,1.28694439050239,-0.0183129087442939
