"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-01-19,2711,318386329,2756.59210767915,2645,2868,-45.5921076791501,0.851481283293417,0.865801027430154,0.830751750022533,0.900792445771125,-0.0143197441367371
"2","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-01-26,2697,318386329,2755.44328763403,2642,2866,-58.4432876340279,0.84708410956929,0.865440201621857,0.82980949851022,0.90016427809625,-0.0183560920525667
"3","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-02-02,2714,318386329,2750.90277096003,2641,2863,-36.9027709600327,0.85242353480573,0.864014098720939,0.829495414672783,0.899222026583937,-0.011590563915209
"4","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-02-09,2696,318386329,2743.07778589884,2633,2853,-47.0777858988431,0.846770025731852,0.861556397385028,0.826982743973282,0.89608118820956,-0.0147863716531758
"5","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-02-16,2662,318386329,2732.13389927541,2621,2841,-70.1338992754122,0.836091175258973,0.858119099477859,0.82321373792403,0.892312182160309,-0.0220279242188857
"6","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-02-23,2636,318386329,2718.29060090805,2609,2830,-82.2906009080543,0.827924995485595,0.853771143203845,0.819444731874778,0.888857259948495,-0.0258461477182503
"7","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-03-02,2629,318386329,2701.81557887194,2594,2812,-72.8155788719409,0.825726408623531,0.848596605060873,0.814733474313214,0.883203750874617,-0.0228701964373417
"8","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-03-09,2573,318386329,2683.01794507932,2572,2791,-110.017945079317,0.808137713727024,0.842692572104538,0.807823629889586,0.876607990288427,-0.0345548583775143
"9","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-03-16,2560,318386329,2662.24070559786,2553,2771,-102.240705597864,0.804054623840335,0.836166776996843,0.801856036978271,0.870326313539675,-0.0321121531565081
"10","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-03-23,2568,318386329,2639.85278572699,2531,2749,-71.8527857269851,0.806567294539836,0.829135093211551,0.794946192554643,0.863416469116047,-0.0225677986717153
"11","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-03-30,2551,318386329,2616.24091626753,2509,2726.025,-65.2409162675276,0.801227869303396,0.821718986642648,0.788036348131015,0.856200392950917,-0.0204911173392522
"12","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-04-06,2531,318386329,2591.80166637306,2487,2701,-60.8016663730605,0.794946192554643,0.814043013251697,0.781126503707387,0.84834044491904,-0.0190968206970534
"13","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-04-13,2520,318386329,2566.93387282207,2461,2676,-46.9338728220719,0.791491270342829,0.806232441224595,0.772960323934009,0.8404883489831,-0.0147411708817661
"14","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-04-20,2514,318386329,2542.03166930971,2440,2648,-28.0316693097111,0.789606767318204,0.79841106158478,0.766364563347819,0.831694001534846,-0.00880429426657672
"15","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-04-27,2488,318386329,2517.47826664114,2411.975,2621.025,-29.4782666411406,0.781440587544825,0.790699234652484,0.757562363803629,0.823221590019966,-0.00925864710765915
"16","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-05-04,2489,318386329,2493.64057971415,2390,2599,-4.64057971415377,0.781754671382263,0.783212202466819,0.750660371475937,0.816303893500402,-0.00145753108455664
"17","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-05-11,2472,318386329,2470.86474372745,2366,2573,1.13525627255012,0.776415246145823,0.776058680499265,0.743122359377434,0.808137713727024,0.000356565646557683
"18","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-05-18,2444,318386329,2449.47251331862,2347,2554,-5.47251331861798,0.767620898697569,0.769339726681109,0.737154766466119,0.802170120815709,-0.00171882798354008
"19","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-05-25,2393,318386329,2429.75849669683,2329,2532,-36.7584966968279,0.75160262298825,0.763147872689228,0.731501257392242,0.795260276392081,-0.0115452497009782
"20","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-06-01,2375,318386329,2411.98814381346,2306,2517,-36.9881438134553,0.745949113914373,0.757566492062998,0.724277329131176,0.790549018830517,-0.011617378148625
"21","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-06-08,2348,318386329,2396.39638392278,2297.975,2500,-48.3963839227831,0.737468850303557,0.752669372284129,0.721756806335739,0.785209593594077,-0.0152005219805726
"22","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-06-15,2329,318386329,2383.18679354137,2284,2484,-54.1867935413684,0.731501257392242,0.748520453446155,0.717367484707548,0.780184252195075,-0.0170191960539136
"23","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-06-22,2340,318386329,2372.53117028698,2271,2476,-32.5311702869831,0.734956179604056,0.745173694404129,0.713284394820859,0.777671581495574,-0.0102175148000727
"24","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-06-29,2358,318386329,2364.56939045623,2266,2467,-6.56939045622994,0.740609688677933,0.742673028042052,0.711713975633671,0.774844826958635,-0.00206333936411885
"25","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-07-06,2363,318386329,2359.4094373516,2257,2464.025,3.59056264840319,0.742180107865121,0.741052370169951,0.708887221096733,0.773910427542258,0.0011277376951707
"26","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-07-13,2361,318386329,2357.12750207609,2256,2458,3.87249792390912,0.741551940190246,0.740335651181835,0.708573137259295,0.772018072421696,0.00121628900841064
"27","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-07-20,2358,318386329,2357.7680775707,2256,2459,0.231922429299175,0.740609688677933,0.740536845591351,0.708573137259295,0.772332156259134,7.28430865821424e-05
"28","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-07-27,2378,318386329,2361.34398894699,2259,2465,16.6560110530072,0.746891365426686,0.741659981558754,0.709515388771608,0.77421665928376,0.0052313838679321
"29","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-08-03,2347,318386329,2367.83632762924,2265,2470,-20.8363276292412,0.737154766466119,0.743699120206019,0.711399891796233,0.775787078470948,-0.0065443537398998
"30","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-08-10,2346,318386329,2377.19428252325,2276,2479,-31.1942825232454,0.736840682628682,0.746638302589696,0.714854814008047,0.778613833007887,-0.00979761996101454
"31","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-08-17,2358,318386329,2389.33488748105,2287,2492,-31.3348874810476,0.740609688677933,0.750451470383657,0.718309736219861,0.782696922894576,-0.00984178170572382
"32","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-08-24,2371,318386329,2404.14272984881,2303.975,2507,-33.1427298488111,0.744692778564622,0.755102374338696,0.723641309360365,0.78740818045614,-0.0104095957740733
"33","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-08-31,2376,318386329,2421.46968894105,2319,2525,-45.4696889410452,0.74626319775181,0.760544492141509,0.728360419017866,0.793061689530017,-0.0142812943896989
"34","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-09-07,2429,318386329,2441.13479486445,2339,2544,-12.134794864447,0.762909641136005,0.766720984073549,0.734642095766618,0.799029282441332,-0.00381134293754398
"35","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-09-14,2445,318386329,2462.92431609393,2358,2570,-17.9243160939291,0.767934982535007,0.773564720517233,0.740609688677933,0.807195462214711,-0.00562973798222632
"36","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-09-21,2461,318386329,2486.59219735299,2384,2590.025,-25.5921973529885,0.772960323934009,0.780998419487097,0.748775868451312,0.813484991059399,-0.0080380955530878
"37","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-09-28,2498,318386329,2511.86097637682,2408,2619,-13.8609763768222,0.784581425919201,0.788934934570266,0.756313880549815,0.822585570249155,-0.00435350865106467
"38","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-10-05,2527,318386329,2538.42330776359,2433,2645,-11.4233077635904,0.793689857204893,0.797277733543512,0.764165976485755,0.830751750022533,-0.00358787633861955
"39","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-10-12,2552,318386329,2565.94421320927,2460,2670,-13.9442132092677,0.801541953140834,0.805921605135649,0.772646240096571,0.838603845958474,-0.00437965199481529
"40","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-10-19,2606,318386329,2594.06415912649,2489,2702,11.9358408735125,0.818502480362466,0.814753625657868,0.781754671382263,0.848654528756478,0.00374885470459772
"41","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-10-26,2650,318386329,2622.40303458395,2515,2732,27.5969654160544,0.832322169209721,0.823654408410213,0.789920851155641,0.858077043879607,0.00866776079950796
"42","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-11-02,2704,318386329,2650.56506492022,2544,2760,53.4349350797834,0.849282696431353,0.832499646968264,0.799029282441332,0.866871391327861,0.016783049463089
"43","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-11-09,2733,318386329,2678.14465031394,2571,2785,54.8553496860609,0.858391127717045,0.841161948983664,0.807509546052148,0.874723487263801,0.0172291787333811
"44","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-11-16,2760,318386329,2704.73306593387,2594,2814,55.2669340661291,0.866871391327861,0.849512940592958,0.814733474313214,0.883831918549493,0.0173584507349024
"45","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-11-23,2796,318386329,2729.9259038289,2621.975,2843,66.0740961710981,0.878178409475615,0.857425603794974,0.823519969665532,0.892940349835184,0.0207528056806415
"46","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-11-30,2838,318386329,2753.33108002052,2644,2868,84.668919979475,0.891369930647996,0.864776791349143,0.830437666185096,0.900792445771125,0.0265931392988532
"47","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-12-07,2843,318386329,2774.5771774782,2662,2884,68.4228225218048,0.892940349835184,0.871449847169222,0.836091175258973,0.905817787170127,0.0214905026659624
"48","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-12-14,2871,318386329,2793.3218512025,2682,2907,77.6781487975004,0.901734697283438,0.877337246224068,0.842372852007726,0.913041715431192,0.0243974510593702
"49","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-12-21,2961,318386329,2809.259989781,2699,2924,151.740010218999,0.930002242652824,0.882343157950416,0.847712277244165,0.918381140667632,0.0476590847024085
"50","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-12-28,2997,318386329,2822.1313121883,2713,2935,174.868687811696,0.941309260800579,0.886385832284999,0.852109450968292,0.921836062879446,0.0549234285155804
"51","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-01-04,3017,320738994,2852.65167755566,2744,2964,164.348322444343,0.940640226613668,0.889399708460661,0.855524289634705,0.92411588720017,0.0512405181530075
"52","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-01-11,3036,320738994,2858.86582108902,2749,2972,177.134178910981,0.946564046403413,0.891337154062727,0.857083189579375,0.926610127111641,0.0552268923406864
"53","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-01-18,3034,320738994,2861.53629811935,2749,2973,172.463701880653,0.945940486425545,0.89216975536169,0.857083189579375,0.926921907100575,0.0537707310638548
"54","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-01-25,2979,320738994,2860.63612350583,2752,2973,118.363876494173,0.928792587034179,0.891889098930648,0.858018529546177,0.926921907100575,0.0369034881035305
"55","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-02-01,2940,320738994,2856.20321836274,2744,2969,83.7967816372566,0.916633167465756,0.890507007814193,0.855524289634705,0.92567478714484,0.0261261596515628
"56","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-02-08,2932,320738994,2848.33938335091,2736,2963,83.6606166490883,0.914138927554284,0.888055221421226,0.853030049723234,0.923804107211236,0.0260837061330586
"57","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-02-15,2918,320738994,2837.20753860505,2725,2952,80.7924613949535,0.909774007709209,0.884584534989546,0.849600469844961,0.920374527332963,0.0251894727196636
"58","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-02-22,2902,320738994,2823.0273628885,2713,2935,78.972637111503,0.904785527886266,0.880163439961559,0.845859109977753,0.915074267521086,0.0246220879247077
"59","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-03-01,2896,320738994,2806.06953664769,2697,2918.025,89.9304633523125,0.902914847952663,0.874876329083855,0.840870630154811,0.909781802208932,0.0280385188688072
"60","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-03-08,2873,320738994,2786.648851109,2676,2895.025,86.3511488909967,0.895743908207182,0.868821347961515,0.834323250387198,0.902610862463452,0.0269225602456671
"61","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-03-15,2823,320738994,2765.11648489827,2654,2877.025,57.8835151017283,0.880154908760486,0.862107987062612,0.827464090630652,0.896998822662641,0.0180469216978739
"62","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-03-22,2772,320738994,2741.85176902402,2630,2852,30.1482309759781,0.864254129324855,0.854854514204787,0.819981370896237,0.88919652843957,0.00939961512006803
"63","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-03-29,2742,320738994,2717.25376036592,2609,2826,24.746239634077,0.854900729656837,0.847185347337568,0.813433991128625,0.881090248727287,0.00771538231926893
"64","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-04-05,2679,320738994,2691.73292459821,2583,2803,-12.7329245982073,0.835258590354,0.839228461444326,0.805327711416342,0.873919308981807,-0.00396987109032565
"65","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-04-12,2642,320738994,2665.70319465516,2560,2771,-23.703194655156,0.823722730763444,0.831112912530728,0.798156771670862,0.863942349335921,-0.00739018176728335
"66","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-04-19,2625,320738994,2639.57462425938,2533,2748,-14.5746242593818,0.818422470951568,0.822966547141874,0.789738711969646,0.856771409590441,-0.00454407619030626
"67","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-04-26,2626,320738994,2613.74680202698,2509,2723,12.2531979730152,0.818734250940501,0.814913949012069,0.782255992235232,0.848976909867093,0.00382030192843193
"68","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-05-03,2596,320738994,2588.60313462855,2482,2694.025,7.3968653714478,0.809380851272484,0.807074656668828,0.773837932534016,0.839943084687732,0.00230619460365577
"69","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-05-10,2584,320738994,2564.5060514726,2458,2673,19.4939485273962,0.805639491405276,0.799561668349126,0.766355212799601,0.833387910420396,0.00607782305615021
"70","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-05-17,2570,320738994,2541.79313180634,2437,2648.025,28.2068681936612,0.801274571560201,0.792480234506921,0.759807833031989,0.825601205196771,0.00879433705328052
"71","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-05-24,2554,320738994,2520.77411060142,2416,2626,33.2258893985754,0.796286091737258,0.785926924308251,0.753260453264376,0.818734250940501,0.0103591674290078
"72","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-05-31,2542,320738994,2501.72868382848,2398,2606,40.2713161715233,0.792544731870051,0.779988941359739,0.747648413463565,0.812498651161823,0.0125557905103123
"73","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-06-07,2537,320738994,2484.90500759046,2383,2589,52.0949924095439,0.790985831925382,0.774743655768421,0.742971713629556,0.807198391349946,0.0162421761569608
"74","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-06-14,2535,320738994,2470.51876920018,2369,2573,64.4812307998245,0.790362271947514,0.770258314522298,0.738606793784481,0.802209911527003,0.0201039574252155
"75","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-06-21,2541,320738994,2458.75270117468,2357,2563.025,82.2472988253157,0.792232951881117,0.766589889963515,0.734865433917274,0.799099906137387,0.0256430619176026
"76","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-06-28,2549,320738994,2449.7564103811,2347.975,2553,99.2435896189008,0.794727191792589,0.763785026519444,0.732051619517145,0.795974311748324,0.0309421652731444
"77","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-07-05,2519,320738994,2443.64640305165,2342,2548.025,75.3535969483537,0.785373792124571,0.761880048501881,0.730188734083265,0.794423206303378,0.0234937436226896
"78","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-07-12,2537,320738994,2440.50620082755,2338,2543,96.4937991724537,0.790985831925382,0.760900996287201,0.72894161412753,0.792856511858985,0.0300848356381805
"79","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-07-19,2523,320738994,2440.38646213073,2339,2546,82.6135378692707,0.786620912080307,0.760863664157633,0.729253394116464,0.793791851825787,0.0257572479226741
"80","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-07-26,2515,320738994,2443.3050458068,2341,2546,71.6949541931967,0.784126672168835,0.761773620143862,0.729876954094331,0.793791851825787,0.0223530520249735
"81","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-08-02,2492,320738994,2449.24697904191,2347,2553,42.7530209580887,0.776955732423355,0.76362619602215,0.731747634027935,0.795974311748324,0.013329536401205
"82","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-08-09,2490,320738994,2458.16431803538,2356,2561,31.8356819646187,0.776332172445487,0.766406443874854,0.73455365392834,0.798468551659796,0.00992572857063296
"83","National","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2015-08-16,2476,320738994,2469.9759168794,2368,2577.025,6.02408312060243,0.771967252600412,0.770089064031733,0.738295013795547,0.803464825982462,0.0018781885686785
