"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-01-19,210,26963092,205.763982765126,178,235,4.23601723487408,0.778842426528827,0.763131998233459,0.660161675819672,0.871561763020354,0.0157104282953679
"2","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-01-26,205,26963092,205.09769788315,177,234,-0.097697883149948,0.760298559230521,0.760660898546613,0.656452902360011,0.867852989560693,-0.000362339316091597
"3","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-02-02,201,26963092,204.172887951631,176,233,-3.17288795163122,0.745463465391877,0.757230988017365,0.65274412890035,0.864144216101032,-0.0117675226254883
"4","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-02-09,206,26963092,203.008211742242,176,231.025,2.99178825775826,0.764007332690183,0.752911467802883,0.65274412890035,0.8568193885182,0.0110958648872995
"5","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-02-16,204,26963092,201.626360516293,173,229.025,2.373639483707,0.75658978577086,0.747786494650884,0.641617808521367,0.849401841598878,0.00880329111997613
"6","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-02-23,203,26963092,200.053459905768,173,229,2.94654009423181,0.752881012311199,0.741952962611885,0.641617808521367,0.849309122262387,0.0109280496993142
"7","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-03-02,202,26963092,198.318408732647,170.975,227,3.6815912673535,0.749172238851538,0.735518050869858,0.634107542265553,0.841891575343065,0.0136541879816806
"8","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-03-09,195,26963092,196.452183140191,169,225,-1.45218314019093,0.723210824633911,0.728596642922818,0.626782714682723,0.834474028423743,-0.00538581828890739
"9","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-03-16,191,26963092,194.487133826067,167.975,223,-3.48713382606715,0.708375730795266,0.721308720179671,0.62298122188657,0.827056481504421,-0.0129329893844042
"10","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-03-23,189,26963092,192.45630195953,166,221,-3.45630195953012,0.700958183875944,0.713776824852024,0.615656394303739,0.819638934585099,-0.0128186409760799
"11","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-03-30,182,26963092,190.39277583684,163,217,-8.39277583684046,0.674996769658317,0.706123673934875,0.604530073924756,0.804803840746454,-0.0311269042765587
"12","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-04-06,178,26963092,188.329105860202,162,216,-10.3291058602016,0.660161675819672,0.698469989496018,0.600821300465095,0.801095067286793,-0.0383083136763454
"13","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-04-13,180,26963092,186.296790426848,159,214,-6.29679042684756,0.667579222738995,0.690932591955135,0.589694980086112,0.793677520367471,-0.0233533692161402
"14","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-04-20,179,26963092,184.325840187373,158,211,-5.32584018737305,0.663870449279333,0.683622784016659,0.585986206626451,0.782551199988488,-0.0197523347373256
"15","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-04-27,179,26963092,182.444423231699,156,210,-3.44442323169901,0.663870449279333,0.676645034744899,0.578568659707129,0.778842426528827,-0.0127745854655653
"16","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-05-04,176,26963092,180.67858937395,154,207,-4.67858937395039,0.65274412890035,0.67009595699911,0.571151112787806,0.767716106149844,-0.0173518280987595
"17","Texas","cvd_uc_ma","Cerebrovascular Disease","Underlying Cause",2014-05-11,177,26963092,179.052068038441,152,206,-2.05206803844149,0.656452902360011,0.664063557838402,0.563733565868484,0.764007332690183,-0.00761065547839057
