"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-19,5286,318386329,5103.3383250302,4881,5337,182.661674969795,1.66024716469532,1.60287608486802,1.53304321053308,1.67626544040463,0.0573710798272984
"2","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-26,5226,318386329,5112.32158006033,4885.975,5344,113.678419939667,1.64140213444906,1.60569758008056,1.53460577762433,1.6784640272667,0.0357045543684971
"3","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-02,5173,318386329,5113.95729789425,4887,5350,59.0427021057467,1.62475569106486,1.6062113326148,1.5349277135577,1.68034853029132,0.0185443584500598
"4","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-09,5147,318386329,5108.25162860615,4878,5345,38.74837139385,1.61658951129149,1.60441927410965,1.53210095902076,1.67877811110414,0.0121702371818389
"5","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-16,5086,318386329,5095.34829475176,4866.975,5332,-9.34829475175957,1.59743039720779,1.60036654549692,1.52863818471301,1.67469502121745,-0.00293614828913071
"6","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-23,5030,318386329,5075.52442338619,4847,5305,-45.524423386194,1.57984170231128,1.59414018790555,1.5223643600602,1.66621475760663,-0.0142984855942712
"7","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-02,4953,318386329,5049.18258473835,4825,5280,-96.1825847383498,1.55565724682858,1.58586664213788,1.51545451563657,1.65836266167069,-0.030209395309291
"8","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-09,4917,318386329,5016.83944109986,4793,5247.025,-99.8394410998562,1.54435022868083,1.5757081834691,1.50540383283856,1.64800574713118,-0.0313579547882712
"9","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-16,4864,318386329,4979.11156622096,4759,5209,-115.111566220961,1.52770378529664,1.56385846774877,1.49472498236568,1.63606270921262,-0.0361546824521355
"10","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-23,4816,318386329,4936.69911065241,4716,5160,-120.699110652415,1.51262776109963,1.55053740094865,1.48121937735587,1.62067260117817,-0.0379096398490196
"11","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-30,4767,318386329,4890.36805537231,4665.975,5119,-123.368055372312,1.49723765306519,1.53598556531374,1.46550733338805,1.60779516384323,-0.038747912248554
"12","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-06,4750,318386329,4840.9318126334,4620,5066.025,-90.9318126333956,1.49189822782875,1.5204584404858,1.45106732896185,1.59115657255497,-0.0285602126570565
"13","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-13,4720,318386329,4789.23290167603,4571,5014,-69.232901676035,1.48247571270562,1.50422064814097,1.43567722092741,1.57481636091228,-0.0217449354353512
"14","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-20,4721,318386329,4736.12535406055,4519.975,4955,-15.1253540605549,1.48278979654305,1.487540425789,1.41965109312215,1.55628541450346,-0.00475062924594192
"15","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-27,4675,318386329,4682.45839803331,4469,4900,-7.45839803330728,1.46834194002092,1.47068450229636,1.40364066950877,1.53901080344439,-0.00234256227543843
"16","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-05-04,4620,318386329,4629.06184438545,4420,4838.025,-9.06184438545097,1.45106732896185,1.4539135078207,1.38825056147433,1.51954545761919,-0.00284617885884509
"17","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-05-11,4558,318386329,4576.73345896091,4373,4788,-18.7334589609054,1.43159413104072,1.43747800771964,1.37348862111476,1.50383341365138,-0.00588387667892154
"18","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-05-18,4478,318386329,4526.22846992947,4318,4739,-48.2284699294705,1.40646742404571,1.4216152069549,1.35621401005569,1.48844330561693,-0.0151477829091935
"19","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-05-25,4404,318386329,4478.2512302406,4269,4689,-74.2512302406039,1.38322522007533,1.40654633140376,1.34082390202125,1.47273911374505,-0.0233211113284339
"20","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-06-01,4389,318386329,4433.44894430598,4232,4643.025,-44.4489443059783,1.37851396251376,1.39247465751143,1.32920280003605,1.45829910931886,-0.0139606949976732
"21","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-06-08,4408,318386329,4392.40727759083,4187,4597,15.5927224091683,1.38448155542508,1.3795841333347,1.31506902735136,1.44384340070079,0.00489742209037133
"22","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-06-15,4401,318386329,4355.64760080989,4153,4560,45.3523991901138,1.38228296856301,1.36803851298838,1.30439017687848,1.4322222987156,0.0142444555746342
"23","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-06-22,4415,318386329,4323.6255772016,4120.975,4521,91.374422798398,1.38668014228714,1.35798091293097,1.29433164198454,1.41997302905553,0.0286992293561694
"24","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-06-29,4401,318386329,4296.73078067052,4099,4502,104.269219329477,1.38228296856301,1.34953369202938,1.28742964965685,1.41400543614421,0.0327492765336281
"25","National","diabetes_mc_ma","Diabetes","Multiple Cause",2014-07-06,4382,318386329,4275.28703210759,4078.975,4478,106.712967892414,1.3763153756517,1.34279855719169,1.28114012081216,1.40646742404571,0.033516818460008
