"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-19,282,19653431,276.811291499558,244,311,5.18870850044243,1.43486396853557,1.40846293707983,1.24151350469035,1.58242090147008,0.0264010314557414
"2","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-26,287,19653431,277.427872026336,245,311,9.57212797366424,1.46030481904152,1.41160020368116,1.24660167479154,1.58242090147008,0.0487046153603625
"3","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-02,292,19653431,277.613246743507,246,311,14.3867532564931,1.48574566954747,1.41254342177458,1.25168984489273,1.58242090147008,0.0732022477728858
"4","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-09,286,19653431,277.364601985361,245,311,8.63539801463861,1.45521664894033,1.41127827495037,1.24660167479154,1.58242090147008,0.0439383739899594
"5","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-16,285,19653431,276.687435566116,244,310,8.31256443388435,1.45012847883914,1.40783273702243,1.24151350469035,1.57733273136889,0.0422957418167054
"6","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-23,283,19653431,275.595390304244,243,309,7.4046096957556,1.43995213863676,1.40227622497184,1.23642533458916,1.5722445612677,0.0376759136649249
"7","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-02,272,19653431,274.109844149158,242,307,-2.10984414915833,1.38398226752367,1.39471751344159,1.23133716448797,1.56206822106532,-0.010735245917918
"8","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-09,264,19653431,272.259278536823,241,306,-8.25927853682253,1.34327690671415,1.38530152082261,1.22624899438678,1.55698005096413,-0.0420246141084604
"9","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-16,264,19653431,270.078457587209,238,303,-6.07845758720856,1.34327690671415,1.37420513287074,1.21098448408321,1.54171554066056,-0.0309282261565859
"10","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-23,261,19653431,267.607459219586,235,301,-6.60745921958562,1.32801239641058,1.36163227285651,1.19571997377964,1.53153920045818,-0.0336198764459275
"11","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-30,256,19653431,264.890604653434,233,297,-8.89060465343408,1.30257154590463,1.34780845468373,1.18554363357726,1.51118652005342,-0.0452369087791037
"12","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-06,260,19653431,261.975334842436,230,295,-1.97533484243576,1.32292422630939,1.33297506599451,1.17027912327369,1.50101017985104,-0.0100508396851204
"13","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-13,258,19653431,258.911081228135,228,291.025,-0.911081228135231,1.31274788610701,1.31738362237176,1.16010278307131,1.48078470369881,-0.00463573626475312
"14","New York","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-20,263,19653431,255.748174149851,224,287,7.25182585014923,1.33818873661296,1.30129021314319,1.13975010266655,1.46030481904152,0.0368985234697658
