"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-19,462,26963092,427.624942924518,386,469,34.375057075482,1.71345333836342,1.58596403900754,1.43158655542918,1.73941475258105,0.127489299355882
"2","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-01-26,460,26963092,427.62598512725,386,469,32.3740148727495,1.7060357914441,1.58596790430137,1.43158655542918,1.73941475258105,0.120067887142726
"3","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-02,449,26963092,427.041118345606,386,468,21.9588816543944,1.66523928338783,1.58379876590417,1.43158655542918,1.73570597912139,0.0814405174836566
"4","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-09,449,26963092,425.882931814077,385,467,23.1170681859225,1.66523928338783,1.5795033144347,1.42787778196952,1.73199720566172,0.0857359689531249
"5","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-16,439,26963092,424.174518076822,383,466,14.8254819231784,1.62815154879121,1.57316719490784,1.42046023505019,1.72828843220206,0.0549843538833692
"6","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-02-23,427,26963092,421.948822813512,382,463,5.05117718648847,1.58364626727528,1.56491259538599,1.41675146159053,1.71716211182308,0.018733671889294
"7","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-02,417,26963092,419.247734938291,379,462,-2.24773493829105,1.54655853267867,1.55489487236216,1.40562514121155,1.71345333836342,-0.00833633968348677
"8","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-09,412,26963092,416.120960757986,376,456,-4.1209607579857,1.52801466538037,1.54329837526789,1.39449882083257,1.69120069760545,-0.0152837098875222
"9","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-16,397,26963092,412.624734470509,372,454,-15.6247344705088,1.47238306348545,1.53033166400392,1.37966372699392,1.68378315068613,-0.0579486005184748
"10","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-23,382,26963092,408.82042212386,369,450,-26.8204221238598,1.41675146159053,1.51622233134041,1.36853740661494,1.66894805684749,-0.0994708697498782
"11","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-03-30,376,26963092,404.773077207811,365,445,-28.7730772078107,1.39449882083257,1.50121164593367,1.35370231277629,1.65040418954918,-0.106712825101107
"12","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-06,371,26963092,400.550003511772,362.975,440,-29.5500035117723,1.37595495353426,1.48554922229161,1.34619204652048,1.63186032225088,-0.109594268757353
"13","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-13,365,26963092,396.219375233935,358,436,-31.2193752339346,1.35370231277629,1.46948790307111,1.32774089855867,1.61702522841223,-0.115785590294817
"14","Texas","diabetes_mc_ma","Diabetes","Multiple Cause",2014-04-20,368,26963092,391.848956258741,353,431,-23.8489562587408,1.36482863315528,1.45327900916831,1.30919703126036,1.59848136111393,-0.088450376013036
