"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-01-19,1645,318386329,1613.13595397783,1531,1698,31.8640460221716,0.516667912584903,0.50665993073397,0.480862355117013,0.533314355969097,0.0100079818509329
"2","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-01-26,1627,318386329,1614.6715297279,1531,1698,12.3284702721016,0.511014403511025,0.507142230258228,0.480862355117013,0.533314355969097,0.00387217325279743
"3","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-02,1607,318386329,1613.77679024887,1531,1696.025,-6.77679024886629,0.504732726762273,0.506861207049146,0.480862355117013,0.532694040390158,-0.00212848028687384
"4","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-09,1605,318386329,1610.47714892785,1528,1695,-5.47714892785029,0.504104559087397,0.505824843040874,0.4799201036047,0.532372104456784,-0.00172028395347663
"5","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-16,1595,318386329,1604.84335719202,1525,1690,-9.84335719201567,0.500963720713021,0.504055360113159,0.478977852092387,0.530801685269596,-0.00309163940013758
"6","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-23,1583,318386329,1596.98941564815,1514,1679,-13.9894156481469,0.497194714663769,0.501588564014049,0.475522929880573,0.527346763057782,-0.00439384935028001
"7","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-02,1552,318386329,1587.06925894143,1504,1670,-35.0692589414271,0.487458115703203,0.49847280312762,0.472382091506197,0.524520008520843,-0.0110146874244174
"8","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-09,1537,318386329,1575.272383363,1495,1658,-38.2723833630018,0.482746858141638,0.494767595176174,0.469555336969258,0.520751002471592,-0.0120207370345357
"9","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-16,1521,318386329,1561.81863342659,1481,1644,-40.8186334265911,0.477721516742636,0.49054198976822,0.465158163245131,0.516353828747465,-0.0128204730255837
"10","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-23,1505,318386329,1546.95239480927,1465,1628,-41.9523948092699,0.472696175343634,0.485872744495028,0.460132821846129,0.511328487348463,-0.013176569151394
"11","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-30,1487,318386329,1530.93645472129,1449,1610,-43.9364547212876,0.467042666269757,0.480842396572024,0.455107480447127,0.505674978274585,-0.0137997303022667
"12","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-06,1477,318386329,1514.04578708651,1432,1594,-37.0457870865141,0.463901827895381,0.47553731086441,0.449768055210687,0.500649636875583,-0.0116354829690298
"13","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-13,1476,318386329,1496.56150052842,1419,1577,-20.561500528421,0.463587744057943,0.470045779047385,0.445684965323998,0.495310211639144,-0.00645803498944234
"14","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-20,1475,318386329,1478.7651549096,1400,1558,-3.76515490960196,0.463273660220505,0.46445623452306,0.439717372412683,0.489342618727829,-0.00118257430255492
"15","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-27,1463,318386329,1460.93361069679,1381,1539.025,2.06638930321128,0.459504654171254,0.458855634689261,0.433749779501368,0.483382877912449,0.000649019481992671
"16","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-04,1445,318386329,1443.33452869013,1367,1522,1.66547130986692,0.453851145097376,0.453328047477231,0.429352605777241,0.478035600580074,0.000523097620145278
"17","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-11,1431,318386329,1426.22258955426,1350,1505,4.77741044573895,0.449453971373249,0.447953463967437,0.424013180540801,0.472696175343634,0.00150050740581231
"18","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-18,1392,318386329,1409.83645657507,1332,1488,-17.8364565750744,0.437204701713182,0.442806844440571,0.418359671466924,0.467356750107194,-0.00560214272738903
"19","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-25,1355,318386329,1394.39646391419,1319,1470,-39.3964639141936,0.42558359972799,0.437957392295633,0.414276581580235,0.461703241033317,-0.0123737925676431
"20","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-01,1351,318386329,1380.10297830392,1304.975,1455,-29.1029783039194,0.424327264378239,0.433468039484798,0.409871555760172,0.456991983471753,-0.0091407751065591
"21","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-08,1350,318386329,1367.13535574747,1293,1443,-17.1353557474711,0.424013180540801,0.429395118829826,0.406110401806856,0.453222977422501,-0.00538193828902467
"22","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-15,1349,318386329,1355.65139672729,1280,1431,-6.6513967272931,0.423699096703364,0.425788192911792,0.402027311920167,0.449453971373249,-0.00208909620842832
"23","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-22,1361,318386329,1345.78719341449,1271,1420,15.212806585515,0.427468102752615,0.42269000608204,0.399200557383229,0.445999049161436,0.004778096670575
"24","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-29,1364,318386329,1337.65725969162,1265,1414,26.3427403083813,0.428410354264928,0.420136525300249,0.397316054358603,0.44411454613681,0.00827382896467935
"25","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-07-06,1365,318386329,1331.35483844019,1258,1405,33.6451615598144,0.428724438102366,0.41815703664845,0.395117467496539,0.441287791599871,0.0105674014539156
"26","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-07-13,1354,318386329,1326.95228936984,1252,1402,27.0477106301589,0.425269515890552,0.416774267141929,0.393232964471914,0.440345540087558,0.00849524874862291
"27","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-07-20,1361,318386329,1324.50147355044,1252,1398,36.4985264495585,0.427468102752615,0.416004505504519,0.393232964471914,0.439089204737808,0.0114635972480962
"28","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-07-27,1357,318386329,1324.03406671616,1248,1399,32.9659332838419,0.426211767402865,0.415857700572363,0.391976629122163,0.439403288575245,0.010354066830502
"29","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-08-03,1360,318386329,1325.56175145494,1252,1399,34.4382485450569,0.427154018915178,0.416337521657515,0.393232964471914,0.439403288575245,0.0108164972576624
"30","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-08-10,1341,318386329,1329.07625784319,1255.975,1403,11.9237421568082,0.421186426003863,0.417441371310636,0.394481447725728,0.440659623924996,0.00374505469322717
"31","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-08-17,1345,318386329,1334.54924233651,1261,1408,10.450757663486,0.422442761353613,0.419160347282535,0.396059719008852,0.442230043112184,0.00328241407107841
"32","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-08-24,1332,318386329,1341.93201527382,1268,1417,-9.93201527381598,0.418359671466924,0.421479156937613,0.398258305870916,0.445056797649123,-0.00311948547068928
"33","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-08-31,1327,318386329,1351.15514771433,1278,1427,-24.1551477143337,0.416789252279736,0.424375993767727,0.401399144245292,0.448197636023499,-0.00758674148799074
"34","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-09-07,1331,318386329,1362.12800798901,1286,1438,-31.1280079890078,0.418045587629486,0.427822391830463,0.403911814944793,0.451652558235313,-0.00977680420097678
"35","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-09-14,1348,318386329,1374.73829669711,1300,1451,-26.7382966971099,0.423385012865926,0.4317830796991,0.40830898866892,0.455735648122002,-0.00839806683317422
"36","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-09-21,1366,318386329,1388.85166516114,1312,1465,-22.8516651611421,0.429038521939804,0.436215860625455,0.412077994718171,0.460132821846129,-0.00717733868565134
"37","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-09-28,1380,318386329,1404.31151565063,1328,1484,-24.3115156506285,0.43343569566393,0.441071549793405,0.417103336117174,0.466100414757444,-0.00763585412947442
"38","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-10-05,1399,318386329,1420.93909092906,1343,1499.025,-21.9390909290551,0.439403288575245,0.446294002444136,0.421814593678738,0.470819524414944,-0.00689071386889073
"39","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-10-12,1401,318386329,1438.53396469743,1360.975,1519,-37.5339646974337,0.440031456250121,0.451820267916539,0.427460250656679,0.477093349067761,-0.0117888116664185
"40","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-10-19,1421,318386329,1456.8750421243,1379,1536,-35.8750421243033,0.446313132998873,0.457580903897511,0.433121611826493,0.482432774304201,-0.0112677708986378
"41","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-10-26,1431,318386329,1475.72216980933,1397,1553,-44.7221698093308,0.449453971373249,0.463500482085502,0.43877512090037,0.48777219954064,-0.014046510712252
"42","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-11-02,1469,318386329,1494.81843645917,1418,1575,-25.8184364591702,0.461389157195879,0.469498310795615,0.44537088148656,0.494682043964268,-0.00810915359973582
"43","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-11-09,1494,318386329,1513.89321895914,1435,1595,-19.8932189591433,0.46924125313182,0.475489391681495,0.450710306723,0.500963720713021,-0.00624813854967475
"44","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-11-16,1514,318386329,1532.665993744,1452,1613,-18.6659937440024,0.475522929880573,0.481385616825276,0.45604973195944,0.506617229786898,-0.00586268694470309
"45","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-11-23,1552,318386329,1550.85089152751,1470,1633,1.14910847249416,0.487458115703203,0.48709719930453,0.461703241033317,0.512898906535651,0.000360916398673061
"46","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-11-30,1574,318386329,1568.16192651991,1486,1650,5.83807348009373,0.494367960126831,0.49253431560496,0.466728582432319,0.518238331772091,0.0018336445218707
"47","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-12-07,1589,318386329,1584.31878205838,1502,1665,4.68121794161902,0.499079217688395,0.49760892279341,0.471753923831321,0.522949589333655,0.00147029489498559
"48","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-12-14,1637,318386329,1599.05298661526,1518,1682,37.9470133847428,0.514155241885401,0.502236698302224,0.476779265230323,0.528289014570095,0.0119185435831772
"49","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-12-21,1706,318386329,1612.11427140576,1531,1694,93.8857285942386,0.535827026668598,0.506339036751092,0.480862355117013,0.532058020619346,0.0294879899175063
"50","National","diabetes_uc_ma","Diabetes","Underlying Cause",2014-12-28,1747,318386329,1623.27686735943,1542,1707,123.723132640569,0.548704464003541,0.509845027723986,0.484317277328827,0.536141110506036,0.0388594362795548
"51","National","diabetes_uc_ma","Diabetes","Underlying Cause",2015-01-04,1782,320738994,1644.40743536094,1561,1727,137.592564639061,0.555591940280264,0.512693331999707,0.486688562725865,0.538444040888898,0.0428986082805574
"52","National","diabetes_uc_ma","Diabetes","Underlying Cause",2015-01-11,1800,320738994,1651.27298287655,1568,1735,148.727017123454,0.561203980081075,0.514833872328148,0.488871022648403,0.540938280800369,0.046370107752927
