"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-01-19,84,19653431,86.2051029982047,69,105,-2.20510299820468,0.427406288499957,0.438626227645466,0.351083736982108,0.534257860624946,-0.0112199391455094
"2","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-01-26,84,19653431,86.3184294629948,68,105,-2.31842946299484,0.427406288499957,0.439202851975285,0.345995566880918,0.534257860624946,-0.0117965634753283
"3","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-02,84,19653431,86.2932299678389,68,105,-2.29322996783885,0.427406288499957,0.439074632657468,0.345995566880918,0.534257860624946,-0.0116683441575105
"4","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-09,86,19653431,86.1298225444608,68,105,-0.129822544460779,0.437582628702337,0.438243187891523,0.345995566880918,0.534257860624946,-0.000660559189185743
"5","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-16,84,19653431,85.8311872292766,68,105,-1.83118722927659,0.427406288499957,0.436723680609643,0.345995566880918,0.534257860624946,-0.00931739210968606
"6","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-02-23,85,19653431,85.4028746700148,67,104.025,-0.402874670014825,0.432494458601147,0.434544353451643,0.340907396779728,0.529296894776284,-0.0020498948504962
"7","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-02,82,19653431,84.8528380890222,67,103,-2.85283808902221,0.417229948297577,0.431745673765676,0.340907396779728,0.524081520422566,-0.0145157254680987
"8","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-09,79,19653431,84.1911974656893,66,104,-5.1911974656893,0.401965437994007,0.428379133728301,0.335819226678538,0.529169690523756,-0.0264136957342934
"9","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-16,80,19653431,83.4299480780869,66,102,-3.42994807808688,0.407053608095197,0.424505767354753,0.335819226678538,0.518993350321376,-0.0174521592595556
"10","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-23,86,19653431,82.5826278864687,65,101,3.41737211353127,0.437582628702337,0.420194458089627,0.330731056577348,0.513905180220186,0.0173881706127102
"11","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-03-30,87,19653431,81.6639595118158,64,100,5.33604048818418,0.442670798803527,0.415520117132809,0.325642886476158,0.508817010118996,0.0271506816707179
"12","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-06,88,19653431,80.6894827299226,63,99,7.31051727007744,0.447758968904717,0.410561813506876,0.320554716374968,0.503728840017806,0.0371971553978409
"13","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-13,87,19653431,79.6751925359785,62,98,7.32480746402146,0.442670798803527,0.40540093246812,0.315466546273778,0.498640669916617,0.0372698663354071
"14","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-20,86,19653431,78.6371960916811,61,97,7.36280390831888,0.437582628702337,0.400119429995104,0.310378376172588,0.493552499815427,0.0374631987072328
"15","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-04-27,77,19653431,77.5913994629895,60.975,95,-0.591399462989472,0.391789097791627,0.39479823885707,0.310251171920058,0.483376159613047,-0.00300914106544283
"16","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-04,74,19653431,76.5532322399938,60,94,-2.55323223999382,0.376524587488057,0.389515867432988,0.305290206071398,0.478287989511857,-0.0129912799449308
"17","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-11,70,19653431,75.5374151527856,59,93,-5.53741515278556,0.356171907083298,0.384347217301577,0.300202035970208,0.473199819410667,-0.0281753102182797
"18","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-18,69,19653431,74.5577728889176,58,92,-5.55777288891758,0.351083736982108,0.379362630824702,0.295113865869018,0.468111649309477,-0.0282788938425946
"19","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-05-25,65,19653431,73.6270916692665,57,91,-8.62709166926648,0.330731056577348,0.374627166469134,0.290025695767828,0.463023479208287,-0.0438961098917867
"20","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-01,70,19653431,72.7570188891584,56,90,-2.75701888915836,0.356171907083298,0.370200088163529,0.284937525666638,0.457935309107097,-0.0140281810802315
"21","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-08,73,19653431,71.9580003654645,56,90,1.0419996345355,0.371436417386867,0.366134546000973,0.284937525666638,0.457935309107097,0.0053018713858944
"22","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-15,76,19653431,71.2392494817583,55,89,4.76075051824172,0.386700927690437,0.362477419244295,0.279849355565448,0.452847139005907,0.0242235084461422
"23","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-22,74,19653431,70.6087417831201,54,88,3.39125821687993,0.376524587488057,0.359269288823514,0.274761185464258,0.447758968904717,0.0172552986645433
"24","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-06-29,75,19653431,70.0732282977128,54,87,4.92677170228724,0.381612757589247,0.356544505118281,0.274761185464258,0.442670798803527,0.0250682524709667
"25","New York","diabetes_uc_ma","Diabetes","Underlying Cause",2014-07-06,71,19653431,69.6382609910061,54,87,1.36173900899385,0.361260077184488,0.354331317473301,0.274761185464258,0.442670798803527,0.00692875971118657
