"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","California","hiv_mc_ma","HIV","Multiple Cause",2014-01-19,18,38586706,20.8386744602211,12,31,-2.83867446022111,0.0466481901823908,0.0540048027427402,0.0310987934549272,0.0803385497585619,-0.00735661256034944
"2","California","hiv_mc_ma","HIV","Multiple Cause",2014-01-26,18,38586706,20.8594036152244,12,31,-2.85940361522438,0.0466481901823908,0.0540585237185687,0.0310987934549272,0.0803385497585619,-0.00741033353617794
"3","California","hiv_mc_ma","HIV","Multiple Cause",2014-02-02,20,38586706,20.8560029716748,12,30,-0.856002971674798,0.0518313224248787,0.0540497107259552,0.0310987934549272,0.077746983637318,-0.00221838830107654
"4","California","hiv_mc_ma","HIV","Multiple Cause",2014-02-09,19,38586706,20.8285017834233,12,30,-1.82850178342328,0.0492397563036347,0.0539784395781886,0.0310987934549272,0.077746983637318,-0.0047386832745539
"5","California","hiv_mc_ma","HIV","Multiple Cause",2014-02-16,20,38586706,20.7773596089282,12,30,-0.777359608928229,0.0518313224248787,0.0538459012514005,0.0310987934549272,0.077746983637318,-0.00201457882652183
"6","California","hiv_mc_ma","HIV","Multiple Cause",2014-02-23,22,38586706,20.7034540760561,12,30,1.29654592394387,0.0570144546673665,0.0536543701762367,0.0310987934549272,0.077746983637318,0.00336008449112985
"7","California","hiv_mc_ma","HIV","Multiple Cause",2014-03-02,21,38586706,20.6080577783258,12,30,0.391942221674199,0.0544228885461226,0.0534071443629467,0.0310987934549272,0.077746983637318,0.00101574418317593
"8","California","hiv_mc_ma","HIV","Multiple Cause",2014-03-09,21,38586706,20.4928053533578,12,30,0.507194646642226,0.0544228885461226,0.0531084600830083,0.0310987934549272,0.077746983637318,0.00131442846311428
"9","California","hiv_mc_ma","HIV","Multiple Cause",2014-03-16,23,38586706,20.3596522087841,12,30,2.64034779121594,0.0596060207886105,0.052763384904594,0.0310987934549272,0.077746983637318,0.00684263588401647
"10","California","hiv_mc_ma","HIV","Multiple Cause",2014-03-23,21,38586706,20.2108266753599,12,30,0.789173324640103,0.0544228885461226,0.0523776936941959,0.0310987934549272,0.077746983637318,0.00204519485192673
"11","California","hiv_mc_ma","HIV","Multiple Cause",2014-03-30,19,38586706,20.0487775640925,12,29,-1.04877756409248,0.0492397563036347,0.0519577327074575,0.0310987934549272,0.0751554175160741,-0.00271797640382282
"12","California","hiv_mc_ma","HIV","Multiple Cause",2014-04-06,19,38586706,19.8761191768371,12,29,-0.876119176837072,0.0492397563036347,0.0515102770804978,0.0310987934549272,0.0751554175160741,-0.00227052077686308
"13","California","hiv_mc_ma","HIV","Multiple Cause",2014-04-13,17,38586706,19.6955757713484,11,29,-2.69557577134844,0.0440566240611469,0.0510423869074195,0.0285072273336833,0.0751554175160741,-0.0069857628462726
"14","California","hiv_mc_ma","HIV","Multiple Cause",2014-04-20,17,38586706,19.5099273248443,11,29,-2.50992732484433,0.0440566240611469,0.0505612666829979,0.0285072273336833,0.0751554175160741,-0.00650464262185099
"15","California","hiv_mc_ma","HIV","Multiple Cause",2014-04-27,17,38586706,19.3219581946711,11,28,-2.32195819467107,0.0440566240611469,0.0500741322534011,0.0285072273336833,0.0725638513948301,-0.00601750819225427
"16","California","hiv_mc_ma","HIV","Multiple Cause",2014-05-04,18,38586706,19.134409965377,11,29,-1.13440996537696,0.0466481901823908,0.0495880886162632,0.0285072273336833,0.0751554175160741,-0.00293989843387244
"17","California","hiv_mc_ma","HIV","Multiple Cause",2014-05-11,19,38586706,18.9499394252398,11,28,0.0500605747601952,0.0492397563036347,0.0491100210140762,0.0285072273336833,0.0725638513948301,0.000129735289558521
"18","California","hiv_mc_ma","HIV","Multiple Cause",2014-05-18,20,38586706,18.7710822583899,11,28,1.22891774161014,0.0518313224248787,0.0486465008399262,0.0285072273336833,0.0725638513948301,0.00318482158495245
"19","California","hiv_mc_ma","HIV","Multiple Cause",2014-05-25,19,38586706,18.6002226948958,11,28,0.399777305104234,0.0492397563036347,0.0482037069836844,0.0285072273336833,0.0725638513948301,0.00103604931995033
"20","California","hiv_mc_ma","HIV","Multiple Cause",2014-06-01,18,38586706,18.4395690500879,10.975,27,-0.439569050087943,0.0466481901823908,0.0477873624405461,0.0284424381806522,0.0699722852735862,-0.00113917225815529
"21","California","hiv_mc_ma","HIV","Multiple Cause",2014-06-08,18,38586706,18.2911348205257,10,27,-0.29113482052573,0.0466481901823908,0.0474026853199797,0.0259156612124393,0.0699722852735862,-0.000754495137588916
"22","California","hiv_mc_ma","HIV","Multiple Cause",2014-06-15,17,38586706,18.1567247965706,10,27,-1.15672479657063,0.0440566240611469,0.0470543528555421,0.0259156612124393,0.0699722852735862,-0.00299772879439523
"23","California","hiv_mc_ma","HIV","Multiple Cause",2014-06-22,18,38586706,18.0379255047054,10,27,-0.0379255047053988,0.0466481901823908,0.0467464766355164,0.0259156612124393,0.0699722852735862,-9.82864531255889e-05
"24","California","hiv_mc_ma","HIV","Multiple Cause",2014-06-29,16,38586706,17.9360992064135,10,27,-1.93609920641348,0.0414650579399029,0.0464825870506114,0.0259156612124393,0.0699722852735862,-0.00501752911070844
"25","California","hiv_mc_ma","HIV","Multiple Cause",2014-07-06,16,38586706,17.8523806510745,10,27,-1.85238065107454,0.0414650579399029,0.0462656248788755,0.0259156612124393,0.0699722852735862,-0.00480056693897256
"26","California","hiv_mc_ma","HIV","Multiple Cause",2014-07-13,16,38586706,17.7876758020373,10,27,-1.7876758020373,0.0414650579399029,0.0460979379842304,0.0259156612124393,0.0699722852735862,-0.00463288004432743
"27","California","hiv_mc_ma","HIV","Multiple Cause",2014-07-20,17,38586706,17.7426618204609,10,26,-0.742661820460892,0.0440566240611469,0.0459812812745947,0.0259156612124393,0.0673807191523423,-0.00192465721344779
"28","California","hiv_mc_ma","HIV","Multiple Cause",2014-07-27,18,38586706,17.7177876927176,10,26,0.282212307282379,0.0466481901823908,0.0459168183278397,0.0259156612124393,0.0673807191523423,0.000731371854551095
"29","California","hiv_mc_ma","HIV","Multiple Cause",2014-08-03,20,38586706,17.7132750161458,10,27,2.28672498385423,0.0518313224248787,0.04590512342812,0.0259156612124393,0.0699722852735862,0.0059261989967587
"30","California","hiv_mc_ma","HIV","Multiple Cause",2014-08-10,20,38586706,17.7291186070945,10,26,2.27088139290548,0.0518313224248787,0.0459461831416616,0.0259156612124393,0.0673807191523423,0.00588513928321707
"31","California","hiv_mc_ma","HIV","Multiple Cause",2014-08-17,19,38586706,17.765086757377,10,27,1.23491324262296,0.0492397563036347,0.0460393969813776,0.0259156612124393,0.0699722852735862,0.00320035932225716
"32","California","hiv_mc_ma","HIV","Multiple Cause",2014-08-24,18,38586706,17.8207211337412,10,27,0.179278866258777,0.0466481901823908,0.0461835771463395,0.0259156612124393,0.0699722852735862,0.000464613036051268
"33","California","hiv_mc_ma","HIV","Multiple Cause",2014-08-31,17,38586706,17.8953364833595,10,27,-0.895336483359483,0.0440566240611469,0.046376947758535,0.0259156612124393,0.0699722852735862,-0.00232032369738812
"34","California","hiv_mc_ma","HIV","Multiple Cause",2014-09-07,16,38586706,17.9880204702255,10,27,-1.98802047022545,0.0414650579399029,0.0466171444388786,0.0259156612124393,0.0699722852735862,-0.00515208649897571
"35","California","hiv_mc_ma","HIV","Multiple Cause",2014-09-14,16,38586706,18.0976341161108,10,27,-2.09763411611075,0.0414650579399029,0.046901215449981,0.0259156612124393,0.0699722852735862,-0.00543615751007809
"36","California","hiv_mc_ma","HIV","Multiple Cause",2014-09-21,19,38586706,18.2228134483336,10,27,0.777186551666421,0.0492397563036347,0.0472256259664496,0.0259156612124393,0.0699722852735862,0.0020141303371851
"37","California","hiv_mc_ma","HIV","Multiple Cause",2014-09-28,19,38586706,18.3619730575491,10,27,0.638026942450853,0.0492397563036347,0.0475862672951382,0.0259156612124393,0.0699722852735862,0.00165348900849648
"38","California","hiv_mc_ma","HIV","Multiple Cause",2014-10-05,21,38586706,18.5133123342676,10,27,2.48668766573236,0.0544228885461226,0.0479784730374955,0.0259156612124393,0.0699722852735862,0.00644441550862714
"39","California","hiv_mc_ma","HIV","Multiple Cause",2014-10-12,21,38586706,18.6748251750565,11,28,2.32517482494347,0.0544228885461226,0.0483970442438298,0.0285072273336833,0.0725638513948301,0.00602584430229279
"40","California","hiv_mc_ma","HIV","Multiple Cause",2014-10-19,22,38586706,18.8443139212057,11,28,3.15568607879435,0.0570144546673665,0.048836285536282,0.0285072273336833,0.0725638513948301,0.00817816913108455
"41","California","hiv_mc_ma","HIV","Multiple Cause",2014-10-26,21,38586706,19.0194082082374,11,28,1.98059179176264,0.0544228885461226,0.0492900539585767,0.0285072273336833,0.0725638513948301,0.00513283458754588
"42","California","hiv_mc_ma","HIV","Multiple Cause",2014-11-02,22,38586706,19.1975892605739,11,28,2.80241073942608,0.0570144546673665,0.0497518219372598,0.0285072273336833,0.0725638513948301,0.00726263273010678
"43","California","hiv_mc_ma","HIV","Multiple Cause",2014-11-09,20,38586706,19.3762199617804,11,29,0.623780038219607,0.0518313224248787,0.0502147552107205,0.0285072273336833,0.0751554175160741,0.00161656721415818
"44","California","hiv_mc_ma","HIV","Multiple Cause",2014-11-16,21,38586706,19.5525807711965,11,29,1.44741922880351,0.0544228885461226,0.0506718059095184,0.0285072273336833,0.0751554175160741,0.0037510826366042
