"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","hiv_mc_ma","HIV","Multiple Cause",2014-01-19,183,318386329,178.162487508654,152,205,4.83751249134627,0.0574773422510864,0.0559579577641519,0.0477407432905199,0.0643871866747143,0.00151938448693451
"2","National","hiv_mc_ma","HIV","Multiple Cause",2014-01-26,181,318386329,178.229691941025,152,205,2.77030805897542,0.0568491745762112,0.0559790655901638,0.0477407432905199,0.0643871866747143,0.000870108986047393
"3","National","hiv_mc_ma","HIV","Multiple Cause",2014-02-02,178,318386329,178.134553409527,152,205,-0.13455340952666,0.0559069230638983,0.0559491841151027,0.0477407432905199,0.0643871866747143,-4.22610512044505e-05
"4","National","hiv_mc_ma","HIV","Multiple Cause",2014-02-09,176,318386329,177.87675393648,152,205,-1.87675393647953,0.055278755389023,0.0558682134673187,0.0477407432905199,0.0643871866747143,-0.00058945807829567
"5","National","hiv_mc_ma","HIV","Multiple Cause",2014-02-16,172,318386329,177.45877322086,151,204,-5.45877322085951,0.0540224200392725,0.0557369324801818,0.0474266594530822,0.0640731028372767,-0.00171451244090933
"6","National","hiv_mc_ma","HIV","Multiple Cause",2014-02-23,176,318386329,176.885826824752,151,204,-0.885826824751575,0.055278755389023,0.0555569792774462,0.0474266594530822,0.0640731028372767,-0.000278223888423166
"7","National","hiv_mc_ma","HIV","Multiple Cause",2014-03-02,174,318386329,176.16573890034,151,203,-2.16573890033976,0.0546505877141477,0.0553308112988544,0.0474266594530822,0.063759018999839,-0.000680223584706667
"8","National","hiv_mc_ma","HIV","Multiple Cause",2014-03-09,176,318386329,175.308754624988,150,203,0.691245375011732,0.055278755389023,0.0550616463890283,0.0471125756156446,0.063759018999839,0.000217108999994699
"9","National","hiv_mc_ma","HIV","Multiple Cause",2014-03-16,177,318386329,174.327299857176,149,201,2.67270014282423,0.0555928392264606,0.0547533873092823,0.046798491778207,0.0631308513249638,0.000839451917178337
"10","National","hiv_mc_ma","HIV","Multiple Cause",2014-03-23,178,318386329,173.235697400187,148,200,4.76430259981291,0.0559069230638983,0.0544105326206349,0.0464844079407693,0.0628167674875261,0.00149639044326332
