"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","California","hiv_uc_ma","HIV","Underlying Cause",2014-01-19,12,38586706,15.1678390209252,8,23,-3.16783902092524,0.0310987934549272,0.0393084577391116,0.0207325289699515,0.0596060207886105,-0.0082096642841844
"2","California","hiv_uc_ma","HIV","Underlying Cause",2014-01-26,12,38586706,15.198875383503,8,23,-3.19887538350295,0.0310987934549272,0.0393888905248946,0.0207325289699515,0.0596060207886105,-0.00829009706996745
"3","California","hiv_uc_ma","HIV","Underlying Cause",2014-02-02,14,38586706,15.2159544440572,8,23,-1.21595444405715,0.0362819256974151,0.0394331520396096,0.0207325289699515,0.0596060207886105,-0.00315122634219451
"4","California","hiv_uc_ma","HIV","Underlying Cause",2014-02-09,14,38586706,15.2187060475132,8,23,-1.21870604751319,0.0362819256974151,0.0394402830019053,0.0207325289699515,0.0596060207886105,-0.00315835730449028
"5","California","hiv_uc_ma","HIV","Underlying Cause",2014-02-16,15,38586706,15.2070061149663,8,23,-0.207006114966292,0.038873491818659,0.039409961853096,0.0207325289699515,0.0596060207886105,-0.00053647003443697
"6","California","hiv_uc_ma","HIV","Underlying Cause",2014-02-23,17,38586706,15.1809796399791,8,23,1.81902036002088,0.0440566240611469,0.0393425125222638,0.0207325289699515,0.0596060207886105,0.00471411153888304
"7","California","hiv_uc_ma","HIV","Underlying Cause",2014-03-02,17,38586706,15.1409975470081,8,23,1.85900245299187,0.0440566240611469,0.0392388962846638,0.0207325289699515,0.0596060207886105,0.00481772777648309
"8","California","hiv_uc_ma","HIV","Underlying Cause",2014-03-09,17,38586706,15.0876675415784,8,24,1.91233245842156,0.0440566240611469,0.0391006880493464,0.0207325289699515,0.0621975869098544,0.00495593601180044
"9","California","hiv_uc_ma","HIV","Underlying Cause",2014-03-16,18,38586706,15.0218193333998,8,23,2.97818066660019,0.0466481901823908,0.0389300380638861,0.0207325289699515,0.0596060207886105,0.00771815211850473
"10","California","hiv_uc_ma","HIV","Underlying Cause",2014-03-23,17,38586706,14.9444848403809,8,23,2.05551515961911,0.0440566240611469,0.0387296206117747,0.0207325289699515,0.0596060207886105,0.00532700344937221
"11","California","hiv_uc_ma","HIV","Underlying Cause",2014-03-30,15,38586706,14.8568741692316,8,23,0.143125830768444,0.038873491818659,0.0385025717645646,0.0207325289699515,0.0596060207886105,0.000370920054094391
"12","California","hiv_uc_ma","HIV","Underlying Cause",2014-04-06,14,38586706,14.760348306236,8,23,-0.760348306235953,0.0362819256974151,0.0382524186082014,0.0207325289699515,0.0596060207886105,-0.0019704929107863
"13","California","hiv_uc_ma","HIV","Underlying Cause",2014-04-13,12,38586706,14.6563895332408,8,23,-2.65638953324083,0.0310987934549272,0.0379830025741011,0.0207325289699515,0.0596060207886105,-0.00688420911917392
"14","California","hiv_uc_ma","HIV","Underlying Cause",2014-04-20,12,38586706,14.5465706069353,7,23,-2.54657060693528,0.0310987934549272,0.0376983995652163,0.0181409628487075,0.0596060207886105,-0.00659960611028908
"15","California","hiv_uc_ma","HIV","Underlying Cause",2014-04-27,12,38586706,14.4325237065457,7,22,-2.43252370654568,0.0310987934549272,0.0374028394819337,0.0181409628487075,0.0570144546673665,-0.0063040460270065
"16","California","hiv_uc_ma","HIV","Underlying Cause",2014-05-04,13,38586706,14.315910072525,8,22,-1.31591007252505,0.0336903595761711,0.0371006275387307,0.0207325289699515,0.0570144546673665,-0.00341026796255956
"17","California","hiv_uc_ma","HIV","Underlying Cause",2014-05-11,15,38586706,14.1983911360777,7,22,0.801608863922286,0.038873491818659,0.0367960694444292,0.0181409628487075,0.0570144546673665,0.00207742237422984
"18","California","hiv_uc_ma","HIV","Underlying Cause",2014-05-18,16,38586706,14.0816017878368,7,22,1.91839821216323,0.0414650579399029,0.0364934021262058,0.0181409628487075,0.0570144546673665,0.00497165581369716
"19","California","hiv_uc_ma","HIV","Underlying Cause",2014-05-25,15,38586706,13.9671262659071,7,22,1.03287373409291,0.038873491818659,0.0361967312418611,0.0181409628487075,0.0570144546673665,0.0026767605767979
"20","California","hiv_uc_ma","HIV","Underlying Cause",2014-06-01,15,38586706,13.856476970807,7,21,1.14352302919301,0.038873491818659,0.0359099762773402,0.0181409628487075,0.0544228885461226,0.00296351554131883
"21","California","hiv_uc_ma","HIV","Underlying Cause",2014-06-08,15,38586706,13.7510763484273,7,22,1.24892365157274,0.038873491818659,0.0356368235952228,0.0181409628487075,0.0570144546673665,0.00323666822343617
"22","California","hiv_uc_ma","HIV","Underlying Cause",2014-06-15,13,38586706,13.6522418310575,7,21,-0.652241831057543,0.0336903595761711,0.035380687408398,0.0181409628487075,0.0544228885461226,-0.00169032783222684
"23","California","hiv_uc_ma","HIV","Underlying Cause",2014-06-22,13,38586706,13.5611736976777,7,21,-0.561173697677653,0.0336903595761711,0.0351446783192057,0.0181409628487075,0.0544228885461226,-0.00145431874303459
"24","California","hiv_uc_ma","HIV","Underlying Cause",2014-06-29,12,38586706,13.4789456126395,7,21,-1.47894561263947,0.0310987934549272,0.034931578799806,0.0181409628487075,0.0544228885461226,-0.0038327853448788
"25","California","hiv_uc_ma","HIV","Underlying Cause",2014-07-06,12,38586706,13.4064975288979,7,21,-1.40649752889785,0.0310987934549272,0.0347438248004322,0.0181409628487075,0.0544228885461226,-0.00364503134550498
"26","California","hiv_uc_ma","HIV","Underlying Cause",2014-07-13,12,38586706,13.3446305984292,7,21,-1.34463059842916,0.0310987934549272,0.0345834925594041,0.0181409628487075,0.0544228885461226,-0.00348469910447696
"27","California","hiv_uc_ma","HIV","Underlying Cause",2014-07-20,12,38586706,13.2940037171243,7,21,-1.29400371712431,0.0310987934549272,0.0344522896489903,0.0181409628487075,0.0544228885461226,-0.00335349619406307
"28","California","hiv_uc_ma","HIV","Underlying Cause",2014-07-27,12,38586706,13.2551313417533,6,21,-1.25513134175333,0.0310987934549272,0.0343515493179266,0.0155493967274636,0.0544228885461226,-0.00325275586299937
