"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","hiv_uc_ma","HIV","Underlying Cause",2014-01-19,146,318386329,139.618183166355,116,163,6.38181683364527,0.0458562402658941,0.0438518147449587,0.0364337251427652,0.0511956655023338,0.00200442552093538
"2","National","hiv_uc_ma","HIV","Underlying Cause",2014-01-26,143,318386329,139.600179606203,116,164,3.39982039379723,0.0449139887535812,0.0438461601176986,0.0364337251427652,0.0515097493397714,0.00106782863588255
"3","National","hiv_uc_ma","HIV","Underlying Cause",2014-02-02,140,318386329,139.471355205805,116,163,0.528644794194776,0.0439717372412683,0.0438056984556662,0.0364337251427652,0.0511956655023338,0.000166038785602122
"4","National","hiv_uc_ma","HIV","Underlying Cause",2014-02-09,140,318386329,139.231831975748,116,163,0.768168024252191,0.0439717372412683,0.0437304680804143,0.0364337251427652,0.0511956655023338,0.000241269160854011
"5","National","hiv_uc_ma","HIV","Underlying Cause",2014-02-16,135,318386329,138.883594565014,116,163,-3.88359456501371,0.0424013180540801,0.0436210923381116,0.0364337251427652,0.0511956655023338,-0.00121977428403143
"6","National","hiv_uc_ma","HIV","Underlying Cause",2014-02-23,137,318386329,138.430442784041,116,162,-1.43044278404062,0.0430294857289554,0.0434787646878019,0.0364337251427652,0.0508815816648962,-0.000449278958846447
"7","National","hiv_uc_ma","HIV","Underlying Cause",2014-03-02,135,318386329,137.87790291752,115,162,-2.87790291752015,0.0424013180540801,0.0433052208461878,0.0361196413053275,0.0508815816648962,-0.00090390279210768
"8","National","hiv_uc_ma","HIV","Underlying Cause",2014-03-09,137,318386329,137.233101194213,115,161,-0.233101194212765,0.0430294857289554,0.043102699046545,0.0361196413053275,0.0505674978274585,-7.32133175896395e-05
"9","National","hiv_uc_ma","HIV","Underlying Cause",2014-03-16,137,318386329,136.50460415356,114,160,0.495395846440402,0.0430294857289554,0.0428738899004547,0.0358055574678899,0.0502534139900209,0.000155595828500665
"10","National","hiv_uc_ma","HIV","Underlying Cause",2014-03-23,137,318386329,135.702231740573,113,159,1.29776825942673,0.0430294857289554,0.0426218776939299,0.0354914736304523,0.0499393301525833,0.000407608035025503
"11","National","hiv_uc_ma","HIV","Underlying Cause",2014-03-30,133,318386329,134.836849715713,112,158,-1.83684971571302,0.0417731503792049,0.0423500751867123,0.0351773897930146,0.0496252463151457,-0.000576924807507365
"12","National","hiv_uc_ma","HIV","Underlying Cause",2014-04-06,134,318386329,133.920148356042,111,157,0.0798516439584205,0.0420872342166425,0.0420621541058823,0.034863305955577,0.049311162477708,2.50801107601641e-05
"13","National","hiv_uc_ma","HIV","Underlying Cause",2014-04-13,130,318386329,132.964414446079,111,156,-2.96441444607856,0.040830898866892,0.0417619735318719,0.034863305955577,0.0489970786402704,-0.000931074664979904
"14","National","hiv_uc_ma","HIV","Underlying Cause",2014-04-20,128,318386329,131.982303235388,110,155.025,-3.98230323538786,0.0402027311920167,0.0414535082740276,0.0345492221181394,0.0486908468987686,-0.00125077708201091
"15","National","hiv_uc_ma","HIV","Underlying Cause",2014-04-27,124,318386329,130.986616420944,108,154,-6.98661642094376,0.0389463958422662,0.041140779138461,0.0339210544432641,0.0483689109653951,-0.00219438329619478
"16","National","hiv_uc_ma","HIV","Underlying Cause",2014-05-04,123,318386329,129.99009135801,108,153,-6.99009135800989,0.0386323120048286,0.0408277867225919,0.0339210544432641,0.0480548271279575,-0.00219547471776337
"17","National","hiv_uc_ma","HIV","Underlying Cause",2014-05-11,124,318386329,129.005205686022,107,151,-5.00520568602195,0.0389463958422662,0.0405184500512966,0.0336069706058265,0.0474266594530822,-0.00157205420903042
"18","National","hiv_uc_ma","HIV","Underlying Cause",2014-05-18,124,318386329,128.044000451592,106,151,-4.04400045159204,0.0389463958422662,0.0402165510227017,0.0332928867683889,0.0474266594530822,-0.00127015518043554
"19","National","hiv_uc_ma","HIV","Underlying Cause",2014-05-25,123,318386329,127.117923692577,105,150,-4.11792369257675,0.0386323120048286,0.0399256852804684,0.0329788029309512,0.0471125756156446,-0.00129337327563984
"20","National","hiv_uc_ma","HIV","Underlying Cause",2014-06-01,123,318386329,126.237695380942,105,149,-3.23769538094176,0.0386323120048286,0.0396492197945289,0.0329788029309512,0.046798491778207,-0.00101690778970028
"21","National","hiv_uc_ma","HIV","Underlying Cause",2014-06-08,123,318386329,125.413193662476,104,149,-2.41319366247636,0.0386323120048286,0.0393902571308193,0.0326647190935136,0.046798491778207,-0.000757945125990746
"22","National","hiv_uc_ma","HIV","Underlying Cause",2014-06-15,119,318386329,124.653361519625,103,148,-5.65336151962514,0.0373759766550781,0.0391516061355842,0.032350635256076,0.0464844079407693,-0.0017756294805061
"23","National","hiv_uc_ma","HIV","Underlying Cause",2014-06-22,119,318386329,123.966132347031,102,147,-4.96613234703079,0.0373759766550781,0.0389357585598566,0.0320365514186383,0.0461703241033317,-0.00155978190477858
"24","National","hiv_uc_ma","HIV","Underlying Cause",2014-06-29,116,318386329,123.358372481616,102,146,-7.35837248161606,0.0364337251427652,0.0387448710090866,0.0320365514186383,0.0458562402658941,-0.00231114586632143
"25","National","hiv_uc_ma","HIV","Underlying Cause",2014-07-06,115,318386329,122.835838471792,102,145,-7.83583847179194,0.0361196413053275,0.0385807515220894,0.0320365514186383,0.0455421564284564,-0.00246111021676183
"26","National","hiv_uc_ma","HIV","Underlying Cause",2014-07-13,122,318386329,122.403146795153,101,145,-0.403146795153035,0.0383182281673909,0.0384448500598633,0.0317224675812007,0.0455421564284564,-0.000126621892472348
"27","National","hiv_uc_ma","HIV","Underlying Cause",2014-07-20,122,318386329,122.063753824418,101,145,-0.0637538244179154,0.0383182281673909,0.0383382522132154,0.0317224675812007,0.0455421564284564,-2.00240458245038e-05
"28","National","hiv_uc_ma","HIV","Underlying Cause",2014-07-27,124,318386329,121.819944075213,100,144,2.18005592478679,0.0389463958422662,0.0382616755115805,0.0314083837437631,0.0452280725910188,0.000684720330685676
"29","National","hiv_uc_ma","HIV","Underlying Cause",2014-08-03,128,318386329,121.672825120688,100,144,6.32717487931207,0.0402027311920167,0.0382154678257834,0.0314083837437631,0.0452280725910188,0.00198726336623331
"30","National","hiv_uc_ma","HIV","Underlying Cause",2014-08-10,130,318386329,121.622327998662,100,143,8.37767200133754,0.040830898866892,0.0381996074959181,0.0314083837437631,0.0449139887535812,0.00263129137097389
"31","National","hiv_uc_ma","HIV","Underlying Cause",2014-08-17,123,318386329,121.667212437848,101,144,1.33278756215201,0.0386323120048286,0.0382137049728187,0.0317224675812007,0.0452280725910188,0.000418607032009847
"32","National","hiv_uc_ma","HIV","Underlying Cause",2014-08-24,125,318386329,121.805076760934,100,145,3.19492323906617,0.0392604796797038,0.0382570059284593,0.0314083837437631,0.0455421564284564,0.00100347375124457
"33","National","hiv_uc_ma","HIV","Underlying Cause",2014-08-31,122,318386329,122.032372854474,101,144,-0.0323728544740618,0.0383182281673909,0.038328395957753,0.0317224675812007,0.0452280725910188,-1.01677903620233e-05
"34","National","hiv_uc_ma","HIV","Underlying Cause",2014-09-07,119,318386329,122.344427099246,101,145,-3.34442709924585,0.0373759766550781,0.0384264071524396,0.0317224675812007,0.0455421564284564,-0.00105043049736154
