"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-01-19,15,26963092,13.4872795355386,7,21,1.51272046446144,0.0556316018949162,0.0500212643844354,0.0259614142176276,0.0778842426528827,0.00561033751048078
"2","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-01-26,14,26963092,13.4560055304243,7,21,0.543994469575738,0.0519228284352551,0.0499052761842902,0.0259614142176276,0.0778842426528827,0.0020175522509649
"3","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-02-02,14,26963092,13.4189658056333,7,21,0.581034194366744,0.0519228284352551,0.0497679042360322,0.0259614142176276,0.0778842426528827,0.00215492419922294
"4","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-02-09,15,26963092,13.3765907784833,7,21,1.62340922151674,0.0556316018949162,0.0496107448599859,0.0259614142176276,0.0778842426528827,0.00602085703493035
"5","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-02-16,15,26963092,13.329390693034,7,21,1.67060930696601,0.0556316018949162,0.0494356904357779,0.0259614142176276,0.0778842426528827,0.00619591145913833
"6","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-02-23,15,26963092,13.2779459274997,7,21,1.72205407250033,0.0556316018949162,0.0492448934547257,0.0259614142176276,0.0778842426528827,0.00638670844019052
"7","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-03-02,13,26963092,13.2228962347665,7,21,-0.222896234766543,0.048214054975594,0.0490407266153546,0.0259614142176276,0.0778842426528827,-0.000826671639760539
"8","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-03-09,13,26963092,13.164929208805,6.97500000000002,21,-0.164929208804987,0.048214054975594,0.0488257400479329,0.0258686948811361,0.0778842426528827,-0.000611685072338835
"9","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-03-16,13,26963092,13.1047682740279,6,21,-0.104768274027927,0.048214054975594,0.0486026167697233,0.0222526407579665,0.0778842426528827,-0.000388561794129276
"10","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-03-23,11,26963092,13.043160486744,7,20,-2.04316048674395,0.0407965080562719,0.0483741274433361,0.0259614142176276,0.0741754691932216,-0.00757761938706419
"11","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-03-30,10,26963092,12.9808644191215,6,21,-2.98086441912149,0.0370877345966108,0.0481430854410966,0.0222526407579665,0.0778842426528827,-0.0110553508444858
"12","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-04-06,12,26963092,12.9186383683952,6,20,-0.918638368395181,0.044505281515933,0.0479123031156634,0.0222526407579665,0.0741754691932216,-0.0034070215997304
"13","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-04-13,11,26963092,12.8572290996578,6,21,-1.85722909965783,0.0407965080562719,0.0476845500495931,0.0222526407579665,0.0778842426528827,-0.00688804199332119
"14","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-04-20,11,26963092,12.7973612919302,6,20,-1.79736129193023,0.0407965080562719,0.0474625139132049,0.0222526407579665,0.0741754691932216,-0.006666005856933
"15","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-04-27,11,26963092,12.7397278167397,6,20,-1.73972781673975,0.0407965080562719,0.0472487644100304,0.0222526407579665,0.0741754691932216,-0.00645225635375849
"16","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-05-04,12,26963092,12.6849809384832,6,20,-0.68498093848317,0.044505281515933,0.0470457206409531,0.0222526407579665,0.0741754691932216,-0.00254043912502012
"17","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-05-11,13,26963092,12.6337244884414,6,20,0.366275511558579,0.048214054975594,0.0468556220794018,0.0222526407579665,0.0741754691932216,0.00135843289619224
"18","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-05-18,13,26963092,12.5865070311342,6,20,0.41349296886585,0.048214054975594,0.0466805032269079,0.0222526407579665,0.0741754691932216,0.00153355174868613
"19","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-05-25,12,26963092,12.5438160140164,6,20,-0.543816014016352,0.044505281515933,0.0465221719156555,0.0222526407579665,0.0741754691932216,-0.00201689039972252
"20","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-06-01,13,26963092,12.5060728701354,6,20,0.493927129864582,0.048214054975594,0.0463821911453457,0.0222526407579665,0.0741754691932216,0.00183186383024834
"21","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-06-08,15,26963092,12.473629028679,6,20,2.52637097132101,0.0556316018949162,0.0462618642872227,0.0222526407579665,0.0741754691932216,0.00936973760769354
"22","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-06-15,13,26963092,12.4467627803143,6,20,0.553237219685682,0.048214054975594,0.0461622234583271,0.0222526407579665,0.0741754691932216,0.00205183151726695
"23","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-06-22,14,26963092,12.425676942474,6,20,1.57432305752601,0.0519228284352551,0.0460840208625702,0.0222526407579665,0.0741754691932216,0.00583880757268496
"24","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-06-29,15,26963092,12.4104972735833,6,20,2.5895027264167,0.0556316018949162,0.0460277229094619,0.0222526407579665,0.0741754691932216,0.00960387898545428
"25","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-07-06,13,26963092,12.4012715937251,6,20,0.598728406274935,0.048214054975594,0.0459935069528564,0.0222526407579665,0.0741754691932216,0.00222054802273766
"26","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-07-13,12,26963092,12.3979695812721,6,20,-0.39796958127207,0.044505281515933,0.0459812605367073,0.0222526407579665,0.0741754691932216,-0.00147597902077429
"27","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-07-20,11,26963092,12.4004832293454,6,20,-1.40048322934539,0.0407965080562719,0.0459905830879685,0.0222526407579665,0.0741754691932216,-0.00519407503169661
"28","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-07-27,12,26963092,12.4086279612525,6,20,-0.408627961252547,0.044505281515933,0.0460207900535018,0.0222526407579665,0.0741754691932216,-0.00151550853756886
"29","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-08-03,12,26963092,12.4221444189747,6,20,-0.422144418974669,0.044505281515933,0.0460709195331703,0.0222526407579665,0.0741754691932216,-0.0015656380172373
"30","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-08-10,13,26963092,12.4407009519805,6,20,0.559299048019492,0.048214054975594,0.0461397415102856,0.0222526407579665,0.0741754691932216,0.0020743134653084
"31","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-08-17,12,26963092,12.463896843892,6,20,-0.463896843891986,0.044505281515933,0.0462257698185801,0.0222526407579665,0.0741754691932216,-0.00172048830264714
"32","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-08-24,14,26963092,12.4912663206655,6,20,1.50873367933446,0.0519228284352551,0.0463272770076427,0.0222526407579665,0.0741754691932216,0.00559555142761247
"33","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-08-31,12,26963092,12.5222833850237,6,20,-0.52228338502365,0.044505281515933,0.0464423122727306,0.0222526407579665,0.0741754691932216,-0.00193703075679766
"34","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-09-07,11,26963092,12.5563675171178,6,20,-1.55636751711781,0.0407965080562719,0.046568722597237,0.0222526407579665,0.0741754691932216,-0.00577221454096515
"35","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-09-14,11,26963092,12.592890270364,6,20,-1.59289027036401,0.0407965080562719,0.0467041772151503,0.0222526407579665,0.0741754691932216,-0.00590766915887841
"36","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-09-21,12,26963092,12.6311827739244,6,20,-0.631182773924419,0.044505281515933,0.0468461954360591,0.0222526407579665,0.0741754691932216,-0.00234091392012614
"37","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-09-28,12,26963092,12.6705441296489,6,20,-0.670544129648937,0.044505281515933,0.0469921777875065,0.0222526407579665,0.0741754691932216,-0.00248689627157351
"38","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-10-05,12,26963092,12.7102506620865,6,20,-0.71025066208648,0.044505281515933,0.047139440321186,0.0222526407579665,0.0741754691932216,-0.00263415880525305
"39","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-10-12,14,26963092,12.7495659464891,6,20,1.25043405351091,0.0519228284352551,0.0472852518045374,0.0222526407579665,0.0741754691932216,0.00463757663071769
"40","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-10-19,13,26963092,12.7877515030367,6,20,0.212248496963264,0.048214054975594,0.0474268733832037,0.0222526407579665,0.0741754691932216,0.000787181592390309
"41","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-10-26,13,26963092,12.8240780076439,6,20,0.175921992356061,0.048214054975594,0.0475616001593732,0.0222526407579665,0.0741754691932216,0.000652454816220859
"42","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-11-02,13,26963092,12.8578368327954,6,20,0.142163167204577,0.048214054975594,0.0476868039941244,0.0222526407579665,0.0741754691932216,0.000527250981469697
"43","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-11-09,12,26963092,12.8883516981972,6,20,-0.888351698197221,0.044505281515933,0.0477999767170517,0.0222526407579665,0.0741754691932216,-0.0032946952011187
"44","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-11-16,11,26963092,12.9149901829634,6,21,-1.91499018296343,0.0407965080562719,0.0478987728223582,0.0222526407579665,0.0778842426528827,-0.0071022647660863
"45","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-11-23,13,26963092,12.937174830799,6,20,0.0628251692010231,0.048214054975594,0.0479810506554626,0.0222526407579665,0.0741754691932216,0.000233004320131471
"46","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-11-30,13,26963092,12.9543935691095,7,20,0.0456064308905066,0.048214054975594,0.0480449110551175,0.0259614142176276,0.0741754691932216,0.000169143920476578
"47","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-12-07,12,26963092,12.966209163627,6.97500000000002,21,-0.966209163627001,0.044505281515933,0.0480887324184741,0.0258686948811361,0.0778842426528827,-0.00358345090254115
"48","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-12-14,14,26963092,12.972267442844,6,21,1.02773255715601,0.0519228284352551,0.0481112012036453,0.0222526407579665,0.0778842426528827,0.00381162723160981
"49","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-12-21,14,26963092,12.9723040514369,6,20,1.02769594856306,0.0519228284352551,0.0481113369766232,0.0222526407579665,0.0741754691932216,0.0038114914586319
"50","Texas","hiv_uc_ma","HIV","Underlying Cause",2014-12-28,13,26963092,12.9661495283101,6,21,0.0338504716899077,0.048214054975594,0.0480885112445935,0.0222526407579665,0.0778842426528827,0.000125543731000539
"51","Texas","hiv_uc_ma","HIV","Underlying Cause",2015-01-04,15,27468531,13.1965578783307,7,21,1.80344212166932,0.0546079439049726,0.0480424594905737,0.0254837071556539,0.0764511214669616,0.00656548441439887
"52","Texas","hiv_uc_ma","HIV","Underlying Cause",2015-01-11,15,27468531,13.1775569440826,6,21,1.82244305591739,0.0546079439049726,0.0479732860271363,0.021843177561989,0.0764511214669616,0.00663465787783623
"53","Texas","hiv_uc_ma","HIV","Underlying Cause",2015-01-18,16,27468531,13.1523340980941,7,21,2.84766590190591,0.0582484734986374,0.0478814615098787,0.0254837071556539,0.0764511214669616,0.0103670119887588
"54","Texas","hiv_uc_ma","HIV","Underlying Cause",2015-01-25,17,27468531,13.1211165721833,7,21,3.87888342781673,0.0618890030923022,0.0477678131829593,0.0254837071556539,0.0764511214669616,0.0141211899093429
"55","Texas","hiv_uc_ma","HIV","Underlying Cause",2015-02-01,17,27468531,13.0842249546152,6,21,3.91577504538476,0.0618890030923022,0.0476335081574448,0.021843177561989,0.0764511214669616,0.0142554949348575
