"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-01-19,11515,318386329,11186.6916705801,10682.95,11715,328.308329419879,3.61667538809432,3.51355904812738,3.35534193115434,3.67949215558184,0.103116339966933
"2","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-01-26,11317,318386329,11196.7285334889,10697,11735,120.271466511118,3.55448678828167,3.5167114645456,3.35975480907034,3.6857738323306,0.0377753237360634
"3","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-02,11247,318386329,11190.8981084685,10676,11718,56.1018915315381,3.53250091966103,3.5148802222813,3.35315904848414,3.68043440709416,0.0176206973797352
"4","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-09,11139,318386329,11169.3076001634,10667.975,11690,-30.3076001634108,3.49857986521777,3.50809899258062,3.35063852568871,3.6716400596459,-0.00951912736284944
"5","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-16,11000,318386329,11132.3577887629,10616.975,11659,-132.357788762945,3.45492221181394,3.49649365402336,3.33462024997939,3.66190346068534,-0.0415714422094252
"6","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-23,10883,318386329,11080.7314538313,10567,11599.05,-197.731453831317,3.41817440283373,3.4802786566352,3.31892391020344,3.64307413463095,-0.0621042538014617
"7","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-02,10738,318386329,11015.3739231181,10514.975,11526.025,-277.373923118137,3.37263224640528,3.45975091258335,3.30258369856075,3.62013816240207,-0.0871186661780748
"8","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-09,10651,318386329,10937.4667117343,10430.975,11440,-286.46671173434,3.3453069525482,3.43528151666787,3.27620065621599,3.5931191002865,-0.089974564119661
"9","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-16,10618,318386329,10848.3955258775,10350,11361,-230.395525877506,3.33494218591276,3.40730569680883,3.25076771747948,3.56830647712892,-0.072363510896068
"10","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-23,10538,318386329,10749.7141212198,10258,11260,-211.714121219835,3.30981547891775,3.37631146255021,3.22187200443522,3.53658400954772,-0.0664959836324614
"11","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-30,10452,318386329,10643.1056177648,10158,11143,-191.105617764801,3.28280426889812,3.34282745468157,3.19046362069145,3.49983620056752,-0.0600231857834576
"12","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-06,10361,318386329,10530.3428787775,10035.95,11029.025,-169.342878777486,3.25422263969129,3.30741050090046,3.15212968833219,3.46403849519556,-0.0531878612091685
"13","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-13,10284,318386329,10413.249468807,9939.975,10902,-129.249468806986,3.23003818420859,3.27063335335827,3.12198549203411,3.42414199574505,-0.0405951691496734
"14","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-20,10224,318386329,10293.6625299794,9825,10786,-69.6625299794468,3.21119315396234,3.23307302870389,3.08587370282472,3.38770827060228,-0.0218798747415587
"15","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-27,10115,318386329,10173.398677183,9704.975,10650.025,-58.3986771830005,3.17695801568163,3.19530009631255,3.04817579023627,3.3450007208067,-0.0183420806309182
"16","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-04,9987,318386329,10054.22373486,9571,10517.025,-67.2237348600102,3.13675528448962,3.15786917310134,3.00609640811556,3.3032275704275,-0.0211138886117218
"17","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-11,9906,318386329,9937.82684451307,9476.975,10409,-31.826844513067,3.11131449365717,3.12131079111536,2.97656467530049,3.2692986638883,-0.0099962974581949
"18","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-18,9789,318386329,9825.79918444847,9378.975,10279,-36.799184448475,3.07456668467697,3.08612471374312,2.9457844592316,3.22846776502141,-0.0115580290661522
"19","National","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-25,9631,318386329,9719.61727986346,9267,10167.025,-88.6172798634634,3.02494143836182,3.05277469368462,2.91061492153452,3.19329822732433,-0.0278332553228011
