"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-01-19,824,26963092,787.457074767622,731,846,36.5429252323783,3.05602933076073,2.92049989952051,2.71111339901225,3.13762234687327,0.135529431240224
"2","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-01-26,804,26963092,787.424676640853,730,847,16.5753233591469,2.98185386156751,2.9203797422078,2.70740462555259,3.14133112033294,0.0614741193597042
"3","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-02,795,26963092,786.27600124357,728,846,8.72399875643021,2.94847490043056,2.91611956538059,2.69998707863327,3.13762234687327,0.0323553350499646
"4","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-09,790,26963092,784.030733976753,727,843,5.96926602324675,2.92993103313225,2.90779237773158,2.69627830517361,3.12649602649429,0.0221386554006742
"5","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-16,786,26963092,780.728868833469,723,841,5.27113116653106,2.91509593929361,2.89554650792079,2.68144321133496,3.11907847957497,0.0195494313728228
"6","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-02-23,770,26963092,776.429559012019,719,835,-6.42955901201901,2.85575556393903,2.87960134176013,2.66660811749632,3.096825838817,-0.0238457778211008
"7","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-02,765,26963092,771.209447871014,715,829.025,-6.20944787101405,2.83721169664073,2.86024113210389,2.65177302365767,3.07466591739553,-0.0230294354631659
"8","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-09,756,26963092,765.160561890193,708,823,-9.16056189019321,2.80383273550378,2.83780718431771,2.62581160944004,3.05232055730107,-0.0339744488139313
"9","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-16,753,26963092,758.387865483353,701,816,-5.3878654833527,2.79270641512479,2.81268878763368,2.59985019522242,3.02635914308344,-0.0199823725088825
"10","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-23,729,26963092,751.006588569845,695,810,-22.006588569845,2.70369585209293,2.78531330371845,2.57759755446445,3.00410650232548,-0.0816174516255221
"11","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-03-30,725,26963092,743.139441340512,688,800,-18.1394413405119,2.68886075825428,2.75613583687105,2.55163614024682,2.96701876772886,-0.0672750786167695
"12","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-06,713,26963092,734.913826919973,681,791,-21.9138269199731,2.64435547673835,2.72562889641875,2.5256747260292,2.93363980659191,-0.0812734196804027
"13","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-13,712,26963092,726.459152491201,671,781,-14.4591524912007,2.64064670327869,2.69427242428725,2.48858699143259,2.8965520719953,-0.0536257210085576
"14","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-20,712,26963092,717.904324225811,664,773,-5.90432422581148,2.64064670327869,2.66254450426461,2.46262557721496,2.86688188431802,-0.0218978009859236
"15","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-04-27,711,26963092,709.375492648346,657,765,1.62450735165373,2.63693792981903,2.63091300006819,2.43666416299733,2.83721169664073,0.00602492975083768
"16","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-04,706,26963092,700.994094543465,648,755,5.00590545653495,2.61839406252072,2.59982829322195,2.40328520186038,2.80012396204412,0.0185657692987694
"17","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-11,695,26963092,692.875216805038,639,747,2.12478319496211,2.57759755446445,2.56971721494344,2.36990624072343,2.77045377436683,0.00788033952100933
"18","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-18,689,26963092,685.126288128757,633,740,3.8737118712429,2.55534491370648,2.54097819392804,2.34765359996546,2.7444923601492,0.0143667197784397
"19","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-05-25,669,26963092,677.846087266702,623,733,-8.84608726670172,2.48116944451326,2.51397757818985,2.31056586536885,2.71853094593157,-0.0328081336765891
"20","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-01,666,26963092,671.124042449701,618,725,-5.12404244970082,2.47004312413428,2.48904703677791,2.29202199807055,2.68886075825428,-0.0190039126436272
"21","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-08,663,26963092,665.039785952537,613,719,-2.03978595253727,2.4589168037553,2.46648190775946,2.27347813077224,2.66660811749632,-0.00756510400415973
"22","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-15,667,26963092,659.662920729525,607,713,7.33707927047453,2.47375189759394,2.44654033272418,2.25122549001428,2.64435547673835,0.0272115648697654
"23","Texas","ihd_mc_ma","Ischemic Heart Disease","Multiple Cause",2014-06-22,672,26963092,655.052952434158,602,709,16.9470475658424,2.49229576489225,2.42944300466044,2.23268162271597,2.62952038289971,0.06285276023181
