"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-19,806,38586706,799.961563008935,736,865.025,6.0384369910654,2.08880229372261,2.0731532849913,1.90739266523553,2.24176948402903,0.0156490087313112
"2","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-26,789,38586706,801.907056249485,738,867,-12.9070562494848,2.04474566966146,2.07819515936262,1.91257579747802,2.24688782711849,-0.0334494897011545
"3","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-02,775,38586706,802.424244501798,738,867,-27.4242445017981,2.00846374396405,2.07953548691562,1.91257579747802,2.24688782711849,-0.0710717429515701
"4","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-09,769,38586706,801.506735313388,737.975,868,-32.506735313388,1.99291434723658,2.07715770118701,1.91251100832499,2.24947939323973,-0.0842433539504202
"5","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-16,764,38586706,799.176503139968,735,864,-35.1765031399675,1.97995651663036,2.07111875043174,1.90480109911429,2.23911312875476,-0.0911622338013706
"6","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-23,757,38586706,795.483181105258,731,862,-38.4831811052582,1.96181555378166,2.06154726217174,1.89443483462931,2.23392999651227,-0.0997317083900817
"7","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-02,748,38586706,790.502477408892,726,856,-42.5024774088917,1.93849145869046,2.04863943921228,1.8814770040231,2.21838059978481,-0.110147980521819
"8","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-09,754,38586706,784.333805106518,721,850,-30.3338051065182,1.95404085541793,2.03265291706039,1.86851917341688,2.20283120305734,-0.0786120616424687
"9","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-16,739,38586706,777.097254845262,714,843,-38.0972548452621,1.91516736359927,2.01389891856864,1.85037821056817,2.18469024020864,-0.0987315549693776
"10","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-23,752,38586706,768.930070480907,707,834,-16.9300704809069,1.94885772317544,1.99273312026403,1.83223724771946,2.16136614511744,-0.0438753970885904
"11","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-30,744,38586706,759.982805352406,698,822,-15.982805352406,1.92812519420549,1.96954569107922,1.80891315262827,2.13026735166251,-0.0414204968737316
"12","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-06,730,38586706,750.41534166981,689,814,-20.4153416698097,1.89184326850807,1.94475097633317,1.78558905753707,2.10953482269256,-0.0529077078250983
"13","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-13,724,38586706,740.392947593599,679,803,-16.3929475935987,1.87629387178061,1.91877727939151,1.75967339632463,2.08102759535888,-0.0424834076108977
"14","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-20,734,38586706,730.082527864397,670,792,3.91747213560279,1.90220953299305,1.8920571449255,1.73634930123344,2.0525203680252,0.0101523880675453
"15","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-27,719,38586706,719.649196812219,660,781,-0.649196812218747,1.86333604117439,1.86501847763895,1.710433640021,2.02401314069151,-0.00168243646456566
"16","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-04,718,38586706,709.253270217462,650,771,8.74672978253795,1.86074447505314,1.83807674647704,1.68451797880856,1.99809747947907,0.0226677285761007
"17","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-11,717,38586706,699.047737881342,641,758,17.9522621186583,1.8581529089319,1.81162843462549,1.66119388371736,1.9644071199029,0.0465244743064056
"18","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-18,706,38586706,689.176244724779,630,750,16.8237552752206,1.82964568159822,1.78604580739486,1.63268665638368,1.94367459093295,0.0435998742033606
"19","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-25,687,38586706,679.771577122853,622,738,7.22842287714718,1.78040592529458,1.76167298945614,1.61195412741373,1.91257579747802,0.0187329358384392
"20","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-01,679,38586706,670.954624720317,614,730.025,8.0453752796825,1.75967339632463,1.73882327431711,1.59122159844377,1.8919080576611,0.0208501220075186
"21","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-08,666,38586706,662.833767207995,607,722,3.16623279200451,1.72598303674846,1.71777753511273,1.57308063559507,1.87111073953812,0.00820550163573047
"22","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-15,674,38586706,655.504620876331,600,713,18.4953791236686,1.74671556571841,1.69878356778195,1.55493967274636,1.84778664444692,0.0479319979364619
"23","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-22,662,38586706,649.050071067271,593,706,12.9499289327294,1.71561677226348,1.68205617516891,1.53679870989765,1.82964568159822,0.0335605970945782
"24","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-29,663,38586706,643.540513381523,587,702,19.4594866184767,1.71820833838473,1.66777779212748,1.52124931317019,1.81927941711324,0.0504305462572439
"25","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-06,659,38586706,639.034227875499,584,695,19.9657721245007,1.70784207389975,1.65609945527742,1.51347461480646,1.80113845426453,0.0517426186223326
"26","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-13,669,38586706,635.5778155964,580,693,33.4221844035998,1.73375773511219,1.64714193431385,1.50310835032148,1.79595532202205,0.0866158007983365
"27","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-20,646,38586706,633.20663475602,578,689,12.7933652439804,1.67415171432358,1.64099686238058,1.49792521807899,1.78558905753707,0.0331548519429991
"28","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-27,653,38586706,631.945183823159,577,689,21.0548161768411,1.69229267717229,1.63772772887937,1.49533365195775,1.78558905753707,0.0545649482929201
"29","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-03,651,38586706,631.807390151909,577.975,688,19.1926098480907,1.6871095449298,1.63737062746924,1.49786042892596,1.78299749141583,0.0497389174605645
"30","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-10,644,38586706,632.796774947337,578,690,11.2032250526627,1.66896858208109,1.63993468358594,1.49792521807899,1.78818062365831,0.0290338984951519
"31","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-17,641,38586706,634.906478040635,579,693,6.09352195936458,1.66119388371736,1.64540211864842,1.50051678420024,1.79595532202205,0.0157917650689452
"32","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-24,653,38586706,638.119138858129,583,695,14.8808611418714,1.69229267717229,1.65372794158208,1.51088304868521,1.80113845426453,0.0385647355902092
"33","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-31,656,38586706,642.406642950127,588,700,13.593357049873,1.70006737553602,1.6648392919316,1.52384087929143,1.81409628487075,0.0352280836044233
"34","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-07,655,38586706,647.729756337091,592,706,7.2702436629088,1.69747580941478,1.67863449224479,1.53420714377641,1.82964568159822,0.0188413171699828
"35","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-14,667,38586706,654.037682530689,598,714,12.9623174693107,1.7285746028697,1.69498190006343,1.54975654050387,1.85037821056817,0.0335927028062741
"36","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-21,668,38586706,661.267589098076,604,719,6.7324109019238,1.73116616899095,1.71371868098323,1.56530593723134,1.86333604117439,0.017447488007719
"37","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-28,672,38586706,669.34416162407,612,728,2.65583837593044,1.74153243347592,1.73464965271736,1.58603846620129,1.88666013626558,0.00688278075856085
"38","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-10-05,675,38586706,678.179252292694,622,738,-3.17925229269383,1.74930713183965,1.75754637437229,1.61195412741373,1.91257579747802,-0.00823924253263244
"39","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-10-12,678,38586706,687.671697303371,629,748,-9.67169730337127,1.75708183020339,1.78214667326973,1.63009509026243,1.93849145869046,-0.0250648430663433
"40","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-10-19,681,38586706,697.707381079939,640,759,-16.7073810799386,1.76485652856712,1.8081548113486,1.65860231759612,1.96699868602415,-0.0432982827814808
"41","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-10-26,681,38586706,708.159624786459,647,769,-27.1596247864588,1.76485652856712,1.8352424920294,1.67674328044482,1.99291434723658,-0.0703859634622837
"42","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-11-02,676,38586706,718.889971141105,660,780,-42.8899711411046,1.7518986979609,1.86305089411132,1.710433640021,2.02142157457027,-0.111152196150417
"43","California","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-11-09,686,38586706,729.749426201031,669,791,-43.7494262010308,1.77781435917334,1.89119388993979,1.73375773511219,2.04992880190395,-0.113379530766453
