"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-19,7876,318386329,7693.18446307143,7326.975,8071.025,182.815536928573,2.47372430365878,2.41630489827703,2.30128442480958,2.53497850405505,0.0574194053817472
"2","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-26,7756,318386329,7698.98795362428,7337.975,8065,57.0120463757175,2.43603424316626,2.41812768086041,2.3047393470214,2.53308614893449,0.0179065623058575
"3","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-02,7714,318386329,7693.88191674688,7335.975,8072.025,20.1180832531172,2.42284272199388,2.41652395720385,2.30411117934652,2.53529258789249,0.00631876479002879
"4","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-09,7631,318386329,7677.95449801354,7314.975,8049,-46.9544980135352,2.39677376348656,2.41152141240761,2.29751541876033,2.52806080753549,-0.0147476489210487
"5","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-16,7534,318386329,7651.49522937091,7292,8016,-117.495229370912,2.36630763125511,2.40321098377654,2.2902993425952,2.51769604090005,-0.0369033525214307
"6","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-23,7461,318386329,7614.98666946404,7250,7981,-153.986669464041,2.34337951112216,2.39174423518167,2.27710782142282,2.50670310658973,-0.0483647240595061
"7","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-02,7345,318386329,7569.090670621,7202,7930.025,-224.090670620997,2.3069457859794,2.37732904374201,2.26203179722582,2.49069268297635,-0.0703832577626149
"8","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-09,7289,318386329,7514.62995242435,7163.975,7878,-225.62995242435,2.28935709108289,2.3602238123812,2.25008875930725,2.47435247133365,-0.07086672129831
"9","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-16,7264,318386329,7452.56586996658,7100,7821,-188.565869966579,2.28150499514695,2.34073048719582,2.22999524580718,2.45644969259971,-0.0592254920488685
"10","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-23,7225,318386329,7383.97340850822,7036,7737,-158.973408508217,2.26925572548688,2.31918670368168,2.20989388021117,2.43006665025495,-0.049930978194801
"11","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-30,7172,318386329,7310.01450797625,6961,7654,-138.014507976247,2.25260928210269,2.29595740838993,2.18633759240335,2.40399769174763,-0.0433481262872461
"12","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-06,7122,318386329,7231.91081985966,6900,7588,-109.910819859664,2.23690509023081,2.27142630230825,2.16717847831965,2.38326815847674,-0.0345212120774395
"13","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-13,7074,318386329,7150.91693113586,6811,7501,-76.9169311358564,2.2218290660338,2.24598743092888,2.1392250167877,2.35594286461967,-0.0241583648950758
"14","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-20,7033,318386329,7068.29496559732,6739,7411,-35.2949655973225,2.20895162869886,2.22003720693589,2.11661098049219,2.32767531925028,-0.0110855782370362
"15","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-27,6960,318386329,6985.29130664045,6657,7322,-25.2913066404499,2.18602350856591,2.19396709920935,2.09085610582231,2.29972185771833,-0.00794359064344433
"16","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-04,6876,318386329,6903.11599334901,6575,7232,-27.1159933490135,2.15964046622115,2.16815716146814,2.06510123115242,2.27145431234895,-0.00851669524699143
"17","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-11,6808,318386329,6822.92513976326,6498,7166,-14.9251397632597,2.13828276527539,2.14297051044653,2.04091677566972,2.25072477907806,-0.00468774517113758
"18","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-18,6741,318386329,6745.80653035815,6424,7072.025,-4.80653035814521,2.11723914816707,2.11874880166672,2.01767457169934,2.22120875045486,-0.00150965349964672
"19","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-25,6641,318386329,6672.76836523839,6357.975,6992,-31.7683652383939,2.08583076442331,2.0958086944865,1.99693718633252,2.19607419136391,-0.009977930063195
"20","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-01,6584,318386329,6604.73097547211,6287,6923,-20.7309754721073,2.06792798568936,2.07443925001947,1.97464508597038,2.17440240658072,-0.00651126433010485
"21","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-08,6541,318386329,6542.52120802796,6237,6862,-1.52120802796435,2.05442238067954,2.05490016753451,1.9589408940985,2.15524329249702,-0.000477786854963973
"22","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-15,6531,318386329,6486.86909343312,6181,6809,44.1309065668756,2.05128154230517,2.03742073782104,1.941352199202,2.13859684911283,0.0138608044841258
"23","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-22,6505,318386329,6438.40635726497,6129,6750,66.5936427350289,2.04311536253179,2.02219937567262,1.92501983965524,2.12006590270401,0.0209159868591685
"24","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-29,6486,318386329,6397.66631655751,6093,6707,88.3336834424908,2.03714776962047,2.00940358734985,1.91371282150748,2.10656029769419,0.0277441822706184
"25","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-06,6455,318386329,6365.08471035596,6059,6672,89.9152896440401,2.02741117065991,1.99917023144419,1.9030339710346,2.09556736338387,0.0282409392157162
"26","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-13,6433,318386329,6341.00104546421,6037.975,6646,91.9989545357876,2.02050132623628,1.99160594155543,1.89643035835248,2.08740118361049,0.0288953846808503
"27","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-20,6363,318386329,6325.66008917529,6022,6639,37.3399108247122,1.99851545761564,1.98678759513424,1.89141286904941,2.08520259674843,0.0117278624814045
"28","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-27,6294,318386329,6319.21320596556,6013,6621,-25.2132059655632,1.97684367283245,1.98476273331622,1.88858611451247,2.07954908767455,-0.00791906048376947
"29","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-03,6291,318386329,6321.71931075005,6024,6630,-30.7193107500507,1.97590142132013,1.98554986032395,1.89204103672429,2.08237584221149,-0.00964843900381498
"30","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-10,6269,318386329,6333.1452938898,6025.975,6646.025,-64.1452938898046,1.96899157689651,1.98913857695498,1.89266135230323,2.08740903570643,-0.0201470000584744
"31","National","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-17,6284,318386329,6353.36585979695,6055,6667,-69.3658597969479,1.97370283445807,1.99548952989026,1.90177763568485,2.09399694419668,-0.0217866954321861
