"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-19,672,19653431,650.918877843068,600,703,21.0811221569317,3.41925030799966,3.31198597254122,3.05290206071398,3.57698358113655,0.107264335458433
"2","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-01-26,663,19653431,651.052154753286,601,701,11.9478452467143,3.37345677708895,3.31266410813097,3.05799023081517,3.56680724093417,0.0607926689579765
"3","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-02,658,19653431,650.095950610313,599,700.025,7.90404938968743,3.348015926583,3.30779877880006,3.04781389061279,3.5618462750855,0.0402171477829364
"4","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-09,649,19653431,648.068451307289,598,699.025,0.931548692711431,3.30222239567229,3.29748251746623,3.0427257205116,3.55675810498431,0.0047398782060569
"5","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-16,634,19653431,645.008468239806,595,697,-11.0084682398061,3.22589984415444,3.28191280311212,3.02746121020803,3.54645456052941,-0.0560129589576808
"6","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-02-23,624,19653431,640.97423698317,592,694,-16.97423698317,3.17501814314254,3.26138594825082,3.01219669990446,3.53119005022584,-0.0863678051082788
"7","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-02,617,19653431,636.041648622381,587,687,-19.0416486223809,3.13940095243421,3.23628809963197,2.98675584939851,3.49557285951751,-0.0968871471977635
"8","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-09,612,19653431,630.30200715945,581,681,-18.30200715945,3.11396010192826,3.20708382754874,2.95622682879137,3.46504383891037,-0.0931237256204782
"9","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-16,612,19653431,623.859427594819,574,674,-11.8594275948193,3.11396010192826,3.17430288683345,2.92060963808304,3.42942664820204,-0.0603427849051868
"10","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-23,616,19653431,616.828001743711,569,666,-0.82800174371107,3.13431278233302,3.1385257960491,2.89516878757709,3.38872128739252,-0.00421301371608382
"11","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-03-30,619,19653431,609.328862148495,560,659,9.67113785150525,3.14957729263659,3.10036889817607,2.84937525666638,3.35310409668419,0.0492083944605156
"12","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-06,609,19653431,601.48726899937,553,651,7.51273100062963,3.09869559162469,3.060469538369,2.81375806595805,3.31239873587467,0.0382260532556866
"13","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-13,609,19653431,593.429831946514,546,642,15.5701680534864,3.09869559162469,3.01947192806444,2.77814087524972,3.26660520496396,0.0792236635602529
"14","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-20,606,19653431,585.281959802785,536,633,20.7180401972153,3.08343108132112,2.9780141686344,2.72725917423782,3.22081167405325,0.105416912686723
"15","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-04-27,587,19653431,577.165608439973,530,624.025,9.83439156002748,2.98675584939851,2.93671679229938,2.69673015363068,3.17514534739507,0.0500390570991268
"16","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-04,564,19653431,569.197372787891,522.975,617,-5.19737278789125,2.86972793707114,2.89617305389523,2.66098575866982,3.13940095243421,-0.0264451168240866
"17","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-11,544,19653431,561.486944720638,515,609,-17.4869447206381,2.76796453504734,2.85694108433605,2.62040760211283,3.09869559162469,-0.0889765492887126
"18","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-18,531,19653431,554.135936409482,508,602,-23.1359364094823,2.70181832373187,2.81953790363363,2.5847904114045,3.06307840091636,-0.11771957990176
"19","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-05-25,520,19653431,547.237049668665,503,595,-27.2370496686651,2.64584845261878,2.78443519438751,2.55934956089855,3.02746121020803,-0.138586741768728
"20","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-01,517,19653431,540.873556692843,495,587,-23.8735566928432,2.63058394231521,2.7520566596888,2.51864420008903,2.98675584939851,-0.121472717373588
"21","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-08,516,19653431,535.119046718188,491,582,-19.1190467181884,2.62549577221402,2.72277673408876,2.49829151968427,2.96131499889256,-0.0972809618747405
"22","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-15,527,19653431,530.037386492423,486,577,-3.0373864924228,2.68146564332711,2.69692038246362,2.47285066917832,2.93587414838661,-0.0154547391365039
"23","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-22,524,19653431,525.682839684731,480,572,-1.68283968473065,2.66620113302354,2.67476370759248,2.44232164857118,2.91043329788066,-0.00856257456894245
"24","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-06-29,516,19653431,522.100290989136,477,567,-6.10029098913606,2.62549577221402,2.6565350904335,2.42705713826761,2.88499244737471,-0.0310393182194806
"25","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-06,510,19653431,519.325524066928,475,564,-9.32552406692798,2.59496675160688,2.64241660434215,2.41688079806523,2.86972793707114,-0.0474498527352704
"26","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-13,511,19653431,517.385508014922,473,563,-6.38550801492249,2.60005492170807,2.63254547267051,2.40670445786285,2.86463976696995,-0.0324905509624375
"27","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-20,498,19653431,516.298654165352,473,563,-18.2986541653524,2.5339087103926,2.62701537540876,2.40670445786285,2.86463976696995,-0.0931066650161615
"28","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-07-27,490,19653431,516.075013233313,471,561,-26.0750132333129,2.49320334958308,2.62587745230496,2.39652811766047,2.85446342676757,-0.132674102721875
"29","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-03,495,19653431,516.716391743199,472,562,-21.7163917431986,2.51864420008903,2.62914089526251,2.40161628776166,2.85955159686876,-0.110496695173472
"30","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-10,499,19653431,518.216375996235,474,563,-19.2163759962355,2.53899688049379,2.63677307029106,2.41179262796404,2.86463976696995,-0.0977761897972698
"31","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-17,503,19653431,520.56026137318,476,566,-17.5602613731799,2.55934956089855,2.64869915778665,2.42196896816642,2.87990427727352,-0.0893495968880948
"32","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-24,510,19653431,523.724894331248,479,569,-13.7248943312483,2.59496675160688,2.66480134858513,2.43723347846999,2.89516878757709,-0.0698345969782491
"33","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-08-31,517,19653431,527.67844389278,483,575,-10.6784438927797,2.63058394231521,2.68491768125769,2.45758615887475,2.92569780818423,-0.0543337389424762
"34","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-07,532,19653431,532.380128547025,487,579,-0.380128547025151,2.70690649383306,2.70884065254064,2.47793883927951,2.94605048858899,-0.00193415870758216
"35","New York","ihd_uc_ma","Ischemic Heart Disease","Underlying Cause",2014-09-14,534,19653431,537.779933044789,492,583,-3.77993304478935,2.71708283403544,2.73631577633844,2.50337968978546,2.96640316899375,-0.0192329423029971
