"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-19,485,38586706,446.991637709068,405,489,38.008362290932,1.25690956880331,1.15840838476616,1.04958427910379,1.26727583328828,0.0985011840371448
"2","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-26,482,38586706,448.811282689762,408,492,33.1887173102384,1.24913487043958,1.16312411505082,1.05735897746752,1.27505053165202,0.0860107553887558
"3","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-02,468,38586706,449.808509812767,409,493,18.1914901872333,1.21285294474216,1.16570849507799,1.05995054358877,1.27764209777326,0.0471444496641752
"4","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-09,460,38586706,449.969259194437,408,493,10.0307408055633,1.19212041577221,1.16612508772953,1.05735897746752,1.27764209777326,0.0259953280426768
"5","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-16,445,38586706,449.296190854292,408,493,-4.29619085429181,1.15324692395355,1.16438078662193,1.05735897746752,1.27764209777326,-0.0111338626683807
"6","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-23,427,38586706,447.808597721545,407,489,-20.8085977215449,1.10659873377116,1.16052559065691,1.05476741134628,1.26727583328828,-0.0539268568857495
"7","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-02,406,38586706,445.541774328187,404,488,-39.5417743281873,1.05217584522504,1.15465096794784,1.04699271298255,1.26468426716704,-0.102475122722803
"8","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-09,399,38586706,442.545878159727,401.975,485,-43.5458781597275,1.03403488237633,1.1468869049349,1.04174479158703,1.25690956880331,-0.112852022558566
"9","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-16,397,38586706,438.884348529369,397,482,-41.884348529369,1.02885175013384,1.13739780879293,1.02885175013384,1.24913487043958,-0.108546058659086
"10","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-23,400,38586706,434.631970278263,393,476.025,-34.6319702782627,1.03662644849757,1.12637748938265,1.01848548564887,1.23365026286514,-0.0897510408850725
"11","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-30,394,38586706,429.872684931605,389,472,-35.8726849316046,1.02107705177011,1.11404348671691,1.00811922116389,1.22321920922714,-0.0929664349468041
"12","California","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-06,402,38586706,424.697259281687,384,466,-22.697259281687,1.04180958074006,1.10063102893957,0.99516139055767,1.20766981249967,-0.0588214481995094
