"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-19,4436,318386329,4275.64345888508,4066,4484.025,160.35654111492,1.39327590287333,1.34291050508173,1.27706488302141,1.40835977916627,0.0503653977915993
"2","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-26,4372,318386329,4285.23366476029,4080,4500,86.766335239713,1.37317453727732,1.34592263374483,1.28146205674553,1.41337726846934,0.027251903532489
"3","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-02,4294,318386329,4288.22434905591,4082.975,4495.05,5.77565094408965,1.34867599795719,1.34686195934497,1.28239645616191,1.41182255347402,0.00181403861221995
"4","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-09,4259,318386329,4284.59137539267,4080,4488.025,-25.5913753926716,1.33768306364687,1.34572090103551,1.28146205674553,1.40961611451602,-0.00803783738863724
"5","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-16,4237,318386329,4274.43692959453,4070,4481,-37.4369295945253,1.33077321922324,1.34253155373217,1.27832121837116,1.40740967555802,-0.0117583345089309
"6","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-23,4195,318386329,4257.98645504728,4050,4464,-62.9864550472803,1.31758169805086,1.3373647255587,1.2720395416224,1.40207025032158,-0.0197830275078426
"7","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-02,4132,318386329,4235.58194299942,4038,4444,-103.581942999424,1.29779441629229,1.33032783043879,1.26827053557315,1.39578857357283,-0.0325334141465049
"8","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-09,4096,318386329,4207.67193098031,3998,4413,-111.671930980309,1.28648739814454,1.3215617467609,1.25570718207565,1.38605197461226,-0.0350743486163658
"9","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-16,4062,318386329,4174.79872255437,3974,4379,-112.798722554367,1.27580854767166,1.31123680330959,1.24816916997714,1.37537312413938,-0.0354282556379384
"10","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-23,4004,318386329,4137.58346226116,3938,4340.025,-133.58346226116,1.25759168510027,1.29954809154546,1.23686215182939,1.36313170657525,-0.0419564064451901
"11","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-30,3951,318386329,4096.70977330169,3895,4299,-145.709773301693,1.24094524171608,1.28671032646684,1.22335654681957,1.35024641714437,-0.0457650847507628
"12","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-06,3930,318386329,4052.90668945148,3862,4251,-122.906689451478,1.23434948112989,1.27295248579956,1.21299178018413,1.33517039294737,-0.0386030046696754
"13","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-13,3910,318386329,4006.93158855921,3816,4205,-96.931588559205,1.22806780438114,1.25851244968474,1.198543923662,1.32072253642524,-0.0304446453036006
"14","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-20,3889,318386329,3959.55376862937,3767.975,4151,-70.5537686293687,1.22147204379495,1.24363184219174,1.18346004736906,1.30376200920361,-0.0221597983967989
"15","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-27,3847,318386329,3911.53920777236,3720,4106,-64.5392077723618,1.20828052262257,1.22855124466489,1.16839187526799,1.28962823651891,-0.020270722042328
"16","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-04,3833,318386329,3863.63692697426,3677,4058,-30.6369269742609,1.20388334889844,1.21350591248981,1.15488627025817,1.27455221232191,-0.00962256359137231
"17","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-11,3776,318386329,3816.56724101074,3630,4010,-40.5672410107404,1.18598057016449,1.1987220848954,1.1401243298986,1.2594761881249,-0.0127415147309106
"18","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-18,3740,318386329,3771.01204863824,3588,3962,-31.0120486382393,1.17467355201674,1.18441393525984,1.12693280872622,1.24440016392789,-0.00974038324310065
"19","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-25,3692,318386329,3727.60718767309,3542,3916,-35.6071876730889,1.15959752781973,1.17078116996446,1.11248495220409,1.22995230740576,-0.0111836421447257
"20","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-01,3695,318386329,3686.93677083914,3509,3874,8.0632291608631,1.16053977933205,1.15800724937506,1.10212018556865,1.21676078623338,0.00253252995698289
"21","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-08,3636,318386329,3649.52932908053,3465,3832,-13.5293290805275,1.14200883292323,1.14625817651879,1.08830049672139,1.203569265061,-0.00424934359556862
"22","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-15,3620,318386329,3615.85552281225,3434,3799.025,4.14447718774863,1.13698349152422,1.13568177822492,1.07856389776082,1.19321235052149,0.00130171329930081
"23","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-22,3599,318386329,3586.3271386722,3407,3765,12.6728613277955,1.13038773093803,1.12640739002088,1.07008363415001,1.18252564795268,0.00398034091714897
"24","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-29,3581,318386329,3561.29706846586,3385,3738,19.7029315341365,1.12473422186416,1.11854584951914,1.06317378972638,1.17404538434186,0.00618837234501249
"25","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-07-06,3558,318386329,3541.05996574763,3364,3720,16.9400342523695,1.11751029360309,1.11218970263878,1.05657802914019,1.16839187526799,0.00532059096430912
"26","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-07-13,3572,318386329,3525.85329081525,3350,3705.025,46.1467091847544,1.12190746732722,1.10741353182135,1.05218085541606,1.16368846980236,0.014493935505866
"27","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-07-20,3559,318386329,3515.85848355574,3339,3697,43.141516444256,1.11782437744053,1.10427432440284,1.04872593320425,1.16116794700692,0.0135500530376906
"28","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-07-27,3560,318386329,3511.20204245649,3340,3692,48.7979575435074,1.11813846127797,1.10281181151358,1.04904001704169,1.15959752781973,0.0153266497643834
"29","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-08-03,3568,318386329,3511.95633441744,3340,3692,56.0436655825592,1.12065113197747,1.10304872242722,1.04904001704169,1.15959752781973,0.0176024095502415
"30","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-08-10,3570,318386329,3518.1400114603,3343.975,3695,51.8599885397011,1.12127929965234,1.10499091544232,1.0502885002955,1.16053977933205,0.0162883842100209
"31","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-08-17,3560,318386329,3529.71796516714,3352,3706,30.2820348328605,1.11813846127797,1.10862736357224,1.05280902309094,1.16399470154386,0.00951109770572483
"32","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-08-24,3579,318386329,3546.60080619938,3367,3730,32.3991938006166,1.12410605418928,1.1139299910705,1.0575202806525,1.17153271364236,0.0101760631187831
"33","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-08-31,3591,318386329,3568.64391326522,3393,3746,22.3560867347846,1.12787506023853,1.12085337472678,1.06568646042588,1.17655805504136,0.00702168551174967
"34","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-09-07,3597,318386329,3595.64615216833,3416,3772,1.35384783166865,1.12975956326316,1.12933434154088,1.07291038868695,1.18472423481474,0.000425221722277104
"35","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-09-14,3633,318386329,3627.34841966903,3447,3810,5.65158033097396,1.14106658141091,1.13929151137297,1.08264698764751,1.19665942063737,0.00177507003793934
"36","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-09-21,3669,318386329,3663.43221707797,3482.975,3852,5.56778292203444,1.15237359955867,1.15062484893249,1.09394615369933,1.20985094180975,0.00174875062617228
"37","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-09-28,3700,318386329,3703.51850259092,3521.975,3891,-3.51850259092089,1.16211019851923,1.16321530331502,1.1061954233594,1.22210021146982,-0.00110510479579068
"38","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-10-05,3731,318386329,3747.16710667237,3564,3935.025,-16.1671066723711,1.1718467974798,1.17692462438372,1.11939479662772,1.23592775241301,-0.00507782690392185
"39","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-10-12,3754,318386329,3793.87701818336,3604.975,3981,-39.8770181833611,1.17907072574087,1.19159545263747,1.13226438186672,1.25036775683921,-0.0125247268966002
"40","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-10-19,3752,318386329,3843.08785702915,3653.975,4034,-91.0878570291457,1.17844255806599,1.20705178174567,1.14765448990117,1.2670142002234,-0.0286092236796843
"41","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-10-26,3790,318386329,3894.18283850824,3706,4091,-104.182838508239,1.19037774388862,1.22309988960243,1.16399470154386,1.28491697895735,-0.0327221457138127
"42","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-11-02,3851,318386329,3946.49350233282,3757,4141.025,-95.4935023328198,1.20953685797232,1.23952982363537,1.18001297725318,1.30062902292516,-0.0299929656630514
"43","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-11-09,3875,318386329,3999.30642344318,3803,4197,-124.30642344318,1.21707487007082,1.256117508564,1.19446083377531,1.31820986572574,-0.039042638493181
"44","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-11-16,3956,318386329,4051.87204167632,3858,4249,-95.8720416763158,1.24251566090327,1.27262751965594,1.21173544483438,1.33454222527249,-0.0301118587526777
"45","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-11-23,4063,318386329,4103.41564443413,3905,4306,-40.4156444341279,1.27612263150909,1.28881653220548,1.22649738519395,1.35244500400644,-0.0126939006963857
"46","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-11-30,4124,318386329,4153.15041440088,3953,4354,-29.1504144008823,1.29528174559279,1.30443741961072,1.24157340939095,1.36752102820344,-0.00915567401792627
"47","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-12-07,4187,318386329,4200.29231923589,3997,4407.025,-13.292319235893,1.31506902735136,1.31924392998542,1.25539309823821,1.38417532368357,-0.00417490263405532
"48","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-12-14,4356,318386329,4244.07648053099,4042.975,4451,111.923519469009,1.36814919587832,1.33299582738397,1.2698331026644,1.39798716043489,0.0351533684943517
"49","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-12-21,4513,318386329,4283.77452559643,4080,4488,229.225474403573,1.41746035835603,1.34546434171689,1.28146205674553,1.40960826242009,0.0719960166391355
"50","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-12-28,4656,318386329,4318.71230935988,4113,4528,337.287690640123,1.46237434710961,1.35643773491288,1.29182682338098,1.42217161591759,0.105936612196726
"51","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2015-01-04,4765,320738994,4380.41828194328,4170.975,4590,384.581718056716,1.48563164727018,1.36572676347026,1.3004265393437,1.43107014920674,0.119904883799915
"52","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2015-01-11,4820,320738994,4404.29101034196,4201,4616.025,415.708989658043,1.50277954666155,1.37316980246622,1.30978773351144,1.43918422341875,0.12960974419532
"53","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2015-01-18,4775,320738994,4421.82771412641,4213,4633,353.172285873587,1.48874944715952,1.37863739577808,1.31352909337865,1.4444766887309,0.110112051381438
"54","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2015-01-25,4701,320738994,4432.72840469975,4222,4645,268.271595300253,1.46567772797841,1.38203601296441,1.31633511327905,1.44821804859811,0.0836417150140006
"55","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2015-02-01,4623,320738994,4436.81722328607,4224,4651,186.182776713934,1.44135888884156,1.383310824778,1.31695867325692,1.45008872853171,0.0580480640635588
"56","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2015-02-08,4576,320738994,4434.04773880784,4227,4645.025,141.952261192162,1.42670522936167,1.38244735493803,1.31789401322372,1.44822584309783,0.0442578744236387
"57","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2015-02-15,4538,320738994,4424.50436657195,4211,4637,113.495633428048,1.41485758978218,1.37947192244793,1.31290553340078,1.44572380868664,0.0353856673342462
"58","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2015-02-22,4525,320738994,4408.39983614433,4203,4623,116.600163855671,1.41080444992604,1.37445085212942,1.31041129348931,1.44135888884156,0.0363535977966155
"59","National","kidney_mc_ma","Kidney Disease","Multiple Cause",2015-03-01,4483,320738994,4386.06884563222,4177,4596,96.9311543677777,1.39770969039081,1.36748849615467,1.30230501377703,1.43294082914034,0.0302211942361388
