"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-19,202,19653431,202.87794439358,175,232,-0.877944393579781,1.02781036044037,1.03227749085429,0.890429767708244,1.18045546347607,-0.00446713041392
"2","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-26,199,19653431,203.180541340529,176,231,-4.18054134052915,1.0125458501368,1.03381715559247,0.895517937809434,1.17536729337488,-0.021271305455669
"3","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-02,194,19653431,203.163872291578,175,232,-9.16387229157766,0.987104999630853,1.03373234063598,0.890429767708244,1.18045546347607,-0.0466273410051286
"4","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-09,195,19653431,202.827720142007,175,232,-7.82772014200663,0.992193169732043,1.03202194131908,0.890429767708244,1.18045546347607,-0.0398287715870406
"5","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-16,195,19653431,202.177991512907,174,231,-7.17799151290663,0.992193169732043,1.02871601153461,0.885341597607054,1.17536729337488,-0.0365228418025668
"6","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-23,199,19653431,201.226536948029,173,230,-2.22653694802855,1.0125458501368,1.02387484886496,0.880253427505864,1.17027912327369,-0.0113289987281536
"7","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-02,198,19653431,199.990794444829,173,229,-1.99079444482894,1.00745768003561,1.01758718080741,0.880253427505864,1.1651909531725,-0.0101295007717937
"8","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-09,201,19653431,198.493274980489,171,227,2.50672501951126,1.02272219033918,1.009967547043,0.870077087303484,1.15501461297012,0.0127546432961821
"9","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-16,202,19653431,196.760916377448,170,225,5.23908362255219,1.02781036044037,1.00115301179447,0.864988917202294,1.14483827276774,0.026657348645904
"10","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-23,204,19653431,194.82433751415,168,223,9.17566248585049,1.03798670064275,0.991299369123638,0.854812576999914,1.13466193256536,0.0466873315191149
"11","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-30,198,19653431,192.717028179939,165,222,5.28297182006122,1.00745768003561,0.980577020775348,0.839548066696344,1.12957376246417,0.0268806592602646
"12","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-06,198,19653431,190.474510687716,163,219,7.52548931228446,1.00745768003561,0.969166710320023,0.829371726493964,1.1143092521606,0.0382909697155904
"13","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-13,193,19653431,188.133507812215,161,216,4.86649218778538,0.982016829529663,0.957255289482099,0.819195386291584,1.09904474185703,0.0247615400475641
"14","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-20,192,19653431,185.731148032037,159,213.025,6.26885196796295,0.976928659428473,0.945031674276298,0.809019046089204,1.08390743580599,0.0318969851521749
"15","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-27,187,19653431,183.304233882109,157,211,3.69576611789134,0.951487808922523,0.932683122260478,0.798842705886825,1.07360389135108,0.0188046866620456
"16","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-04,185,19653431,180.888593016311,155,208,4.11140698368928,0.941311468720144,0.920391930631912,0.788666365684445,1.05833938104751,0.0209195380882314
"17","New York","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-11,182,19653431,178.518524903068,153,206,3.48147509693163,0.926046958416574,0.908332620920329,0.778490025482065,1.04816304084513,0.017714337496245
