"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-19,381,26963092,348.987021612786,312,387,32.0129783872141,1.41304268813087,1.29431380352367,1.15713731941426,1.43529532888884,0.118728884607203
"2","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-01-26,373,26963092,349.471276328018,312,387,23.5287236719821,1.38337250045358,1.29610979455924,1.15713731941426,1.43529532888884,0.0872627058943466
"3","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-02,371,26963092,349.459122819017,312.975,386,21.5408771809833,1.37595495353426,1.29606471994761,1.16075337353743,1.43158655542918,0.0798902335866497
"4","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-09,364,26963092,348.956544791163,312,386,15.0434552088369,1.34999353931663,1.2942007718965,1.15713731941426,1.43158655542918,0.0557927674201344
"5","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-16,362,26963092,347.978628740803,311,386,14.0213712591965,1.34257599239731,1.29057390280315,1.1534285459546,1.43158655542918,0.0520020895941628
"6","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-02-23,370,26963092,346.5491332935,309,383,23.4508667064999,1.3722461800746,1.28527222802748,1.14601099903527,1.42046023505019,0.0869739520471166
"7","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-02,362,26963092,344.699820429473,308,382,17.3001795705266,1.34257599239731,1.27841354555877,1.14230222557561,1.41675146159053,0.0641624468385397
"8","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-09,352,26963092,342.469582002274,306,381,9.53041799772643,1.3054882578007,1.27014209647126,1.13488467865629,1.41304268813087,0.0353461613294441
"9","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-16,347,26963092,339.90340370465,304,376,7.09659629534997,1.28694439050239,1.26062472250827,1.12746713173697,1.39449882083257,0.0263196679941231
"10","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-23,341,26963092,337.051214332808,301,374,3.94878566719206,1.26469174974443,1.25004659826406,1.11634081135799,1.38708127391324,0.014645151480372
"11","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-03-30,323,26963092,333.966670595613,299,370,-10.9666705956128,1.19793382747053,1.23860672431638,1.10892326443866,1.3722461800746,-0.0406728968458542
"12","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-06,321,26963092,330.705926858501,295,367,-9.70592685850141,1.19051628055121,1.22651336448543,1.09408817060002,1.36111985969562,-0.0359970839342217
"13","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-13,319,26963092,327.326435424467,292,364,-8.32643542446732,1.18309873363188,1.21397959634773,1.08296185022104,1.34999353931663,-0.0308808627158462
"14","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-20,321,26963092,323.885816773446,288,360,-2.88581677344592,1.19051628055121,1.20121912121001,1.06812675638239,1.33515844547799,-0.010702840658801
"15","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-04-27,314,26963092,320.440831284517,285,356,-6.440831284517,1.16455486633358,1.18844245045975,1.05700043600341,1.32032335163934,-0.0238875841261714
"16","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-04,317,26963092,317.046475090361,281,353,-0.0464750903605022,1.17568118671256,1.17585355229423,1.04216534216476,1.30919703126036,-0.000172365581664381
"17","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-11,313,26963092,313.755213581801,280,350,-0.755213581800717,1.16084609287392,1.16364700896248,1.0384565687051,1.29807071088138,-0.00280091608855808
"18","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-18,310,26963092,310.61635733394,277,346,-0.616357333939959,1.14971977249493,1.15200570221672,1.02733024832612,1.28323561704273,-0.00228592972178398
"19","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-05-25,300,26963092,307.675577382112,274,343,-7.67557738211178,1.11263203789832,1.14109901558068,1.01620392794714,1.27210929666375,-0.0284669776823511
"20","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-01,301,26963092,304.974550205713,271,341,-3.97455020571329,1.11634081135799,1.13108151767503,1.00507760756815,1.26469174974443,-0.0147407063170399
"21","Texas","kidney_mc_ma","Kidney Disease","Multiple Cause",2014-06-08,300,26963092,302.550717698957,269,338,-2.55071769895716,1.11263203789832,1.1220920720033,0.997660060648831,1.25356542936545,-0.00946003410498009
