"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-01-19,1109,318386329,1079.99849497334,1014,1148.025,29.0015050266561,0.348318975718332,0.339210071728094,0.318481011161757,0.360576097474336,0.00910890399023889
"2","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-01-26,1094,318386329,1081.87861068639,1016,1148,12.1213893136123,0.343607718156768,0.339800585686073,0.319109178836633,0.3605682453784,0.00380713247069485
"3","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-02,1073,318386329,1082.07979510859,1018,1148,-9.07979510858945,0.337011957570578,0.339863774461431,0.319737346511508,0.3605682453784,-0.0028518168908532
"4","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-09,1070,318386329,1080.60573745085,1014,1145,-10.6057374508509,0.336069706058265,0.339400796775684,0.318481011161757,0.359625993866087,-0.00333109071741926
"5","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-16,1077,318386329,1077.49205333909,1013,1142,-0.49205333908526,0.338268292920328,0.338422838921292,0.31816692732432,0.358683742353774,-0.000154546000963898
"6","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-02-23,1070,318386329,1072.80521488883,1010,1139,-2.80521488883414,0.336069706058265,0.336950778715387,0.317224675812007,0.357741490841461,-0.000881072657122204
"7","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-02,1060,318386329,1066.64057626954,1003,1133,-6.64057626953809,0.332928867683889,0.335014565361422,0.315026088949944,0.355856987816836,-0.00208569767753379
"8","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-09,1045,318386329,1059.11959808767,996,1124,-14.119598087666,0.328217610122324,0.332652347672775,0.31282750208788,0.353030233279897,-0.00443473755045116
"9","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-16,1035,318386329,1050.38641191102,987,1116,-15.3864119110247,0.325076771747948,0.329909395045358,0.310000747550941,0.350517562580396,-0.00483262329741069
"10","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-23,1004,318386329,1040.60389348788,978,1106,-36.6038934878763,0.315340172787381,0.326836864119212,0.307173993014003,0.34737672420602,-0.0114966913318305
"11","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-03-30,983,318386329,1029.94942812145,967,1095,-46.9494281214504,0.308744412201191,0.323490468751078,0.303719070802189,0.343921801994206,-0.0147460565498874
"12","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-06,962,318386329,1018.61055387885,956.975,1083,-56.6105538788485,0.302148651615001,0.319929111616739,0.300570380331877,0.340152795944954,-0.0177804600017385
"13","National","kidney_uc_ma","Kidney Disease","Underlying Cause",2014-04-13,962,318386329,1006.78065863041,944,1071,-44.780658630409,0.302148651615001,0.316213532720624,0.296495142541123,0.336383789895703,-0.0140648811056234
