"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-01-19,661,38586706,594.273139103067,536,656,66.7268608969333,1.71302520614224,1.54009813406479,1.38907944098675,1.70006737553602,0.172927072077449
"2","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-01-26,663,38586706,598.872477175388,540,660,64.1275228246117,1.71820833838473,1.55201762279317,1.39944570547172,1.710433640021,0.166190715591561
"3","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-02,643,38586706,602.075009933455,543,665,40.9249900665448,1.66637701595985,1.56031719819115,1.40722040383546,1.72339147062722,0.106059817768702
"4","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-09,610,38586706,603.816434000529,545,665.025,6.1835659994706,1.5808553339588,1.5648302138061,1.41240353607794,1.72345625978025,0.0160251201527039
"5","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-16,602,38586706,604.063760088301,544,665,-2.06376008830125,1.56012280498885,1.56547117571606,1.4098119699567,1.72339147062722,-0.00534837072721691
"6","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-23,591,38586706,602.816558648754,545,663,-11.816558648754,1.53161557765516,1.56223897071897,1.41240353607794,1.71820833838473,-0.030623393063803
"7","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-02,565,38586706,600.106971773863,541,659.025,-35.1069717738631,1.46423485850282,1.55521689717143,1.40203727159297,1.70790686305278,-0.0909820386686105
"8","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-09,552,38586706,595.998491749892,537,656,-43.9984917498917,1.43054449892665,1.5445694995315,1.39167100710799,1.70006737553602,-0.11402500060485
"9","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-16,549,38586706,590.583587405336,533,651,-41.5835874053362,1.42276980056292,1.53053641688237,1.38130474262302,1.6871095449298,-0.107766616319455
"10","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-23,542,38586706,583.980332262131,527,644,-41.9803322621309,1.40462883771421,1.51342364456331,1.36575534589555,1.66896858208109,-0.108794806849102
"11","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-30,525,38586706,576.32824677625,518,637,-51.3282467762501,1.36057221365306,1.49359275906124,1.34243125080436,1.65082761923239,-0.133020545408178
"12","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-06,523,38586706,567.783605767388,512,626,-44.7836057673878,1.35538908141058,1.47144875690448,1.32688185407689,1.6223203918987,-0.116059675493907
"13","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-13,523,38586706,558.514479012291,502,616,-35.5144790122911,1.35538908141058,1.44742720203246,1.30096619286445,1.59640473068626,-0.0920381206218823
"14","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-20,513,38586706,548.695767980984,494,606,-35.6957679809841,1.32947342019814,1.42198136316944,1.2802336638945,1.57048906947382,-0.0925079429713024
"15","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-27,501,38586706,538.504477220506,484,595,-37.5044772205057,1.29837462674321,1.39556995930284,1.25431800268206,1.54198184214014,-0.0971953325596274
"16","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-04,490,38586706,528.115419122127,475,584,-38.1154191221268,1.26986739940953,1.36864602830344,1.23099390759087,1.51347461480646,-0.098778628893917
"17","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-11,491,38586706,517.697501010083,464,572,-26.697501010083,1.27245896553077,1.34164730467038,1.20248668025718,1.48237582135153,-0.0691883391396068
"18","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-18,482,38586706,507.410689237832,455,561,-25.4106892378317,1.24913487043958,1.3149883517858,1.17916258516599,1.45386859401785,-0.0658534813462225
"19","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-25,484,38586706,497.403691461032,446,551,-13.4036914610321,1.25431800268206,1.28905455537208,1.15583849007479,1.42795293280541,-0.0347365526900173
"20","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-06-01,480,38586706,487.812349745747,436,541,-7.8123497457475,1.24395173819709,1.26419795912548,1.12992282886235,1.40203727159297,-0.0202462209283879
"21","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-06-08,485,38586706,478.758696701887,429,532,6.24130329811322,1.25690956880331,1.24073481862351,1.11178186601365,1.37871317650177,0.0161747501797983
"22","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-06-15,478,38586706,470.350596107402,422,522,7.64940389259846,1.2387686059546,1.21894466997883,1.09364090316494,1.35279751528933,0.0198239359757696
"23","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-06-22,475,38586706,462.681868968021,413,514,12.3181310319789,1.23099390759087,1.19907065653135,1.07031680807374,1.33206498631938,0.03192325105952
"24","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-06-29,473,38586706,455.832795081781,407,506,17.1672049182191,1.22581077534838,1.18132082868587,1.05476741134628,1.31133245734943,0.0444899466625089
"25","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-07-06,473,38586706,449.870877670566,402,501,23.1291223294339,1.22581077534838,1.16587012550531,1.04180958074006,1.29837462674321,0.0599406498430675
"26","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-07-13,480,38586706,444.851762821209,396,494.025,35.1482371787909,1.24395173819709,1.15286275750309,1.0262601840126,1.28029845304753,0.091088980694001
"27","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-07-20,479,38586706,440.820214546669,393,490,38.1797854533308,1.24136017207584,1.14241473357863,1.01848548564887,1.26986739940953,0.098945438497214
"28","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-07-27,485,38586706,437.811058543336,389,486,47.1889414566639,1.25690956880331,1.13461630682685,1.00811922116389,1.25950113492455,0.122293261976453
"29","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-08-03,479,38586706,435.850021759827,387,485,43.1499782401732,1.24136017207584,1.1295341503362,1.0029360889214,1.25690956880331,0.111826021739646
"30","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-08-10,467,38586706,434.954409635414,388,485,32.045590364586,1.21026137862092,1.12721311229679,1.00552765504265,1.25690956880331,0.0830482663241221
"31","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-08-17,454,38586706,435.133577619941,388,485,18.866422380059,1.17657101904475,1.12767743797551,1.00552765504265,1.25690956880331,0.0488935810692391
"32","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-08-24,450,38586706,436.389168011813,388,485,13.6108319881871,1.16620475455977,1.13093138349724,1.00552765504265,1.25690956880331,0.0352733710625289
"33","California","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-08-31,440,38586706,438.715097198736,391,487,1.28490280126402,1.14028909334733,1.13695918277848,1.01330235340638,1.2620927010458,0.00332991056884727
