"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-01-19,6460,318386329,6179.06054923972,5817,6554,280.939450760278,2.02898158984709,1.94074304906469,1.8270256823747,2.05850547056623,0.0882385407824085
"2","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-01-26,6421,318386329,6217.38896503504,5845,6605,203.611034964963,2.01673232018703,1.95278138498058,1.83582002982295,2.07452374627555,0.063950935206443
"3","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-02,6327,318386329,6244.28785366479,5868,6625,82.7121463352141,1.98720843946789,1.96122989114422,1.84304395808402,2.0808054230243,0.0259785483236669
"4","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-09,6178,318386329,6259.27525414285,5883,6650,-81.2752541428454,1.94040994768968,1.96593719139959,1.84775521564558,2.08865751896024,-0.0255272437099036
"5","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-16,6116,318386329,6262.10684089543,5890.975,6646,-146.106840895432,1.92093674976855,1.96682654703288,1.85026003424915,2.08740118361049,-0.0458897972643268
"6","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-23,6048,318386329,6252.78412603013,5877.975,6643,-204.784126030133,1.89957904882279,1.96389843297265,1.84617694436246,2.08645893209818,-0.0643193841498556
"7","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-02,5924,318386329,6231.55440859353,5856,6616,-307.554408593531,1.86063265298052,1.95723052185244,1.83927495203477,2.07797866848736,-0.0965978688719172
"8","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-09,5904,318386329,6198.90248328235,5827,6579,-294.902483282354,1.85435097623177,1.94697507985098,1.83016652074907,2.06635756650217,-0.0926241036192086
"9","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-16,5903,318386329,6155.53460294787,5783,6537,-252.534602947873,1.85403689239433,1.93335392957399,1.81634683190182,2.05316604532979,-0.0793170371796564
"10","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-23,5843,318386329,6102.3556277241,5738,6475,-259.355627724097,1.83519186214808,1.91665127296471,1.80221305921712,2.03369284740866,-0.0814594108166299
"11","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-30,5781,318386329,6040.44065201585,5678,6417,-259.440652015847,1.81571866422694,1.8972047797994,1.78336802897087,2.01547598483728,-0.0814861155724583
"12","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-06,5771,318386329,5971.00265147185,5617.975,6342,-200.002651471854,1.81257782585257,1.87539542612455,1.76451514662867,1.99191969702945,-0.0628176002719808
"13","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-13,5715,318386329,5895.35782002694,5544,6255,-180.357820026938,1.79498913095606,1.85163660718201,1.74128079475422,1.96459440317238,-0.0566474762259461
"14","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-20,5692,318386329,5814.89026974207,5468.975,6174,-122.89026974207,1.78776520269499,1.82636305019933,1.71771665485047,1.93915361233993,-0.0385978475043349
"15","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-27,5629,318386329,5731.01765341052,5389.975,6077.025,-102.017653410519,1.76797792093642,1.80002001700598,1.69290403169289,1.90869533220442,-0.0320420960695578
"16","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-04,5564,318386329,5645.15906167647,5302,5998,-81.1590616764706,1.74756247150298,1.77305322103716,1.66527250609432,1.88387485695091,-0.0254907495341832
"17","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-11,5475,318386329,5558.70626944357,5221.975,5905.025,-83.7062694435672,1.71960900997103,1.74589979629545,1.64013794700337,1.85467291216515,-0.0262907863244239
"18","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-18,5412,318386329,5472.99909039774,5153,5810.05,-60.9990903977405,1.69982172821246,1.71898055660478,1.61847401431611,1.82484279970451,-0.0191588283923273
"19","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-25,5335,318386329,5389.30527276974,5060,5729.025,-54.3052727697368,1.67563727272976,1.69269368119438,1.58926421743441,1.79939415677612,-0.0170564084646162
"20","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-06-01,5264,318386329,5308.80505976312,4996,5640,-44.8050597631218,1.65333732027169,1.66740986537871,1.5691628518384,1.77143284314824,-0.0140725451070237
"21","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-06-08,5195,318386329,5232.58026456951,4921,5558,-37.5802645695076,1.63166553548849,1.6434688891964,1.54560656403058,1.74567796847835,-0.0118033537079124
"22","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-06-15,5155,318386329,5161.60748620476,4846,5485,-6.60748620475624,1.61910218199099,1.62117748661399,1.52205027622276,1.7227498483454,-0.00207530462300605
"23","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-06-22,5117,318386329,5096.7549254995,4785,5414,20.2450745005044,1.60716699616836,1.60080834548003,1.50289116213906,1.70044989588733,0.00635865068832915
"24","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-06-29,5070,318386329,5038.78215150669,4729,5358,31.2178484933102,1.59240505580879,1.58260003415746,1.48530246724256,1.68286120099083,0.00980502165132541
"25","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-07-06,5060,318386329,4988.34211368079,4685.975,5298,71.6578863192071,1.58926421743441,1.56675763351661,1.4717890101368,1.66401617074457,0.0225065839178061
"26","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-07-13,5070,318386329,4945.98468755479,4644.975,5245,124.015312445214,1.59240505580879,1.55345385057497,1.45891157280186,1.64736972736037,0.0389512052338197
"27","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-07-20,5051,318386329,4912.16107267246,4620,5225.025,138.83892732754,1.58643746289747,1.54283039981671,1.45106732896185,1.64109590270756,0.043607063080758
"28","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-07-27,5024,318386329,4887.22842219137,4583.975,5189,136.771577808633,1.57795719928666,1.53499945727612,1.43975245871816,1.62978103246387,0.042957742010535
"29","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-08-03,4976,318386329,4871.45416543553,4571.975,5173,104.545834564471,1.56288117508965,1.53004501818152,1.43598345266891,1.62475569106486,0.0328361569081288
"30","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-08-10,4915,318386329,4865.01958062305,4567,5169.025,49.980419376946,1.54372206100595,1.5280240190913,1.43442088557766,1.62350720781105,0.0156980419146533
"31","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-08-17,4889,318386329,4868.0222795426,4569,5174.025,20.9777204574038,1.53555588123258,1.52896711829062,1.43504905325253,1.62507762699824,0.00658876294195529
"32","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-08-24,4879,318386329,4880.47737531192,4590,5190,-1.47737531192251,1.5324150428582,1.5328790625655,1.44164481383872,1.6300951163013,-0.00046401970730424
"33","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-08-31,4885,318386329,4902.3172162021,4609,5213,-17.317216202101,1.53429954588283,1.53973860360132,1.44761240675004,1.63731904456237,-0.005439057718493
"34","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-09-07,4918,318386329,4933.38968161791,4629,5239,-15.3896816179149,1.54466431251827,1.54949796277777,1.45389408349879,1.64548522433575,-0.00483365025949808
"35","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-09-14,4984,318386329,4973.45515001809,4677,5284,10.5448499819149,1.56539384578915,1.56208187884163,1.4689701076958,1.65961899702044,0.00331196694752397
"36","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-09-21,5040,318386329,5022.1823621515,4711.975,5333,17.8176378485005,1.58298254068566,1.57738630861613,1.47995518991018,1.67500910505488,0.00559623206953099
"37","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-09-28,5082,318386329,5079.14351519639,4766,5394.025,2.85648480361397,1.59617406185804,1.59527688614934,1.49692356922775,1.69417607123452,0.000897175708701352
"38","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-10-05,5123,318386329,5143.80903181077,4825,5470,-20.809031810767,1.60905149919298,1.61558727975747,1.51545451563657,1.71803859078384,-0.00653578056448743
"39","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-10-12,5144,318386329,5215.54254879651,4893.975,5540,-71.5425487965067,1.61564725977917,1.63811761804525,1.53711844832383,1.74002445940447,-0.0224703582660758
"40","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-10-19,5231,318386329,5293.5967573471,4971,5624,-62.5967573471016,1.64297255363625,1.66263318339498,1.56131075590246,1.76640750174923,-0.0196606297587299
"41","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-10-26,5266,318386329,5377.11079326754,5048.975,5714,-111.11079326754,1.65396548794656,1.68886359227677,1.58580144312666,1.79467504711862,-0.0348981043302081
"42","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-11-02,5340,318386329,5465.10991229955,5131,5796.025,-125.109912299547,1.67720769191695,1.71650269327347,1.61156416989248,1.82043777388444,-0.039295001356527
"43","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-11-09,5400,318386329,5556.50818324028,5221,5900.025,-156.508183240281,1.69605272216321,1.74520941294571,1.63983171526187,1.85310249297796,-0.0491566907824994
"44","National","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-11-16,5503,318386329,5650.11488072601,5309,5995,-147.114880726012,1.72840335741928,1.77460976370189,1.66747109295638,1.8829326054386,-0.046206406282605
