"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-01-19,492,26963092,442.605407938373,401,485,49.3945920616267,1.82471654215325,1.6415231900643,1.48721815732409,1.79875512793562,0.183193352088947
"2","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-01-26,477,26963092,444.58286971744,403,487.025,32.4171302825597,1.76908494025834,1.648857147828,1.49463570424342,1.80626539419144,0.120227792430333
"3","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-02,459,26963092,445.719606461315,404,488,13.2803935386854,1.70232701798444,1.6530730468943,1.49834447770308,1.80988144831461,0.0492539710901308
"4","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-09,448,26963092,445.996328582471,406,488,2.00367141752884,1.66153050992816,1.65409934655295,1.5057620246224,1.80988144831461,0.00743116337521244
"5","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-16,445,26963092,445.411094804153,404,489,-0.411094804152981,1.65040418954918,1.65192884704823,1.49834447770308,1.81359022177427,-0.00152465749904715
"6","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-02-23,431,26963092,443.979377454555,402,487,-12.979377454555,1.59848136111393,1.6466189317403,1.49092693078375,1.80617267485495,-0.0481375706263769
"7","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-02,435,26963092,441.733544571262,401,485,-6.73354457126203,1.61331645495257,1.63828964634791,1.48721815732409,1.79875512793562,-0.0249731913953416
"8","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-09,434,26963092,438.721789646216,398,481,-4.72178964621594,1.60960768149291,1.6271197296149,1.47609183694511,1.78392003409698,-0.0175120481219882
"9","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-16,433,26963092,435.006571215696,394,477,-2.00657121569566,1.60589890803325,1.61334082610294,1.46125674310647,1.76908494025834,-0.00744191806969193
"10","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-23,422,26963092,430.662650532774,390,472,-8.66265053277368,1.56510239997698,1.59723020836325,1.44642164926782,1.75054107296003,-0.03212780838627
"11","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-03-30,425,26963092,425.774834232265,385,468,-0.774834232264595,1.57622872035596,1.57910240499222,1.42787778196952,1.73570597912139,-0.0028736846362598
"12","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-06,419,26963092,420.435539015719,380,462,-1.43553901571926,1.55397607959799,1.5593001685998,1.40933391467121,1.71345333836342,-0.00532408900180757
"13","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-13,411,26963092,414.742296664082,375,456,-3.74229666408206,1.5243058919207,1.53818522246663,1.39079004737291,1.69120069760545,-0.0138793305459257
"14","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-20,414,26963092,408.79531072067,370,449,5.20468927933024,1.53543221229969,1.51612919883472,1.3722461800746,1.66523928338783,0.0193030134649625
"15","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-04-27,410,26963092,402.695162298921,363,444,7.30483770107884,1.52059711846104,1.49350513026815,1.34628476585697,1.64669541608952,0.0270919881928929
"16","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-04,399,26963092,396.540743486477,359,436,2.45925651352297,1.47980061040477,1.47067978511692,1.33144967201833,1.61702522841223,0.00912082528785265
"17","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-11,387,26963092,390.427474816911,352,429,-3.42747481691111,1.43529532888884,1.44800705652345,1.3054882578007,1.5910638141946,-0.0127117276346167
"18","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-18,375,26963092,384.445840333891,346,423,-9.445840333891,1.39079004737291,1.42582252930744,1.28323561704273,1.56881117343664,-0.0350324819345311
"19","Texas","lung_mc_ma","Chronic Lower Respiratory Diseases","Multiple Cause",2014-05-25,367,26963092,378.680251730753,341,419,-11.680251730753,1.36111985969562,1.40443926731679,1.26469174974443,1.55397607959799,-0.043319407621177
