"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","California","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-01-19,330,38586706,289.808973011274,255,327,40.1910269887263,0.855216820010498,0.751059116088514,0.660849360917203,0.847442121646766,0.104157703921984
"2","California","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-01-26,330,38586706,292.948004110992,257,330,37.0519958890076,0.855216820010498,0.759194122740076,0.666032493159691,0.855216820010498,0.0960226972704215
"3","California","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-02,322,38586706,295.250996411954,259,334,26.7490035880464,0.834484291040546,0.765162479564733,0.671215625402179,0.865583084495474,0.0693218114758136
"4","California","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-09,299,38586706,296.668462346259,260,335,2.33153765374135,0.774878270251936,0.768835936258095,0.673807191523423,0.868174650616718,0.00604233399384065
"5","California","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-16,298,38586706,297.171207994584,260,336,0.828792005415949,0.772286704130692,0.770138834847898,0.673807191523423,0.870766216737962,0.00214786928279379
"6","California","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-23,295,38586706,296.751564584575,261,335,-1.75156458457536,0.76451200576696,0.769051301203517,0.676398757644667,0.868174650616718,-0.00453929543655621
"7","California","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-02,278,38586706,295.423707524163,259,333,-17.423707524163,0.720455381705813,0.765610071831897,0.671215625402179,0.86299151837423,-0.0451546901260839
"8","California","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-09,267,38586706,293.223041069704,257,331,-26.2230410697043,0.69194815437213,0.759906899204364,0.666032493159691,0.857808386131742,-0.067958744832234
"9","California","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-16,268,38586706,290.204695024185,254,328,-22.204695024185,0.694539720493374,0.752084655850606,0.658257794795959,0.85003368776801,-0.0575449353572315
"10","California","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-23,259,38586706,286.441243133969,250,323,-27.4412431339686,0.671215625402179,0.742331421432989,0.647891530310983,0.83707585716179,-0.0711157960308106
