"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-01-19,3376,318386329,3219.59795037466,2976,3470,156.402049625341,1.06034703518944,1.01122367926,0.934713500214389,1.08987091590858,0.0491233559294379
"2","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-01-26,3347,318386329,3247.21485541252,3003,3498,99.7851445874794,1.05123860390375,1.01989770277245,0.943193763825205,1.09866526335683,0.0313409011313044
"3","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-02,3290,318386329,3267.52756740306,3021,3525.025,22.472432596936,1.03333582516981,1.0262775973032,0.948847272899082,1.10715337906358,0.00705822786660415
"4","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-09,3198,318386329,3280.13582216306,3034,3528,-82.1358221630594,1.00444011212554,1.03023764634161,0.952930362785771,1.10808777847996,-0.0257975342160685
"5","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-16,3150,318386329,3284.80189778236,3037,3538,-134.801897782365,0.989364087928537,1.0317031852779,0.953872614298084,1.11122861685434,-0.0423390973493604
"6","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-23,3103,318386329,3281.45948309576,3038,3540,-178.459483095759,0.974602147568968,1.03065338684682,0.954186698135522,1.11185678452921,-0.0560512392778518
"7","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-02,3052,318386329,3270.21614966638,3025,3522,-218.216149666376,0.958583871859649,1.02712203753773,0.950103608248833,1.10620327545534,-0.0685381656780796
"8","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-09,3047,318386329,3251.34927406328,3010,3504,-204.349274063276,0.957013452672461,1.02119625684785,0.945392350687268,1.10054976638146,-0.0641828041753878
"9","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-16,3047,318386329,3225.29568424,2988,3473.025,-178.29568424,0.957013452672461,1.01301324537713,0.93848250626364,1.09082101951683,-0.0559997927046673
"10","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-23,3029,318386329,3192.63570419923,2952,3447,-163.635704199228,0.951359943598583,1.00275527351529,0.927175488115886,1.08264698764751,-0.0513953299167025
"11","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-30,2988,318386329,3154.07260741986,2913,3396,-166.07260741986,0.93848250626364,0.990643228095343,0.914926218455818,1.06662871193819,-0.0521607218317028
"12","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-04-06,2969,318386329,3110.40873250091,2873,3350,-141.408732500912,0.932514913352326,0.976929110703403,0.902362864958313,1.05218085541606,-0.0444141973510778
"13","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-04-13,2933,318386329,3062.51964649169,2829,3303,-129.519646491685,0.921207895204571,0.961887922798245,0.888543176111057,1.03741891505649,-0.0406800275936739
"14","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-04-20,2912,318386329,3011.32775787717,2786,3245.025,-99.3277578771654,0.914612134618381,0.945809377976516,0.875037571101239,1.01920990458105,-0.0311972433581359
"15","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-04-27,2871,318386329,2957.77669026113,2734.975,3185,-86.7766902611324,0.901734697283438,0.928989853160791,0.859011443295984,1.00035702223885,-0.0272551558773532
"16","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-05-04,2824,318386329,2902.80754798392,2684,3123.025,-78.8075479839249,0.886972756923869,0.91172493401371,0.843001019682601,0.980891676413656,-0.0247521770898413
"17","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-05-11,2775,318386329,2847.33796183501,2630.975,3073,-72.3379618350073,0.871582648889425,0.894302833534981,0.826346724202471,0.965179632445839,-0.022720184645556
"18","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-05-18,2737,318386329,2792.24452541072,2580,3009.025,-55.2445254107192,0.859647463066795,0.876998875605215,0.810336300589087,0.945086118945766,-0.0173514125384194
"19","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-05-25,2697,318386329,2738.34894859196,2524,2958.025,-41.3489485919572,0.84708410956929,0.860071146017063,0.79274760569258,0.929067843236447,-0.0129870364477732
"20","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-06-01,2665,318386329,2686.40798836415,2484,2896,-21.407988364153,0.837033426771286,0.843757329908519,0.780184252195075,0.909586793219378,-0.00672390313723331
"21","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-06-08,2629,318386329,2637.10698719813,2434,2847,-8.10698719812945,0.825726408623531,0.828272682272777,0.764480060323193,0.894196685184934,-0.00254627364924624
"22","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-06-15,2593,318386329,2591.05666707367,2392,2791,1.94333292633246,0.814419390475776,0.813809021012855,0.751288539150813,0.876607990288427,0.000610369462921399
"23","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-06-22,2573,318386329,2548.79269787532,2352,2747,24.2073021246756,0.808137713727024,0.800534591381694,0.738725185653307,0.862788301441171,0.00760312234533023
"24","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-06-29,2542,318386329,2510.77748145331,2320,2706,31.2225185466864,0.798401114766457,0.788594626326846,0.728674502855303,0.849910864106229,0.00980648843961086
"25","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-07-06,2530,318386329,2477.40356188708,2288,2678.025,52.5964381129165,0.794632108717206,0.77811241759915,0.718623820057299,0.841124368753911,0.0165196911180557
"26","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-07-13,2537,318386329,2448.99808043203,2261,2647,88.0019195679697,0.796830695579269,0.769190714979483,0.710143556446483,0.831379917697408,0.0276399805997856
"27","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-07-20,2526,318386329,2425.82773109133,2238,2622,100.172268908666,0.793375773367455,0.761913282743787,0.702919628185418,0.823527821761468,0.0314624906236682
"28","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-07-27,2503,318386329,2408.10373066744,2222,2601,94.8962693325593,0.78615184510639,0.756346460675904,0.697894286786415,0.816932061175278,0.0298053844304852
"29","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-08-03,2473,318386329,2395.98638752109,2213.975,2588,77.0136124789087,0.776729329983261,0.75254059904095,0.695373763990978,0.812848971288588,0.0241887309423103
"30","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-08-10,2430,318386329,2389.58892978058,2203,2580.025,40.4110702194175,0.763223724973443,0.750531260963966,0.6919266938751,0.810344152685023,0.0126924640094762
"31","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-08-17,2401,318386329,2388.98033200557,2206,2578,12.0196679944265,0.754115293687751,0.750340110239336,0.692868945387413,0.809708132914212,0.00377518344841575
"32","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-08-24,2394,318386329,2394.18695681691,2212,2585,-0.186956816911788,0.751916706825688,0.751975426940179,0.694753448412039,0.811906719776275,-5.8720114490779e-05
"33","National","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-08-31,2392,318386329,2405.19290389886,2223,2598,-13.1929038988574,0.751288539150813,0.755432217034312,0.698208370623853,0.815989809662965,-0.004143677883499
