"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate"
"1","Texas","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-01-19,237,26963092,213.774882261365,185,243,23.2251177386347,0.878979309939676,0.792842609673124,0.6861230900373,0.901231950697643,0.0861367002665521
"2","Texas","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-01-26,227,26963092,215.390809146843,187,245,11.6091908531574,0.841891575343065,0.798835716418735,0.693540636956622,0.908649497616965,0.0430558589243304
"3","Texas","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-02,217,26963092,216.471406979635,187,246,0.528593020364895,0.804803840746454,0.802843408981563,0.693540636956622,0.912358271076626,0.00196043176489141
"4","Texas","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-09,212,26963092,216.994770722074,188,246.025,-4.99477072207429,0.786259973448149,0.80478444653927,0.697249410416283,0.912450990413116,-0.0185244730911213
"5","Texas","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-16,209,26963092,216.951221623619,189,246,-7.95122162361946,0.775133653069166,0.804622932798729,0.700958183875944,0.912358271076626,-0.0294892797295631
"6","Texas","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-02-23,208,26963092,216.343682646255,187,246,-8.34368264625479,0.771424879609505,0.802369708363769,0.693540636956622,0.912358271076626,-0.0309448287542645
"7","Texas","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-02,212,26963092,215.187561924912,186,245,-3.18756192491222,0.786259973448149,0.79808191851629,0.689831863496961,0.908649497616965,-0.0118219450681406
"8","Texas","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-09,211,26963092,213.5101526346,186,243,-2.5101526346001,0.782551199988488,0.791860787459391,0.689831863496961,0.901231950697643,-0.0093095874709032
"9","Texas","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-16,210,26963092,211.349589916439,183,240,-1.3495899164385,0.778842426528827,0.78384774979234,0.678705543117978,0.890105630318659,-0.00500532326351334
"10","Texas","lung_uc_ma","Chronic Lower Respiratory Diseases","Underlying Cause",2014-03-23,206,26963092,208.753433784539,181,238,-2.75343378453925,0.764007332690183,0.774219194833216,0.671287996198656,0.882688083399337,-0.0102118621430334
