"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-01-19,2352,318386329,2666.8993860447,2369,2978,-314.899386044702,0.738725185653307,0.837629993228981,0.744064610889747,0.935341667889264,-0.0989048075756739,"model 1"
"2","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-01-26,2332,318386329,2661.98830143106,2366,2974.025,-329.988301431057,0.732443508904555,0.836087500927547,0.743122359377434,0.934093184635449,-0.103643992022992,"model 1"
"3","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-02,2306,318386329,2652.39538046858,2361,2959.025,-346.395380468579,0.724277329131176,0.833074519499416,0.741551940190246,0.929381927073885,-0.108797190368239,"model 1"
"4","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-09,2290,318386329,2638.33416863481,2349.975,2950,-348.334168634812,0.719251987732174,0.828658120127643,0.738089165882496,0.926547320441011,-0.109406132395469,"model 1"
"5","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-16,2272,318386329,2620.10260422138,2332.975,2926,-348.102604221381,0.713598478658297,0.822931880414181,0.732749740646056,0.919009308342507,-0.109333401755884,"model 1"
"6","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-02-23,2260,318386329,2598.0737649324,2314,2899,-338.073764932402,0.709829472609045,0.816012978036002,0.726789999830677,0.910529044731691,-0.106183505426956,"model 1"
"7","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-02,2255,318386329,2572.68465484491,2290,2874,-317.684654844908,0.708259053421857,0.808038668910595,0.719251987732174,0.902676948795751,-0.0997796154887379,"model 1"
"8","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-09,2251,318386329,2544.4236156439,2258.975,2847,-293.4236156439,0.707002718072107,0.799162333268367,0.709507536675672,0.894196685184934,-0.0921596151962605,"model 1"
"9","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-16,2230,318386329,2513.81698308302,2239,2814,-283.816983083021,0.700406957485916,0.789549284662603,0.703233712022855,0.883831918549493,-0.0891423271766862,"model 1"
"10","National","alzheimer_mc_ma","Alzheimer's","Multiple Cause",2014-03-23,2204,318386329,2481.415602037,2207,2772,-277.415602036997,0.692240777712538,0.779372534565389,0.693183029224851,0.870640397377112,-0.0871317568528507,"model 1"
