"","state","cod","cod_format","cod_type","date","obs","population","pred","lwr","upr","excess","obs_rate","pred_rate","lwr_rate","upr_rate","excess_rate","model"
"1","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-01-19,1887,318386329,2167.6731380939,1911,2439,-280.673138093898,0.592676201244809,0.680831097523003,0.600214213343312,0.766050479510381,-0.0881548962781936,"model 1"
"2","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-01-26,1872,318386329,2163.38397235565,1906,2435,-291.383972355655,0.587964943683245,0.679483939888529,0.598643794156124,0.764794144160631,-0.0915189962052846,"model 1"
"3","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-02-02,1852,318386329,2155.27083327163,1893,2429.025,-303.270833271632,0.581683266934492,0.676935734031354,0.594560704269435,0.762917493231941,-0.0952524670968622,"model 1"
"4","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-02-09,1835,318386329,2143.5161139113,1886,2410,-308.516113911299,0.576343841698052,0.673243766666658,0.592362117407372,0.75694204822469,-0.0968999249686059,"model 1"
"5","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-02-16,1827,318386329,2128.37086324949,1876.975,2393,-301.370863249494,0.573831170998551,0.668486888219844,0.589527510774497,0.75160262298825,-0.0946557172212925,"model 1"
"6","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-02-23,1808,318386329,2110.14698217744,1863,2372,-302.146982177443,0.567863578087236,0.662763061719727,0.585138189146306,0.74500686240206,-0.0948994836324906,"model 1"
"7","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-03-02,1804,318386329,2089.20785126167,1844,2351,-285.207851261674,0.566607242737486,0.656186419129093,0.579170596234991,0.73841110181587,-0.0895791763916076,"model 1"
"8","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-03-09,1805,318386329,2065.95787796088,1824,2332,-260.957877960882,0.566921326574923,0.648883978294458,0.572888919486238,0.732443508904555,-0.0819626517195348,"model 1"
"9","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-03-16,1781,318386329,2040.83147763184,1802.975,2299,-259.831477631839,0.55938331447642,0.640992182058118,0.566285306804112,0.722078742269113,-0.081608867581698,"model 1"
"10","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-03-23,1760,318386329,2014.28199249034,1781,2265,-254.281992490344,0.55278755389023,0.632653417882884,0.55938331447642,0.711399891796233,-0.079865863992654,"model 1"
"11","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-03-30,1747,318386329,1986.77100963422,1748,2235.025,-239.771009634215,0.548704464003541,0.62401266281575,0.549018547840978,0.70198522876904,-0.0753081988122095,"model 1"
"12","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-04-06,1710,318386329,1958.7584698309,1723,2206.025,-248.758469830904,0.537083362018348,0.615214376817952,0.541166451905038,0.692876797483349,-0.0781310147996035,"model 1"
"13","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-04-13,1653,318386329,1930.69387123415,1703,2177,-277.693871234151,0.519180583284404,0.606399739994537,0.534884775156285,0.683760514101722,-0.0872191567101336,"model 1"
"14","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-04-20,1672,318386329,1903.00877532888,1678,2142,-231.008775328877,0.525148176195719,0.59770429883278,0.527032679220344,0.672767579791405,-0.0725561226370613,"model 1"
"15","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-04-27,1655,318386329,1876.11072462168,1653,2110,-221.110724621676,0.519808750959279,0.58925605584707,0.519180583284404,0.662716896993401,-0.0694473048877912,"model 1"
"16","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-05-04,1628,318386329,1850.37859012438,1628,2082,-222.378590124382,0.511328487348463,0.581174008298699,0.511328487348463,0.653922549545147,-0.069845520950236,"model 1"
"17","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-05-11,1627,318386329,1826.15928704557,1608,2056,-199.159287045566,0.511014403511025,0.573567116647639,0.50504681059971,0.645756369771769,-0.0625527131366139,"model 1"
"18","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-05-18,1629,318386329,1803.76573290662,1590,2027,-174.765732906623,0.5116425711859,0.566533663229812,0.499393301525833,0.636647938486077,-0.0548910920439121,"model 1"
"19","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-05-25,1599,318386329,1783.47587523826,1571,2006,-184.475875238255,0.502220056062771,0.560160946872268,0.493425708614518,0.630052177899887,-0.0579408908094968,"model 1"
"20","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-06-01,1593,318386329,1765.5325861375,1552,1985,-172.532586137497,0.500335553038146,0.554525249775249,0.487458115703203,0.623456417313697,-0.0541896967371035,"model 1"
"21","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-06-08,1593,318386329,1750.14420704184,1541,1978.025,-157.14420704184,0.500335553038146,0.54969200861694,0.484003193491389,0.621265682547569,-0.0493564555787946,"model 1"
"22","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-06-15,1569,318386329,1737.48552701512,1528,1954,-168.485527015124,0.492797540939643,0.545716121817254,0.4799201036047,0.61371981835313,-0.0529185808776118,"model 1"
"23","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-06-22,1572,318386329,1727.698989115,1519,1944,-155.698989114999,0.493739792451955,0.542642328438354,0.477093349067761,0.610578979978754,-0.0489025359863988,"model 1"
"24","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-06-29,1580,318386329,1720.89593942336,1513,1940,-140.895939423364,0.496252463151456,0.540505600484927,0.475208846043135,0.609322644629004,-0.0442531373334701,"model 1"
"25","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-07-06,1581,318386329,1717.15775967145,1512,1935,-136.157759671449,0.496566546988894,0.539331498643414,0.474894762205698,0.607752225441815,-0.0427649516545195,"model 1"
"26","National","alzheimer_uc_ma","Alzheimer's","Underlying Cause",2014-07-13,1574,318386329,1716.53675506117,1508,1927.025,-142.536755061173,0.494367960126831,0.539136451132352,0.473638426855947,0.60524740683825,-0.0447684910055209,"model 1"
